Target_genes	Foxo1|Average	SRX272969|CD4-Positive_T-Lymphocytes	SRX682273|CD4-Positive_T-Lymphocytes	SRX682274|CD4-Positive_T-Lymphocytes	SRX682276|CD4-Positive_T-Lymphocytes	SRX278097|CD8-Positive_T-Lymphocytes	SRX1117087|HAFTL	SRX7586623|Heart	SRX7586624|Heart	SRX7586625|Heart	SRX021879|Pro-B_cells	SRX2136458|Pro-B_cells	SRX183787|Treg	SRX183788|Treg	SRX1219538|Uterus	STRING
Pafah2	184.857143	0	0	0	0	0	0	820	1156	366	0	0	0	0	246	0
Rpl7	184.000000	0	0	0	0	0	0	855	752	633	0	0	0	0	336	0
Rdh10	184.000000	0	0	0	0	0	0	855	752	633	0	0	0	0	336	0
Slc35b4	183.285714	0	0	0	0	0	0	744	890	733	0	0	0	0	199	0
Ndrg3	182.571429	160	232	119	0	189	0	452	564	323	0	0	247	0	270	0
Cfap20	182.142857	412	643	122	0	258	0	174	244	137	261	0	131	0	168	0
Rora	181.642857	270	805	170	0	438	0	171	0	0	0	0	582	0	107	0
Rangap1	181.357143	0	0	0	0	0	0	785	722	833	0	0	0	0	199	0
Rexo2	180.285714	0	141	0	0	0	0	981	819	268	0	0	0	0	315	0
Vcpip1	180.142857	0	103	0	0	0	0	700	882	570	0	0	0	0	267	0
Gmfg	179.857143	533	709	157	0	272	0	138	133	81	144	0	351	0	0	0
Calr3	179.857143	0	0	0	0	0	0	897	719	570	0	0	0	0	332	0
1700030K09Rik	179.857143	0	0	0	0	0	0	897	719	570	0	0	0	0	332	0
Phf13	178.785714	0	225	0	0	0	0	782	694	657	0	0	0	0	145	0
Vkorc1	177.214286	0	153	0	0	0	0	602	978	432	0	0	0	0	316	0
Snapc3	176.928571	0	0	0	0	0	0	928	887	521	0	0	0	0	141	0
Vti1b	176.785714	0	231	0	0	0	0	694	657	623	0	0	167	0	103	0
Polg2	176.571429	401	498	147	0	410	0	251	162	176	0	0	315	0	112	0
Smim11	176.000000	0	0	0	0	0	0	894	863	491	0	0	0	0	216	0
Mfn2	175.214286	0	0	0	0	0	0	915	595	558	0	0	0	0	385	0
Ubxn8	174.714286	0	0	0	0	0	0	931	683	537	0	0	0	0	295	0
Dhx8	174.714286	189	171	0	0	288	0	597	484	412	0	0	171	0	134	0
Fcho2	174.642857	110	473	0	0	180	0	255	387	280	0	0	654	0	106	0
Rab3gap2	173.500000	0	950	0	0	631	0	0	0	78	0	0	770	0	0	0
Sf3b2	173.071429	0	0	0	0	0	0	743	940	479	0	0	0	0	261	0
Syf2	172.714286	142	360	124	0	0	0	572	348	654	0	0	0	0	218	0
Eif2s2	172.000000	0	129	0	0	0	0	985	612	520	0	0	0	0	162	0
Crbn	171.714286	212	951	125	0	125	0	148	104	149	0	0	435	0	155	0
Wdpcp	171.571429	0	0	0	0	0	0	886	697	564	0	0	0	0	255	0
Oasl1	171.571429	173	283	191	144	0	392	0	0	0	361	493	0	365	0	0
Mdh1	171.571429	0	0	0	0	0	0	886	697	564	0	0	0	0	255	0
Rttn	170.857143	0	0	0	0	0	0	779	897	394	0	0	0	0	322	0
Neil1	170.214286	296	454	0	0	152	0	516	435	201	0	0	169	0	160	0
Invs	170.214286	0	0	0	0	0	0	821	778	491	0	0	0	0	293	0
Erp44	170.214286	0	0	0	0	0	0	821	778	491	0	0	0	0	293	0
Trmt1l	170.071429	0	0	0	0	0	0	833	707	596	0	0	0	0	245	0
Swt1	170.071429	0	0	0	0	0	0	833	707	596	0	0	0	0	245	0
Zc3h11a	169.857143	0	0	0	0	0	0	856	813	465	0	0	0	0	244	0
Zbed6	169.857143	0	0	0	0	0	0	856	813	465	0	0	0	0	244	0
Azi2	169.785714	0	170	115	0	0	0	507	583	575	0	0	93	138	196	0
Trmt10a	169.571429	0	223	0	0	0	0	662	593	676	0	0	0	0	220	0
Mttp	169.571429	0	223	0	0	0	0	662	593	676	0	0	0	0	220	0
Zscan22	169.357143	0	0	0	0	0	0	823	830	426	0	0	0	0	292	0
Gspt1	169.214286	0	0	0	0	0	0	685	983	524	0	0	0	0	177	0
Cenpj	168.285714	0	0	0	0	0	0	685	892	483	0	0	0	0	296	0
Eloc	168.214286	0	0	0	0	0	0	613	893	627	0	0	0	0	222	0
Zfp146	167.142857	189	308	0	0	0	0	679	484	484	0	0	0	0	196	0
Rabac1	167.071429	0	167	0	0	0	0	633	713	409	0	0	123	0	294	0
Ankrd11	166.500000	238	413	139	0	240	0	272	291	239	0	0	338	0	161	0
Cfdp1	166.357143	0	130	0	0	0	0	901	709	391	0	0	0	0	198	0
Cep97	166.142857	0	113	0	0	0	0	989	492	444	0	0	0	0	288	0
Klhl24	166.000000	0	306	0	0	123	0	550	471	435	0	0	135	0	304	0
Irf3	165.642857	0	0	0	0	0	0	626	1002	451	0	0	0	0	240	0
Bcl2l12	165.642857	0	0	0	0	0	0	626	1002	451	0	0	0	0	240	0
Psmc4	165.500000	0	0	0	0	0	0	747	768	485	0	0	136	0	181	0
Rpf1	165.142857	288	321	0	0	178	0	490	318	447	0	0	0	0	270	0
Bbc3	165.142857	0	523	214	0	292	0	288	182	315	0	0	242	101	155	0
Atg4c	165.071429	0	0	0	0	0	0	647	677	412	0	0	0	0	575	0
Ddx5	164.642857	244	365	0	0	264	0	406	344	296	0	0	209	0	177	0
Cep95	164.642857	244	365	0	0	264	0	406	344	296	0	0	209	0	177	0
Zbtb41	163.857143	0	776	0	0	718	0	0	0	0	0	0	800	0	0	0
Rps29	163.785714	92	90	0	0	200	573	201	209	162	0	488	157	0	121	0
Ctdp1	163.714286	0	73	0	0	0	0	685	743	488	0	0	0	0	303	0
Cry1	163.285714	115	646	138	0	296	0	171	217	210	0	0	299	0	194	0
Ipo13	163.000000	0	0	0	0	0	0	587	904	525	0	0	0	0	266	0
Cdadc1	162.714286	262	642	0	0	216	0	269	253	184	0	0	205	0	247	0
Snx17	162.642857	0	0	0	0	0	0	745	859	469	0	0	0	0	204	0
Eif2b4	162.642857	0	0	0	0	0	0	745	859	469	0	0	0	0	204	0
Ankrd13c	162.214286	312	443	0	0	237	0	256	193	292	0	0	318	0	220	0
Fam8a1	161.571429	306	548	129	0	220	0	210	250	152	0	0	447	0	0	0
Pde6d	161.214286	0	0	0	0	0	0	967	727	362	0	0	0	0	201	0
Cops7b	161.214286	0	0	0	0	0	0	967	727	362	0	0	0	0	201	0
Cic	161.142857	176	164	0	0	0	0	502	585	562	0	0	84	0	183	0
Zfp13	160.785714	276	802	245	0	567	0	0	0	0	0	0	361	0	0	0
Mical3	160.071429	194	689	0	0	383	0	144	178	0	189	0	243	97	124	0
Dync1li1	159.714286	0	698	0	0	690	0	99	0	0	0	0	749	0	0	0
Fem1a	159.571429	0	0	0	0	0	0	884	772	392	0	0	0	0	186	0
Tsc22d4	159.285714	243	809	0	0	317	0	107	253	0	0	0	299	0	202	0
Rab29	159.142857	0	0	0	0	0	0	668	1022	256	0	0	0	0	282	0
Ccdc90b	159.142857	0	0	0	0	0	0	881	636	415	0	0	0	0	296	0
Mmachc	159.071429	0	0	0	0	0	0	531	828	431	0	0	0	0	437	0
Ccdc163	159.071429	0	0	0	0	0	0	531	828	431	0	0	0	0	437	0
Rpia	158.142857	0	0	0	0	0	0	649	897	560	0	0	0	0	108	0
Fdps	158.142857	0	0	0	0	0	0	635	793	511	0	0	0	0	275	0
Pdk4	158.000000	0	0	0	0	0	0	794	926	339	0	0	0	0	153	0
Acbd5	157.928571	226	462	0	0	0	0	572	471	196	0	0	184	0	100	0
Zbtb5	157.642857	110	623	0	0	328	0	246	522	216	0	0	162	0	0	0
Gpn3	157.642857	278	341	0	0	289	0	308	397	238	0	0	160	0	196	0
Fam216a	157.642857	278	341	0	0	289	0	308	397	238	0	0	160	0	196	0
Cherp	157.500000	0	713	0	0	535	0	154	105	203	0	0	334	0	161	0
Zfp317	157.071429	0	0	0	0	0	0	739	747	434	0	0	0	0	279	0
Ppp6c	156.500000	0	0	0	0	0	0	752	824	491	0	0	0	0	124	0
Nop16	156.214286	0	0	0	0	0	0	685	612	458	0	0	101	0	331	0
Higd2a	156.214286	0	0	0	0	0	0	685	612	458	0	0	101	0	331	0
Ammecr1l	156.142857	0	0	0	0	0	0	752	735	489	0	0	0	0	210	0
Ccdc126	155.857143	0	84	0	0	0	0	678	638	530	0	0	0	0	252	0
Tssc4	154.000000	0	0	0	0	0	0	887	674	423	0	0	0	0	172	0
Ip6k1	153.928571	0	322	0	0	285	0	321	344	208	0	0	328	0	347	0
Ctu1	151.571429	0	0	0	0	0	0	800	751	406	0	0	0	0	165	0
Gsk3a	151.500000	0	0	0	0	0	0	713	577	541	0	0	0	0	290	0
Frat2	150.714286	0	436	0	0	325	0	278	219	322	0	0	415	0	115	0
Snw1	150.571429	0	141	0	0	0	0	583	633	410	0	0	160	0	181	0
Itpr1	150.571429	0	0	0	0	0	0	586	729	793	0	0	0	0	0	0
Rab5c	150.500000	0	0	0	0	0	0	734	662	548	0	0	0	0	163	0
Ddx24	150.428571	215	330	108	0	182	0	288	408	209	0	0	256	0	110	0
Appl2	150.285714	0	0	0	0	0	0	588	624	612	0	0	0	0	280	0
Xpot	149.928571	0	95	0	0	0	0	680	675	426	0	0	0	0	223	0
Pomt2	149.928571	0	0	0	0	0	0	898	565	488	0	0	0	0	148	0
Gstz1	149.928571	0	0	0	0	0	0	898	565	488	0	0	0	0	148	0
Peli1	149.571429	0	391	0	0	151	0	492	614	287	0	0	0	0	159	0
Zfp119a	148.857143	0	314	0	0	173	0	363	292	338	0	0	446	0	158	0
Zfp189	148.642857	0	0	0	0	0	0	649	726	413	0	0	0	0	293	0
Mrpl50	148.642857	0	0	0	0	0	0	649	726	413	0	0	0	0	293	0
Rab30	148.571429	0	0	0	0	0	0	836	660	431	0	0	0	0	153	0
Riok3	148.285714	310	529	0	0	313	0	204	170	145	0	0	262	0	143	0
Commd9	148.142857	0	0	0	0	0	0	610	741	411	0	0	0	0	312	0
Thrap3	147.285714	0	0	0	0	0	0	722	566	476	0	0	0	0	298	0
Hnrnpa2b1	146.857143	124	266	0	0	162	0	517	501	371	0	0	0	0	115	0
Cbx3	146.857143	124	266	0	0	162	0	517	501	371	0	0	0	0	115	0
Slc29a2	146.357143	0	0	0	0	0	0	674	685	463	0	0	0	0	227	0
Sirt4	146.357143	0	0	0	0	0	0	675	873	306	0	0	0	0	195	0
Ciao3	146.357143	238	170	0	0	229	0	268	389	216	0	0	239	0	300	0
Supt4a	146.071429	363	472	132	0	295	0	188	0	153	0	0	442	0	0	0
B230118H07Rik	146.071429	0	0	0	0	0	0	742	922	235	0	0	0	0	146	0
Epc2	145.928571	90	291	0	0	90	0	576	329	311	0	0	194	0	162	0
Sertad3	145.785714	0	0	0	0	0	0	744	781	516	0	0	0	0	0	0
Nedd8	145.785714	0	0	0	0	0	0	810	455	418	0	0	0	0	358	0
Gmpr2	145.785714	0	0	0	0	0	0	810	455	418	0	0	0	0	358	0
Nprl2	144.857143	0	0	0	0	0	0	703	747	388	0	0	0	0	190	0
Jarid2	144.857143	0	0	0	0	0	0	644	610	579	0	0	0	0	195	0
Cyb561d2	144.857143	0	0	0	0	0	0	703	747	388	0	0	0	0	190	0
Dhx33	144.357143	0	84	0	0	0	0	516	776	327	0	0	0	0	318	0
Ctdsp2	143.785714	143	237	0	0	189	0	500	237	193	0	0	392	0	122	0
Ap2s1	143.714286	0	0	0	0	0	0	628	901	359	0	0	0	0	124	0
Zfp959	142.857143	0	276	0	0	199	0	403	244	339	0	0	442	0	97	0
Cited2	142.571429	377	488	133	0	171	0	163	139	136	0	0	289	0	100	0
Nutf2	142.500000	0	0	0	0	0	0	695	644	392	0	0	0	0	264	0
Wrnip1	142.000000	0	156	0	0	0	0	750	435	478	0	0	0	0	169	0
Ric8b	141.928571	0	0	0	0	0	0	543	688	488	0	0	0	0	268	0
Chmp4b	141.928571	0	0	0	0	0	0	774	724	301	0	0	0	0	188	0
Cdkl4	141.642857	177	821	0	0	526	0	0	0	0	0	0	459	0	0	0
Rab35	141.500000	0	611	0	0	601	0	0	0	0	0	0	769	0	0	0
Dusp4	141.357143	209	517	190	0	282	0	0	0	0	0	0	648	0	133	0
Sugp1	141.285714	139	536	0	0	170	0	187	362	117	0	0	293	0	174	0
Mau2	141.285714	139	536	0	0	170	0	187	362	117	0	0	293	0	174	0
Tmem147	140.928571	0	175	0	0	0	0	713	382	516	0	0	0	0	187	0
