Target_genes	Smad2|Average	SRX1080389|Embryoid_Bodies	SRX1080390|Embryoid_Bodies	SRX1080403|Embryoid_Bodies	SRX1080404|Embryoid_Bodies	SRX1080406|Embryoid_Bodies	SRX1080407|Embryoid_Bodies	SRX5251391|Embryoid_Bodies	SRX5251392|Embryoid_Bodies	SRX026467|Embryonic_Stem_Cells	SRX026468|Embryonic_Stem_Cells	SRX026469|Embryonic_Stem_Cells	SRX1080395|Embryonic_Stem_Cells	SRX390391|Embryonic_Stem_Cells	SRX4578585|Embryonic_Stem_Cells	SRX5251386|Embryonic_Stem_Cells	SRX390396|mESC_derived_endoodermal_cells	SRX1557250|P19	SRX1557251|P19	SRX1557252|P19	SRX1557253|P19	SRX1557259|P19	SRX1557260|P19	SRX1557261|P19	SRX1557262|P19	SRX1163236|Pancreatic_cancer_cell_lines	SRX1163237|Pancreatic_cancer_cell_lines	SRX4578557|Pancreatic_ductal_adenocarcinoma	SRX4578558|Pancreatic_ductal_adenocarcinoma	SRX4578563|Pancreatic_ductal_adenocarcinoma	SRX4578564|Pancreatic_ductal_adenocarcinoma	SRX4578566|Pancreatic_ductal_adenocarcinoma	SRX4578567|Pancreatic_ductal_adenocarcinoma	STRING
Olfm2	282.406250	363	0	677	284	845	294	372	947	0	0	0	0	317	1346	215	572	0	0	0	0	0	0	0	0	924	0	0	263	0	991	0	627	0
Smad6	280.250000	415	0	504	406	693	442	685	1261	0	0	0	0	482	1103	402	622	0	0	0	0	0	0	0	0	397	0	0	236	0	901	0	419	0
Ubr5	278.750000	743	0	592	0	537	61	205	1490	0	0	0	186	989	709	1086	662	0	69	466	201	0	0	0	0	209	0	0	0	0	285	153	277	0
Kat6a	262.437500	0	0	310	281	580	270	358	666	0	0	0	0	472	420	238	897	0	0	0	0	0	0	0	0	766	739	0	715	0	653	321	712	0
Ywhae	261.312500	418	0	344	369	544	422	553	996	0	0	0	0	639	1553	416	1514	0	0	0	163	0	0	0	0	101	0	0	0	0	133	86	111	0
Ccn2	258.687500	433	0	274	271	518	225	259	696	0	0	152	0	540	1057	271	1046	0	0	0	0	0	0	0	0	724	233	0	294	0	845	0	440	0
Mob4	250.156250	248	0	452	324	659	312	408	816	0	0	0	0	339	756	275	620	0	0	0	0	0	0	0	0	734	376	0	125	0	645	324	592	0
Nanog	246.562500	981	0	1172	264	726	130	305	1376	0	0	0	0	437	762	384	872	0	111	246	124	0	0	0	0	0	0	0	0	0	0	0	0	0
Trib1	243.562500	0	0	88	106	123	83	0	163	0	0	0	0	73	241	84	337	0	0	0	0	0	0	0	0	1260	710	0	868	111	1869	263	1415	0
Zfp148	241.468750	288	0	323	278	532	302	529	982	0	0	0	0	600	1000	454	1092	0	0	0	0	0	0	0	0	263	0	0	79	0	593	117	295	0
Ncbp3	240.968750	137	0	248	128	332	138	367	551	0	0	0	0	391	831	331	735	0	0	0	0	0	0	0	0	553	208	0	443	196	978	430	714	0
Denr	238.000000	0	0	129	170	131	129	116	177	0	0	0	0	137	214	122	220	0	0	0	0	0	0	0	0	1360	811	0	634	0	1807	0	1459	0
Ssbp2	237.812500	292	0	453	170	676	237	433	898	0	0	0	0	266	694	172	837	0	0	0	0	0	0	0	0	329	208	0	235	0	693	299	718	0
Cnpy1	235.968750	553	0	423	154	470	152	819	1595	0	0	0	176	732	1083	745	264	0	131	134	120	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d9	234.125000	579	0	933	91	1060	128	110	1286	0	0	0	0	571	508	391	1419	0	0	240	176	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun1	233.093750	0	0	0	139	94	0	0	89	0	0	0	0	99	163	108	200	0	0	0	0	0	0	0	0	1056	436	0	793	0	2266	0	2016	0
Sfi1	232.500000	253	0	387	332	856	618	419	516	0	0	297	0	564	1090	807	734	0	0	109	0	0	0	0	0	0	82	0	93	100	121	62	0	0
Lrp6	226.406250	0	0	296	215	509	265	162	543	0	0	0	0	186	914	246	497	0	0	0	0	0	0	0	0	1133	568	0	157	0	684	340	530	0
S100a10	225.562500	720	0	936	0	104	0	0	1150	0	0	0	0	485	279	701	1043	0	0	313	0	0	0	0	0	266	119	0	94	0	642	0	366	0
Cdkn2aipnl	225.531250	190	0	421	143	418	209	275	581	0	0	0	0	486	538	270	1114	0	0	0	0	0	0	0	0	376	123	0	225	190	770	292	596	0
Rgs12	222.968750	784	0	682	223	464	161	393	1041	0	0	0	0	209	600	0	490	0	0	134	0	0	0	0	0	461	0	0	145	0	1016	0	332	0
Calm2	222.937500	177	0	175	0	210	97	266	454	0	0	0	0	456	850	324	971	0	0	148	124	0	0	0	0	693	339	0	538	0	874	139	299	0
Il6ra	222.687500	210	0	176	0	205	0	0	263	0	0	0	0	312	356	110	686	0	0	93	0	0	0	0	0	1439	0	0	1032	0	1436	0	808	0
Bmpr2	222.656250	240	0	762	502	1009	867	331	797	0	0	0	0	283	923	306	712	0	0	0	0	0	0	0	0	138	0	0	0	0	141	0	114	0
Atad2b	219.906250	188	0	330	235	343	259	308	560	0	0	0	0	462	834	246	1105	0	0	0	0	0	0	0	0	413	0	0	270	0	797	266	421	0
Scaf11	219.312500	0	0	527	442	624	388	363	781	0	0	0	0	192	963	329	1069	0	0	0	0	0	0	0	0	325	0	0	0	0	527	135	353	0
Zfp9	217.187500	692	0	320	136	742	279	485	1216	0	0	0	0	124	1184	109	1235	0	0	205	223	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp51	212.281250	321	0	336	303	551	188	349	730	0	0	0	0	456	895	271	1059	0	0	0	81	0	0	0	0	311	0	0	186	0	368	151	237	0
Ogdhl	211.531250	327	0	412	205	407	230	330	903	0	0	0	0	1001	765	441	1451	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0
Eps15	208.781250	0	0	217	148	272	198	372	539	0	0	0	0	170	602	232	809	0	0	0	0	0	0	0	0	558	415	0	292	242	661	425	529	0
Ap1g1	208.093750	151	0	348	228	279	252	282	263	0	0	0	0	240	262	244	704	0	0	164	0	0	0	0	0	580	365	0	389	109	663	410	726	0
Cpsf1	205.281250	0	0	160	250	185	207	273	307	0	0	0	0	175	472	229	494	0	0	0	0	0	0	0	0	645	507	0	557	253	836	595	424	0
Pdpr	204.843750	131	0	358	291	499	336	400	897	0	0	0	0	528	1057	307	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	401	99	202	0
Abcg2	204.468750	600	0	371	0	282	0	247	1585	0	0	0	298	466	965	542	384	0	0	398	181	0	0	0	0	0	0	0	0	0	224	0	0	0
Notch3	204.375000	374	0	462	164	640	233	498	1089	0	0	0	0	331	1126	730	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabpb1	203.781250	254	0	209	99	384	161	329	382	0	0	0	0	390	759	136	1245	0	0	0	0	0	0	0	0	583	201	0	419	0	498	152	320	0
Znrd1as	202.625000	162	0	188	0	282	100	281	581	0	0	0	0	523	465	261	939	0	0	0	0	0	0	0	0	375	181	0	259	106	909	274	598	0
Znrd1	202.625000	162	0	188	0	282	100	281	581	0	0	0	0	523	465	261	939	0	0	0	0	0	0	0	0	375	181	0	259	106	909	274	598	0
Plpp5	200.187500	0	0	220	0	305	0	0	402	0	0	0	0	333	576	154	1028	0	0	0	0	0	0	0	0	825	146	0	472	0	1254	0	691	0
Zfp341	199.375000	0	0	370	265	575	194	394	665	0	0	0	0	0	513	388	503	0	0	0	0	0	0	0	0	696	336	0	131	0	563	371	416	0
Tmem154	197.500000	412	0	415	119	709	113	392	1475	0	0	0	0	247	1120	105	828	0	0	250	135	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndel1	196.187500	0	0	125	184	142	106	174	271	0	0	0	0	136	157	122	285	0	0	0	0	0	0	0	0	764	0	0	888	0	2012	0	912	0
Tomm20	193.843750	350	0	610	370	520	290	226	1076	0	0	0	0	721	451	337	759	0	0	167	0	0	0	0	0	82	0	0	0	0	138	0	106	0
Rbpj	193.812500	0	0	239	105	186	119	249	351	0	0	0	0	343	255	191	344	0	0	0	0	0	0	0	0	1013	121	0	117	0	1666	145	758	0
Dhx32	193.375000	284	0	326	109	334	213	600	1251	0	0	0	0	521	678	399	461	0	0	0	0	0	0	0	0	167	0	0	0	0	571	0	274	0
1110002E22Rik	192.593750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1294	674	0	742	0	2058	0	1395	0
Dcaf10	190.968750	220	0	219	223	272	192	211	512	0	0	0	0	325	747	256	569	0	0	0	90	0	0	0	0	344	302	0	392	0	574	328	335	0
Fermt1	190.218750	0	0	85	0	0	0	0	376	0	0	0	0	99	202	0	484	0	0	0	0	0	0	0	0	1057	743	0	472	0	1437	0	1132	0
Pxk	187.625000	0	0	436	196	392	219	443	671	0	0	0	0	240	744	272	679	0	0	0	0	0	0	0	0	433	140	0	0	0	454	197	488	0
Usp3	186.875000	213	0	236	199	223	0	255	404	0	0	0	0	172	798	219	503	0	0	0	143	0	0	0	0	445	271	0	380	143	511	465	400	0
Bambi	185.656250	190	0	486	256	476	217	306	891	0	0	0	0	493	1249	465	761	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
Oasl1	185.625000	0	0	0	0	0	0	0	0	272	353	267	0	309	0	0	367	515	629	423	302	0	0	0	0	555	757	637	554	0	0	0	0	0
H4f16	185.625000	146	0	0	0	107	0	184	364	153	125	658	0	198	279	244	448	0	0	421	288	0	0	0	0	221	226	0	274	210	480	439	475	0
Znrf1	185.500000	178	0	433	185	521	257	487	861	0	0	0	0	220	900	438	490	0	0	120	0	0	0	0	0	162	0	0	0	0	353	84	247	0
Ccdc68	184.718750	0	0	0	0	0	0	0	165	0	0	0	0	219	157	170	318	0	0	0	0	0	0	0	0	1021	405	0	663	0	1783	0	1010	0
Hrh1	183.718750	0	0	111	110	129	0	0	0	0	0	0	0	0	205	0	301	0	0	0	0	0	0	0	0	939	0	0	407	0	1833	0	1844	0
Tnfrsf12a	181.531250	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	145	0	0	0	0	0	0	0	0	1392	474	0	981	0	1289	172	1203	0
Cdkn2aip	180.281250	0	0	543	483	664	461	486	781	0	0	0	0	208	946	260	479	0	0	0	0	0	0	0	0	107	0	0	0	0	180	0	171	0
Kmt2c	180.031250	0	0	299	227	562	240	410	787	0	0	0	0	250	531	276	622	0	0	0	0	0	0	0	0	217	99	0	123	0	483	257	378	0
Homer3	179.968750	247	0	265	257	382	174	408	824	0	0	0	0	131	1135	424	374	0	0	0	0	0	0	0	0	277	0	0	0	0	318	144	399	0
Myl6b	179.375000	212	0	404	138	466	181	349	1079	0	0	0	0	330	1202	584	484	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	149	0
Timp4	178.718750	665	0	521	154	404	0	202	1007	0	0	0	0	424	560	0	1127	0	0	468	187	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfx4	178.218750	265	0	335	0	0	0	137	698	0	0	0	0	764	126	332	0	0	0	0	0	0	0	0	0	899	0	0	557	0	1140	0	450	0
Irgm1	178.093750	432	0	626	112	663	95	130	1227	0	0	0	0	248	802	0	945	0	0	210	0	0	0	0	0	0	0	0	0	0	209	0	0	0
Il17rd	177.906250	444	0	520	248	547	266	468	1157	0	0	0	0	383	874	325	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkbh3	177.437500	143	0	0	0	319	138	208	411	0	0	0	0	387	544	150	605	0	0	166	0	0	0	0	0	386	126	0	310	229	664	461	431	0
Pou5f1	175.062500	581	0	609	99	622	137	322	1110	0	0	0	122	306	554	102	504	0	0	229	112	0	0	0	0	0	0	0	0	0	193	0	0	0
Efcab11	174.750000	0	0	488	432	639	334	428	674	0	0	0	0	181	1042	421	332	0	0	0	0	0	0	0	0	168	0	0	0	0	200	0	253	0
Rif1	174.656250	396	0	261	0	297	0	465	1291	0	0	0	117	507	536	546	346	0	0	295	242	0	0	0	0	0	0	0	0	0	127	72	91	0
Lrp12	174.375000	215	0	470	274	586	178	255	492	0	0	0	0	230	652	271	986	0	0	0	0	0	0	0	0	233	0	0	0	0	424	149	165	0
Tdp1	174.062500	0	0	488	432	639	334	428	674	0	0	0	0	159	1042	421	332	0	0	0	0	0	0	0	0	168	0	0	0	0	200	0	253	0
Odc1	173.781250	0	0	301	229	388	238	364	768	0	0	0	0	331	1094	358	821	0	0	0	0	0	0	0	0	168	0	0	0	0	274	97	130	0
Gm3448	173.718750	130	0	227	254	302	169	434	672	0	0	0	0	313	643	340	577	0	0	0	0	0	0	0	0	234	113	0	110	0	404	254	383	0
Gm3417	173.718750	130	0	227	254	302	169	434	672	0	0	0	0	313	643	340	577	0	0	0	0	0	0	0	0	234	113	0	110	0	404	254	383	0
Zfp335	173.218750	113	0	196	165	272	100	299	450	0	0	0	0	268	652	192	575	0	0	0	0	0	0	0	0	500	226	0	448	0	458	240	389	0
Ulk2	173.125000	192	0	205	142	310	178	244	480	0	0	0	0	521	451	208	993	0	0	0	0	0	0	0	0	346	87	0	240	0	422	189	332	0
Marchf8	171.812500	85	0	317	422	406	268	288	497	0	0	0	0	546	564	289	893	0	0	0	0	0	0	0	0	284	0	0	0	0	293	145	201	0
Zfp609	171.281250	228	0	200	155	270	119	180	621	0	0	0	0	469	631	203	718	0	0	0	0	0	0	0	0	342	189	0	182	0	406	235	333	0
Nxph3	170.562500	119	0	538	208	437	256	391	750	0	0	0	0	167	984	182	638	0	0	0	0	0	0	0	0	146	0	0	0	0	263	65	314	0
Chd9	170.437500	292	0	174	130	411	121	224	1075	0	0	175	108	543	666	312	538	0	0	0	0	0	0	0	0	0	0	0	0	0	264	198	223	0
Brpf1	170.343750	137	0	162	203	264	290	210	350	0	0	0	0	310	777	221	783	0	0	0	0	0	0	0	0	355	130	0	249	0	512	248	250	0
Shisa5	170.125000	645	0	840	0	812	0	0	1111	0	0	0	0	469	241	165	668	0	0	336	0	0	0	0	0	0	0	0	0	0	157	0	0	0
Tcte3	169.187500	130	0	227	194	302	169	434	604	0	0	0	0	313	643	340	575	0	0	0	0	0	0	0	0	228	113	0	110	0	404	245	383	0
Snai3	169.031250	0	0	295	225	382	284	168	185	0	0	0	0	135	473	156	558	0	0	0	0	0	0	0	0	504	193	0	155	0	1034	0	662	0
Dffb	168.718750	0	0	237	145	299	243	246	303	0	0	0	0	304	263	202	631	0	0	0	0	0	0	0	0	423	429	0	271	0	657	290	456	0
Cep104	168.718750	0	0	237	145	299	243	246	303	0	0	0	0	304	263	202	631	0	0	0	0	0	0	0	0	423	429	0	271	0	657	290	456	0
Hes6	168.687500	188	0	362	155	711	152	168	984	0	0	0	0	758	736	385	696	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0
Tbl1xr1	167.125000	190	0	395	186	604	164	274	935	0	0	0	0	103	572	186	518	0	0	0	0	0	0	0	0	226	190	0	83	0	271	101	350	0
Usp47	165.906250	230	0	508	345	495	438	172	553	0	0	0	0	116	919	244	625	0	0	0	0	0	0	0	0	186	95	0	0	0	270	113	0	0
Sik2	165.218750	0	0	223	253	429	157	209	836	0	0	0	0	538	852	280	898	0	0	0	0	0	0	0	0	131	0	0	0	0	329	0	152	0
Tob2	164.156250	149	0	197	150	198	169	89	297	0	0	0	0	344	295	0	496	0	0	0	147	0	0	0	0	511	360	0	289	204	655	261	442	0
Mrpl21	163.625000	0	0	118	0	97	0	185	204	0	0	0	0	490	307	122	709	0	0	0	0	0	0	0	0	365	282	0	323	203	618	637	576	0
Ighmbp2	163.625000	0	0	118	0	97	0	185	204	0	0	0	0	490	307	122	709	0	0	0	0	0	0	0	0	365	282	0	323	203	618	637	576	0
Fam110a	162.906250	0	0	0	0	0	0	0	0	0	0	0	0	110	140	0	227	0	0	0	0	0	0	0	0	990	454	0	585	0	1515	0	1192	0
Utp3	162.625000	123	0	264	215	198	170	301	447	0	0	0	0	322	468	202	396	0	0	0	0	0	0	0	0	259	248	0	226	190	431	365	379	0
Bptf	162.312500	0	0	336	143	518	134	428	643	0	0	0	0	143	581	175	498	0	0	0	0	0	0	0	0	391	115	0	0	0	496	233	360	0
Kras	161.312500	0	0	292	262	384	301	232	635	0	0	0	0	130	434	220	488	0	0	0	0	0	0	0	0	342	280	0	0	0	486	312	364	0
Hey1	160.312500	153	0	589	315	962	377	460	657	0	0	0	0	0	827	172	273	0	0	0	0	0	0	0	0	110	0	0	0	0	235	0	0	0
Erf	160.187500	0	0	602	0	599	229	397	1047	0	0	0	0	182	881	262	470	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	190	0
Dapk2	158.843750	1496	0	823	117	198	0	145	517	0	0	0	0	86	493	144	865	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610507B11Rik	158.531250	0	0	143	156	215	214	198	239	0	0	0	0	120	290	319	241	0	0	0	0	0	0	0	0	433	721	0	0	0	1101	0	683	0
Sh3glb1	158.375000	0	0	303	236	479	234	300	676	0	0	0	0	167	808	183	555	0	0	0	0	0	0	0	0	214	132	0	76	0	351	166	188	0
Coq8b	158.250000	394	0	226	0	0	0	0	160	0	0	0	0	0	145	0	489	0	0	0	0	0	0	0	0	670	321	0	307	0	1368	0	984	0
Adnp	157.781250	220	0	280	179	375	121	212	411	0	0	0	0	414	291	233	966	0	0	0	127	0	0	0	0	400	271	0	204	0	202	0	143	0
Cldn4	157.593750	242	0	329	0	499	0	248	592	0	0	0	0	218	365	0	295	0	0	0	0	0	0	0	0	718	0	0	353	0	927	0	257	0
2610528J11Rik	157.375000	318	0	313	0	483	147	413	1310	0	0	0	0	323	860	0	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4b	156.937500	441	0	507	0	566	0	0	978	0	0	0	0	278	577	0	526	0	0	330	0	0	0	0	0	174	0	0	96	0	419	0	130	0
Nsfl1c	156.156250	152	0	175	90	173	254	195	248	0	0	0	0	225	282	227	409	0	0	0	0	0	0	0	0	337	319	0	271	105	501	604	430	0
Ldlrad4	156.156250	263	0	324	150	510	251	276	708	0	0	0	0	210	680	244	473	0	0	0	0	0	0	0	0	161	0	0	128	0	325	0	294	0
Gm3435	155.562500	93	0	227	194	302	169	434	450	0	0	0	0	313	643	340	575	0	0	0	0	0	0	0	0	224	0	0	104	0	301	226	383	0
Mrps33	154.812500	118	0	150	183	245	359	219	361	0	0	0	0	275	436	177	480	0	0	0	0	0	0	0	0	381	201	0	0	0	427	529	413	0
Marchf7	154.687500	270	0	621	360	639	348	288	387	0	0	0	0	0	660	163	746	0	0	0	0	0	0	0	0	90	0	0	0	0	250	0	128	0
Lama5	154.593750	511	0	492	0	499	0	85	712	0	0	0	0	403	792	313	850	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansl3	154.218750	0	0	158	111	166	94	170	371	0	0	0	0	217	430	268	571	0	0	0	0	0	0	0	0	347	295	0	147	0	600	449	541	0
Pten	154.062500	0	0	144	142	283	113	201	492	0	0	0	0	385	330	206	589	0	0	0	0	0	0	0	0	447	143	0	185	0	544	284	442	0
Sp5	154.031250	1186	0	935	0	393	0	0	679	0	0	0	0	0	487	0	352	0	95	539	158	0	0	105	0	0	0	0	0	0	0	0	0	0
Mrpl39	153.312500	104	0	0	0	152	128	219	341	0	0	0	0	349	300	299	410	0	0	0	0	0	0	0	0	296	327	0	241	0	678	539	523	0
Zfp518b	153.000000	96	0	320	203	549	199	406	726	0	0	0	0	153	1294	261	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scaf8	152.906250	121	0	231	0	373	135	179	545	0	0	0	0	410	412	210	710	0	0	0	0	0	0	0	0	303	140	0	111	0	396	169	448	0
Asap2	152.875000	70	0	377	259	567	313	289	633	0	0	0	0	247	886	190	591	0	0	0	0	0	0	0	0	101	0	0	0	0	208	0	161	0
Cenpu	152.781250	95	0	128	0	162	175	153	230	0	0	0	0	321	390	181	593	0	0	0	0	0	0	0	0	451	280	0	246	134	447	537	366	0
Zbed5	152.187500	174	0	296	127	372	113	123	471	0	0	0	0	811	691	311	997	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	121	0
Upp1	151.656250	1038	0	571	0	172	0	148	995	0	0	0	105	449	240	504	285	0	0	273	0	0	0	0	0	0	0	0	0	0	73	0	0	0
Notch2	151.656250	75	0	352	221	359	147	372	456	0	0	0	0	100	299	200	558	0	0	0	0	0	0	0	0	344	187	0	104	0	517	219	343	0
Wwc2	151.625000	0	0	389	459	482	258	233	444	0	0	0	0	204	628	311	567	0	0	0	0	0	0	0	0	190	109	0	0	0	203	176	199	0
Blcap	151.187500	0	0	0	0	0	0	0	0	0	0	0	0	206	135	0	182	0	0	0	0	0	0	0	0	748	557	0	463	0	1361	0	1186	0
Gadd45g	150.593750	181	0	217	130	408	153	329	1140	0	0	0	0	508	497	517	461	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	118	0
Slc39a13	150.312500	0	0	107	0	260	113	321	283	0	0	0	0	134	292	224	543	0	0	0	0	0	0	0	0	512	292	0	381	0	605	392	351	0
Gtf2a1	150.218750	0	0	239	278	323	257	406	672	0	0	0	0	630	578	190	792	0	0	0	0	0	0	0	0	120	0	0	0	0	218	0	104	0
Rubcn	150.125000	159	0	244	145	304	154	344	410	0	0	0	0	406	684	437	658	0	0	0	0	0	0	0	0	165	155	0	0	0	241	144	154	0
Fyttd1	150.125000	159	0	244	145	304	154	344	410	0	0	0	0	406	684	437	658	0	0	0	0	0	0	0	0	165	155	0	0	0	241	144	154	0
Tulp4	150.062500	106	0	472	407	499	313	203	508	0	0	0	0	296	424	206	569	0	0	0	0	0	0	0	0	244	0	0	0	0	331	0	224	0
Atxn7l2	149.812500	0	0	213	224	224	235	274	398	0	0	0	0	130	360	242	407	0	0	0	0	0	0	0	0	370	290	0	204	0	526	161	536	0
Rbm25	149.781250	139	0	136	134	125	100	151	310	0	0	0	0	222	265	218	418	0	0	0	64	0	0	0	0	878	0	0	255	0	844	95	439	0
Acvr1	149.562500	80	0	366	180	668	195	256	575	0	0	0	0	166	790	205	441	0	0	0	0	0	0	0	0	148	0	0	0	0	480	0	236	0
Klhl1	149.531250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	162	0	564	0	1923	0	1280	0
Ankrd10	149.468750	171	0	245	259	600	194	442	793	0	0	0	0	204	927	364	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
Stk32a	149.312500	179	0	139	0	248	143	145	693	0	0	0	0	221	1171	267	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0
Map2k1	149.000000	0	0	155	0	93	0	0	130	0	0	0	0	317	192	0	470	0	0	0	0	0	0	0	0	912	189	0	330	0	1301	0	679	0
Samd1	148.781250	0	0	506	386	419	422	287	687	0	0	0	0	93	551	360	199	0	0	0	0	0	0	0	0	124	0	0	0	0	320	157	250	0
Slc44a1	148.468750	0	0	400	137	579	264	198	463	0	0	0	0	0	628	295	433	0	0	0	0	0	0	0	0	232	101	0	0	0	400	283	338	0
Calm1	148.000000	0	0	187	130	166	146	234	425	0	0	0	0	618	359	149	757	0	0	0	0	0	0	0	0	280	202	0	0	0	425	402	256	0
