Target_genes	Stat3|Average	SRX361677|Astrocytes	SRX2182965|AtT-20	SRX2463208|AtT-20	SRX2463209|AtT-20	SRX015582|CD4-Positive_T-Lymphocytes	SRX015583|CD4-Positive_T-Lymphocytes	SRX015584|CD4-Positive_T-Lymphocytes	SRX015585|CD4-Positive_T-Lymphocytes	SRX015586|CD4-Positive_T-Lymphocytes	SRX015587|CD4-Positive_T-Lymphocytes	SRX015588|CD4-Positive_T-Lymphocytes	SRX015589|CD4-Positive_T-Lymphocytes	SRX015590|CD4-Positive_T-Lymphocytes	SRX015591|CD4-Positive_T-Lymphocytes	SRX015592|CD4-Positive_T-Lymphocytes	SRX015593|CD4-Positive_T-Lymphocytes	SRX015594|CD4-Positive_T-Lymphocytes	SRX015605|CD4-Positive_T-Lymphocytes	SRX015606|CD4-Positive_T-Lymphocytes	SRX015607|CD4-Positive_T-Lymphocytes	SRX015608|CD4-Positive_T-Lymphocytes	SRX015609|CD4-Positive_T-Lymphocytes	SRX028629|CD4-Positive_T-Lymphocytes	SRX3067399|CD4-Positive_T-Lymphocytes	SRX3067400|CD4-Positive_T-Lymphocytes	SRX708755|CD4-Positive_T-Lymphocytes	SRX708756|CD4-Positive_T-Lymphocytes	SRX758042|CD4-Positive_T-Lymphocytes	SRX758043|CD4-Positive_T-Lymphocytes	SRX758044|CD4-Positive_T-Lymphocytes	SRX758045|CD4-Positive_T-Lymphocytes	SRX865022|CD4-Positive_T-Lymphocytes	SRX865024|CD4-Positive_T-Lymphocytes	SRX2885380|Cortical_oligodendrocyte_progenitor	SRX2885381|Cortical_oligodendrocyte_progenitor	SRX041328|Dendritic_Cells	SRX041329|Dendritic_Cells	SRX041330|Dendritic_Cells	SRX122475|Dendritic_Cells	SRX122476|Dendritic_Cells	SRX122477|Dendritic_Cells	SRX122478|Dendritic_Cells	SRX1365212|Dendritic_Cells	SRX1365213|Dendritic_Cells	SRX708765|Dendritic_Cells	SRX708766|Dendritic_Cells	SRX2974917|EML_	SRX315094|Gastric_tumor	SRX315095|Gastric_tumor	SRX315096|Gastric_tumor	SRX315100|Gastric_tumor	SRX315101|Gastric_tumor	SRX315102|Gastric_tumor	ERX1167971|HPC-7	SRX4169598|Kidney	SRX4169599|Kidney	SRX4169612|Kidney	SRX4169613|Kidney	SRX7502314|Kidney	SRX7502315|Kidney	SRX7502326|Kidney	SRX7502327|Kidney	SRX092402|Macrophages	SRX092403|Macrophages	SRX2060970|Macrophages	SRX2060971|Macrophages	SRX2060972|Macrophages	SRX2060973|Macrophages	SRX2060974|Macrophages	SRX2088123|Mammary_glands	SRX2088124|Mammary_glands	SRX2088125|Mammary_glands	SRX2088126|Mammary_glands	SRX2088127|Mammary_glands	SRX187262|Th0	SRX020337|Th17_Cells	SRX187263|Th17_Cells	SRX187264|Th17_Cells	SRX187265|Th17_Cells	SRX187266|Th17_Cells	SRX187267|Th17_Cells	SRX187268|Th17_Cells	SRX187269|Th17_Cells	SRX187270|Th17_Cells	SRX187271|Th17_Cells	SRX037909|Th1_Cells	STRING
B3gntl1	462.337209	151	2834	3022	2623	0	0	0	0	0	0	201	276	123	0	217	0	0	0	0	0	0	0	613	0	1349	0	574	0	571	0	447	2057	2357	2578	1438	0	562	364	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	937	0	0	0	217	163	115	197	0	0	0	0	255	0	110	0	449	299	196	356	465	0	1516	938	921	974	1662	0	1607	1486	958	1151	1847	0
Irf9	429.895349	257	2289	1693	1474	0	0	0	0	0	0	432	372	137	0	341	110	109	0	0	0	0	0	172	0	986	0	661	0	657	0	416	799	1465	2154	1164	0	380	230	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	730	0	0	0	228	205	0	830	184	0	0	0	250	0	139	0	187	652	567	967	968	0	1345	1239	1013	1064	1702	0	1862	1641	1149	1477	1892	0
Kri1	420.604651	0	1552	1640	1116	0	0	0	0	0	0	508	458	305	0	350	123	123	0	0	0	0	0	433	0	2207	0	1991	0	2012	0	1784	2129	2223	1607	1049	0	441	223	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	522	0	0	181	409	110	0	0	0	0	0	0	391	0	205	0	79	134	170	172	74	0	812	729	731	1087	1565	0	1560	1603	711	848	1361	0
Socs3	417.674419	0	2206	2221	2320	0	0	0	0	0	0	367	224	210	0	226	0	0	0	0	0	0	0	0	0	1635	0	1662	0	1670	174	1469	1498	1423	1681	1297	0	318	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	770	0	0	115	483	465	232	933	409	0	0	0	608	0	512	0	268	444	868	803	417	0	634	555	941	461	615	0	1131	1086	541	602	1112	0
Etv6	415.674419	0	1017	884	720	0	0	0	0	0	0	799	686	467	202	241	92	143	0	0	0	0	0	215	0	1765	0	1429	0	1427	96	937	1662	1887	2129	1670	0	629	610	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0	357	0	0	0	153	0	0	310	83	0	0	0	130	0	194	0	0	443	156	523	298	0	660	1348	1228	669	1421	0	1899	1715	975	1327	1507	0
Lsm4	400.104651	198	2486	2359	2096	136	0	0	0	0	0	248	470	228	0	158	126	108	0	0	0	0	0	228	127	1325	0	786	92	791	258	660	1397	1470	2048	1208	0	443	257	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	248	0	0	0	155	99	0	464	129	0	0	0	253	0	141	0	185	664	253	968	685	0	434	704	949	925	1260	0	1225	1197	904	881	1520	0
Trappc2l	389.465116	269	3155	3268	2762	0	0	0	0	0	0	0	133	139	0	190	0	0	0	0	0	0	0	166	0	430	0	297	0	301	0	267	1800	1837	1742	1021	0	175	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	1105	0	0	128	321	306	190	346	107	0	0	0	0	0	0	0	386	499	244	1056	1180	0	939	588	451	551	1148	0	1136	1066	871	735	2014	0
Galns	389.465116	269	3155	3268	2762	0	0	0	0	0	0	0	133	139	0	190	0	0	0	0	0	0	0	166	0	430	0	297	0	301	0	267	1800	1837	1742	1021	0	175	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	1105	0	0	128	321	306	190	346	107	0	0	0	0	0	0	0	386	499	244	1056	1180	0	939	588	451	551	1148	0	1136	1066	871	735	2014	0
Akt2	386.837209	155	1955	2200	1677	0	0	0	0	0	0	435	486	125	0	438	120	90	0	0	0	0	0	459	0	1530	0	573	0	571	0	719	1407	1699	2385	1745	0	526	502	0	206	0	0	0	0	0	543	0	0	0	0	0	0	0	400	0	0	0	114	0	0	437	0	0	0	0	0	0	114	0	0	420	160	880	392	0	853	729	1091	598	1109	0	1311	1062	694	856	1502	0
Tut1	384.465116	202	2430	2263	1799	0	0	0	0	0	0	119	0	0	0	222	0	0	0	0	0	0	0	255	0	721	0	144	0	144	0	144	1543	1783	2722	1914	0	536	184	0	0	0	0	0	0	0	527	0	0	0	0	0	0	0	357	0	0	0	104	77	0	152	0	0	0	0	213	0	158	0	0	175	0	129	102	0	1274	1199	1187	820	1634	0	1806	1641	1104	1243	2037	0
Tmed7	373.093023	133	2235	2071	1865	0	0	0	0	0	0	0	0	159	0	0	0	93	0	0	0	0	0	364	0	1185	0	434	0	437	0	536	2306	2425	1243	838	0	175	210	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	2135	0	0	0	121	0	0	366	0	0	0	0	0	0	130	0	0	348	215	338	277	0	1243	657	721	901	1305	0	1624	1149	971	852	1853	0
Eif1a	373.093023	133	2235	2071	1865	0	0	0	0	0	0	0	0	159	0	0	0	93	0	0	0	0	0	364	0	1185	0	434	0	437	0	536	2306	2425	1243	838	0	175	210	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	2135	0	0	0	121	0	0	366	0	0	0	0	0	0	130	0	0	348	215	338	277	0	1243	657	721	901	1305	0	1624	1149	971	852	1853	0
Sspn	369.046512	0	723	893	597	0	0	718	510	392	537	130	140	981	431	1320	483	526	387	472	410	274	107	166	126	348	605	717	617	626	992	569	991	761	1937	868	0	163	168	0	0	0	0	0	0	0	276	269	0	0	0	0	0	0	771	281	0	280	338	884	456	776	514	0	0	0	0	0	122	444	710	623	475	1178	0	0	1059	209	187	0	352	81	241	178	670	300	379	0
Gadd45b	366.197674	0	1811	1459	1115	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	1030	0	485	0	510	0	364	1479	1305	1543	900	0	232	280	0	0	0	0	0	0	0	230	384	0	0	0	0	0	0	336	361	0	714	1488	1048	650	581	388	0	0	0	0	0	0	0	1185	903	898	1316	793	0	107	843	688	470	565	0	1244	983	948	697	1057	0
Fos	359.186047	115	2919	2706	2285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	417	0	387	0	386	0	195	942	1135	705	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1497	0	0	325	786	542	239	471	430	0	0	0	0	0	0	0	1089	866	827	1122	876	0	709	756	751	550	848	0	1030	905	1009	716	1614	0
Bcl6	348.802326	0	2397	2691	2067	0	0	0	0	0	0	319	261	144	0	251	0	0	166	0	0	0	0	0	0	539	0	1298	0	1311	405	1206	416	1240	1465	970	0	532	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	497	0	0	229	548	389	233	381	227	0	0	0	344	0	350	0	227	296	610	554	143	0	555	550	936	417	758	0	893	626	374	397	1253	0
Tbc1d15	342.186047	0	1890	2002	1654	0	0	0	0	0	0	302	376	228	0	298	145	122	0	0	0	0	0	429	0	1111	86	1143	93	1149	0	735	1555	1787	1934	872	0	324	259	0	0	0	0	0	0	0	319	77	0	0	0	0	0	0	938	0	0	0	143	0	0	160	0	0	0	0	211	0	0	0	207	325	163	305	205	0	1063	566	647	525	816	0	749	709	487	544	1775	0
Tnfaip8	337.930233	0	2698	2121	1817	0	0	0	0	0	0	157	166	0	0	279	0	89	0	0	0	0	0	320	0	836	0	588	0	587	0	453	2061	2216	1649	630	0	166	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	1292	0	0	0	108	199	0	148	0	0	0	0	0	0	0	0	495	221	166	438	387	0	771	484	470	714	852	0	1172	931	842	556	1818	0
Ldha	337.674419	104	2342	2005	1771	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	177	0	1127	0	437	0	436	0	416	2141	2056	1904	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1421	0	0	0	301	439	311	591	88	0	0	0	240	0	0	0	328	481	425	657	453	0	296	275	458	320	697	0	1247	783	683	612	1635	0
Ubb	329.883721	114	2266	2137	1771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	113	185	108	206	187	339	970	1364	1293	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	125	0	273	853	798	284	412	202	0	0	0	0	0	127	0	540	515	639	853	464	0	206	653	960	838	832	0	1453	1203	875	856	1211	0
Mcl1	329.453488	0	1987	1874	1524	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	753	0	161	0	160	0	226	1261	1382	1975	973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020	0	0	308	940	1100	480	760	433	0	0	0	0	0	0	0	425	1040	1106	1334	915	0	208	234	264	504	664	0	895	855	605	523	1287	0
Rab18	329.081395	0	1247	1611	1325	0	0	0	0	0	0	314	128	0	0	105	0	0	0	0	0	0	0	173	0	1210	0	684	0	695	0	314	1167	1602	2513	1945	0	233	131	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	396	0	0	0	176	170	0	425	108	0	0	0	184	0	0	0	169	212	245	588	117	0	462	620	817	577	1242	0	1320	1168	918	864	1895	0
Ccdc150	311.476744	102	1069	996	741	0	0	0	0	0	0	213	206	237	0	135	0	0	0	0	0	0	0	350	0	1185	0	605	0	606	0	551	1547	1990	3098	2331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	321	81	548	451	0	714	353	429	802	1242	0	1044	1016	660	609	1959	0
Il6st	311.023256	0	2801	2714	2248	0	0	0	0	0	0	0	146	0	0	156	0	0	0	0	0	0	0	0	0	985	0	1024	0	1018	0	843	1139	1434	2040	1211	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	151	0	0	214	84	0	0	0	261	0	271	0	381	381	274	437	156	0	0	379	447	347	471	0	895	944	499	345	1433	0
Gcc1	310.337209	0	1656	1671	1207	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	235	0	1301	0	631	0	624	0	464	1649	2135	1645	1046	0	200	299	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	154	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	364	148	318	295	0	746	617	876	798	1496	0	1371	1272	655	698	1654	0
Junb	309.674419	0	1551	1867	1520	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	171	0	686	0	379	0	378	0	381	1230	1346	1653	1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	191	0	362	982	1072	628	503	202	0	0	0	0	0	0	0	461	478	564	998	554	0	341	484	662	460	730	0	899	940	465	870	875	0
Map3k1	307.011628	0	3215	3198	3131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	576	0	266	0	261	0	145	1116	757	2680	2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	188	696	379	833	809	0	250	117	0	305	712	0	811	521	545	446	1613	0
Slc41a1	303.220930	0	2295	2270	1795	0	0	0	0	0	0	260	171	0	0	232	132	133	0	0	0	0	0	152	0	1166	0	722	0	720	0	769	1137	1580	1488	1131	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	97	132	0	135	0	0	0	0	141	0	0	0	357	388	170	470	192	0	509	589	665	341	539	0	973	892	718	389	1571	0
Mrpl52	302.953488	0	1313	1360	983	0	0	0	0	0	0	192	222	225	0	127	0	0	0	0	0	0	0	167	0	1061	109	699	108	710	86	498	1316	1485	1721	1082	0	444	291	0	0	0	0	0	0	0	433	98	0	0	0	0	0	0	870	0	0	0	138	132	0	221	0	0	0	0	161	0	175	0	108	225	218	287	159	0	537	457	542	527	895	0	1228	1033	737	803	1871	0
Icam1	301.220930	0	0	0	0	0	0	0	0	0	0	458	358	268	0	258	0	118	0	0	0	0	0	245	0	1623	0	1406	0	1399	0	950	1425	1783	476	304	0	174	325	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	829	114	0	220	817	572	438	1036	379	0	0	0	163	0	361	0	0	102	0	300	0	0	428	733	611	698	969	0	1426	1059	610	648	1634	0
Slc25a30	300.988372	0	926	1035	737	0	0	0	0	0	0	0	166	171	0	141	70	83	0	0	0	0	0	0	0	1160	0	622	0	616	0	401	1186	1482	1437	722	0	192	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	388	112	0	418	1006	1260	791	584	351	0	0	0	143	0	0	0	664	673	889	1076	363	0	389	235	232	386	685	0	842	823	411	374	1452	0
Eapp	300.034884	0	275	269	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	608	331	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	537	88	896	1926	2222	1654	2123	1209	0	0	0	0	0	0	0	1413	1460	1110	1381	772	0	425	363	373	96	716	0	1130	1234	746	558	751	0
Spsb1	299.616279	0	1948	2079	1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	668	0	428	0	444	0	231	1558	1860	1329	706	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	0	0	220	384	156	0	177	0	0	0	0	0	0	0	0	603	307	362	564	396	0	735	547	386	656	657	0	995	828	736	600	1750	0
Nfkbiz	295.651163	0	1990	1788	1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979	0	587	0	586	0	511	1361	1648	892	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0	0	355	805	1026	637	678	323	0	0	0	0	0	203	0	520	360	748	793	419	0	305	224	193	170	294	0	869	732	580	540	1507	0
Irf1	292.255814	88	2044	1882	1636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	473	0	658	0	654	0	235	1221	1399	1615	1075	0	169	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	986	0	0	0	313	209	0	351	138	0	0	0	0	0	108	0	262	677	370	884	818	0	520	198	223	392	594	0	1073	669	664	554	1675	0
Irf2	290.837209	0	2032	1740	1585	0	0	0	0	0	0	259	150	0	0	132	0	0	0	0	0	0	0	0	0	960	0	651	0	649	0	387	1034	1762	1922	1300	0	159	154	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	491	0	0	0	150	131	0	259	0	0	0	0	191	0	202	0	0	207	166	506	346	0	354	507	656	368	582	0	1002	1024	577	616	1646	0
Scp2	285.674419	0	2579	2428	2230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	772	0	450	0	447	0	197	1556	1820	702	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1554	0	0	0	191	0	0	225	0	0	0	0	0	0	0	0	180	257	94	419	265	0	633	575	512	500	646	0	932	689	789	502	1965	0
C1rl	284.465116	118	1639	1620	1152	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	159	0	424	0	0	0	0	0	129	1688	1111	2346	1127	0	251	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	309	0	0	0	137	0	0	389	0	0	0	0	131	0	0	0	0	320	209	599	298	0	586	519	196	706	1237	0	1373	1196	936	1039	2089	0
Ikzf4	283.488372	0	2268	2084	1602	0	0	0	0	0	0	213	156	0	0	0	104	0	0	0	0	0	0	0	0	1522	0	769	0	770	0	249	1204	1563	2203	1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	170	0	463	207	0	445	267	255	653	1304	0	974	940	562	552	1339	0
Rsrc2	282.709302	0	1962	2210	1526	0	0	0	0	0	0	147	183	0	0	118	0	0	0	0	0	0	0	0	0	1106	0	579	0	578	0	520	821	1447	2120	1024	0	168	80	0	0	0	0	0	0	0	167	198	0	0	0	0	0	0	228	0	0	0	343	372	191	311	0	0	0	0	128	0	0	0	346	366	333	705	234	0	308	344	445	282	418	0	955	607	356	488	1599	0
Kntc1	282.709302	0	1962	2210	1526	0	0	0	0	0	0	147	183	0	0	118	0	0	0	0	0	0	0	0	0	1106	0	579	0	578	0	520	821	1447	2120	1024	0	168	80	0	0	0	0	0	0	0	167	198	0	0	0	0	0	0	228	0	0	0	343	372	191	311	0	0	0	0	128	0	0	0	346	366	333	705	234	0	308	344	445	282	418	0	955	607	356	488	1599	0
Nsmce1	279.476744	66	2258	2342	1777	233	104	0	0	0	0	540	543	314	0	84	0	0	0	0	0	0	0	0	0	690	165	583	164	594	240	412	624	862	2516	1664	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	102	0	0	212	0	0	0	0	131	0	158	0	0	260	156	270	199	0	166	437	641	236	510	0	830	738	356	486	973	0
Pde12	277.441860	0	1432	1431	1263	0	0	0	0	0	0	0	132	0	0	314	96	102	0	0	0	0	0	0	0	932	0	552	0	552	0	726	1410	1648	1520	944	0	166	0	0	130	0	0	0	0	0	165	0	0	0	0	0	0	0	228	0	0	0	0	111	0	365	0	0	0	0	104	0	0	0	194	389	421	581	270	0	338	505	424	468	874	0	1056	1077	613	587	1740	0
Tiparp	274.139535	0	2111	2138	1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	195	0	195	0	240	1181	1006	1261	595	0	146	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	889	95	0	248	877	1039	350	489	188	0	0	0	0	0	478	0	522	429	434	943	335	0	205	379	426	297	378	0	636	618	547	300	1320	0
Taf4b	272.348837	0	1521	1216	1019	0	0	0	0	0	0	139	117	0	0	115	0	0	0	0	0	0	0	0	0	656	0	590	0	586	123	307	984	1416	1919	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	126	576	368	327	299	131	0	0	0	0	0	0	0	444	460	561	841	544	0	446	228	154	338	754	0	734	709	524	366	1892	0
