Target_genes	Smad4|Average	SRX3014617|CD4-Positive_T-Lymphocytes	SRX3014618|CD4-Positive_T-Lymphocytes	SRX3014619|CD4-Positive_T-Lymphocytes	SRX3014620|CD4-Positive_T-Lymphocytes	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX4046280|Embryonic_limb	SRX5251388|Embryonic_Stem_Cells	SRX529265|Lung	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Trip12	252.277778	613	745	0	0	502	436	257	0	0	257	0	0	279	596	617	239	0	0	0
Fbxo36	252.277778	613	745	0	0	502	436	257	0	0	257	0	0	279	596	617	239	0	0	0
Spata1	252.055556	225	231	0	0	255	419	120	0	0	120	0	93	411	231	1613	495	93	231	0
Gng5	252.055556	225	231	0	0	255	419	120	0	0	120	0	93	411	231	1613	495	93	231	0
Alkbh3	247.111111	338	347	0	0	1266	1405	0	0	0	0	0	0	455	232	201	204	0	0	0
Calm3	246.611111	776	754	0	0	291	213	393	0	0	393	0	212	549	300	294	264	0	0	0
Slc44a1	245.166667	463	303	0	0	236	239	327	0	0	323	0	0	418	519	1005	580	0	0	0
Tmx4	243.388889	163	277	0	0	689	598	217	0	0	217	0	0	607	463	370	130	429	221	0
Cdkn2aipnl	240.555556	580	669	0	0	254	177	367	0	0	367	0	116	402	199	487	382	192	138	0
Znrd1as	238.333333	574	462	0	0	98	145	450	0	0	443	0	0	397	184	873	664	0	0	0
Znrd1	238.333333	574	462	0	0	98	145	450	0	0	443	0	0	397	184	873	664	0	0	0
Zfp819	237.277778	0	0	0	0	0	0	1290	0	0	1302	0	227	0	0	652	375	244	181	0
Golga5	236.444444	384	489	0	0	162	188	123	0	0	125	0	0	707	286	1080	424	181	107	0
Rbpj	234.500000	1223	996	0	0	137	192	244	0	0	261	0	0	372	325	233	147	0	91	0
Nfat5	230.444444	603	560	0	0	216	267	263	0	0	262	0	0	926	239	649	163	0	0	0
Adnp	229.888889	840	794	0	0	124	146	205	0	0	205	0	0	644	201	704	275	0	0	0
Gpx1	228.722222	209	194	0	0	128	138	313	0	0	310	0	146	894	0	1006	284	335	160	0
Timm10	228.277778	872	826	0	0	155	189	195	0	0	194	0	0	475	270	389	287	0	257	0
Urgcp	228.055556	284	305	0	0	361	411	621	0	0	620	0	136	240	238	724	165	0	0	0
Cdkn2aip	227.944444	297	354	0	0	118	252	291	0	0	288	0	109	306	484	1122	482	0	0	0
Fbxl3	227.722222	279	294	0	0	219	274	565	0	0	564	0	174	374	185	616	134	300	121	0
Zfp719	224.611111	463	451	0	0	306	294	225	0	0	224	0	143	310	719	641	147	120	0	0
Klf10	224.611111	494	470	0	0	236	423	294	0	0	302	0	0	252	296	797	397	0	82	0
Ubxn2a	223.611111	384	433	0	0	425	558	112	0	0	108	0	0	347	711	613	223	111	0	0
Tbpl1	222.944444	543	592	0	0	232	268	134	0	0	138	0	0	753	153	716	484	0	0	0
Hnrnph1	222.833333	651	484	0	0	238	275	182	0	0	180	0	0	306	247	842	308	142	156	0
Srd5a3	222.444444	656	645	0	0	320	430	224	0	0	222	0	0	509	167	632	199	0	0	0
Csnk1g2	221.333333	593	525	0	0	335	415	195	0	0	195	0	0	259	188	334	161	517	267	0
Nol8	219.555556	823	729	0	0	143	166	186	0	0	186	0	0	870	183	382	180	104	0	0
Cenpp	219.555556	823	729	0	0	143	166	186	0	0	186	0	0	870	183	382	180	104	0	0
Stat1	219.333333	727	670	0	0	109	116	224	0	0	223	0	0	286	133	751	486	123	100	0
Clptm1l	219.000000	500	572	0	0	182	205	160	0	0	159	0	0	413	486	607	537	121	0	0
Nsun6	218.222222	532	435	0	0	77	188	346	0	0	357	0	0	563	100	700	383	101	146	0
Arl5b	218.222222	532	435	0	0	77	188	346	0	0	357	0	0	563	100	700	383	101	146	0
Mbd3	218.111111	113	240	0	0	515	514	498	0	0	496	0	112	198	113	684	350	0	93	0
Mdc1	217.333333	534	306	0	0	0	0	204	0	0	204	0	0	676	0	1181	598	209	0	0
Vdac2	215.333333	474	527	0	0	367	468	191	0	0	189	0	0	288	250	482	300	234	106	0
Clcn4	215.333333	648	946	0	0	270	276	271	0	0	249	0	114	359	435	308	0	0	0	0
Bod1l	214.833333	696	551	0	0	229	146	265	0	0	264	0	0	746	270	330	370	0	0	0
Rara	214.055556	387	361	0	0	81	195	807	0	0	814	0	178	215	228	261	0	173	153	0
D3Ertd751e	213.611111	415	278	0	0	394	359	136	0	0	136	0	0	871	267	701	288	0	0	0
Socs2	212.388889	136	218	0	0	352	414	544	0	0	542	0	0	244	292	662	419	0	0	0
Sh3glb1	211.111111	405	468	0	0	349	257	194	0	0	193	0	0	356	286	894	269	129	0	0
Klf11	210.333333	314	573	0	0	309	262	446	0	0	454	0	200	186	381	509	152	0	0	0
Slc39a13	209.944444	434	400	0	0	136	260	0	0	0	0	0	0	1106	735	465	129	114	0	0
Nup54	209.722222	485	287	0	0	184	238	0	0	0	0	0	0	977	318	729	466	91	0	0
Zbed5	209.277778	369	347	0	0	439	492	386	0	0	388	0	150	226	366	302	0	171	131	0
Scaf11	207.777778	497	551	0	0	0	168	274	0	0	269	0	105	299	483	666	277	0	151	0
Cnpy1	207.444444	0	0	0	0	332	349	1275	0	194	1270	0	314	0	0	0	0	0	0	0
Pmepa1	207.222222	506	526	0	0	190	217	554	178	0	552	0	0	461	427	119	0	0	0	0
Bambi	205.166667	507	251	0	0	114	186	479	0	0	474	0	0	619	317	540	206	0	0	0
Smurf2	204.722222	264	470	0	0	263	401	182	0	0	181	0	98	341	364	634	243	139	105	0
Dcaf1	202.111111	1025	1005	143	0	73	0	0	0	0	0	0	0	177	208	341	199	240	227	0
Zfp335	201.833333	490	618	0	0	309	374	220	0	0	217	0	181	416	187	287	334	0	0	0
Saraf	201.333333	402	395	0	0	224	295	248	0	0	259	0	93	537	108	612	0	316	135	0
Tdp1	200.111111	413	491	0	0	226	302	368	0	0	361	0	0	281	206	515	141	184	114	0
Efcab11	200.111111	413	491	0	0	226	302	368	0	0	361	0	0	281	206	515	141	184	114	0
Med7	198.388889	1411	1392	0	0	114	89	0	0	0	0	0	0	157	137	202	0	0	69	0
Lrp6	197.222222	282	159	0	0	495	563	236	0	0	245	0	247	215	384	483	241	0	0	0
Ublcp1	196.388889	419	659	96	0	107	208	115	0	0	114	0	0	673	267	384	363	130	0	0
Fech	196.277778	155	137	0	0	270	288	0	0	0	0	0	0	608	193	1208	358	121	195	0
Amz2	196.277778	600	445	0	0	141	0	287	0	0	288	0	141	586	215	455	0	274	101	0
Tomm34	196.166667	250	229	0	0	290	178	183	0	0	191	0	0	438	202	840	235	315	180	0
Rbm25	195.833333	891	600	0	0	0	0	185	0	0	175	0	0	718	140	557	116	143	0	0
Homer3	195.777778	260	243	0	0	100	0	766	0	0	765	0	107	268	386	240	195	0	194	0
Fam3c	195.500000	576	553	0	0	225	295	123	0	0	123	0	0	156	218	948	302	0	0	0
Rnf115	195.055556	666	371	0	0	162	231	208	0	0	207	0	0	253	241	704	329	139	0	0
Polr3c	195.055556	666	371	0	0	162	231	208	0	0	207	0	0	253	241	704	329	139	0	0
Smc6	194.944444	289	299	0	0	359	408	337	0	0	339	0	0	415	382	530	151	0	0	0
Gen1	194.944444	289	299	0	0	359	408	337	0	0	339	0	0	415	382	530	151	0	0	0
Tob2	194.166667	500	426	0	0	315	292	203	0	0	202	0	0	527	147	507	376	0	0	0
Scaf8	194.111111	710	760	0	0	165	236	104	0	0	103	0	0	646	148	458	164	0	0	0
Pten	193.500000	513	509	0	0	146	147	190	0	0	200	0	0	428	391	690	269	0	0	0
Chrac1	192.555556	269	293	0	0	307	339	406	0	0	406	0	0	191	270	628	157	200	0	0
Ulk2	191.777778	380	371	0	0	370	474	223	0	0	222	0	131	372	249	502	158	0	0	0
Mapk9	191.722222	273	291	0	0	271	264	331	0	0	331	0	64	544	430	472	180	0	0	0
Tmem120b	191.555556	117	117	0	0	539	496	140	0	0	139	0	0	346	120	1071	136	110	117	0
Mtbp	191.222222	978	1017	0	0	200	195	139	0	0	138	0	0	314	281	180	0	0	0	0
Mrpl13	191.222222	978	1017	0	0	200	195	139	0	0	138	0	0	314	281	180	0	0	0	0
Tmco1	191.000000	496	364	0	0	297	390	145	0	0	142	0	0	582	226	283	192	194	127	0
Spen	189.222222	137	127	0	0	160	88	249	0	0	256	0	0	270	150	1089	397	230	253	0
Bhlhe40	189.000000	1090	744	0	117	82	100	119	0	0	125	0	0	467	197	361	0	0	0	0
Tom1	187.500000	369	595	0	0	465	506	153	0	0	153	0	0	262	178	537	157	0	0	0
Rnf138	187.277778	250	146	0	0	250	260	114	0	0	113	0	0	257	353	1188	440	0	0	0
Ap1g1	187.111111	594	513	0	0	242	130	151	0	0	150	0	128	536	197	407	192	128	0	0
Relt	186.444444	548	418	0	0	113	128	336	0	0	334	0	0	350	198	502	215	214	0	0
Tmem65	186.388889	575	305	0	0	64	158	165	0	0	165	0	0	286	248	778	287	180	144	0
E2f4	185.833333	170	211	0	0	166	254	384	0	0	385	0	0	784	146	511	93	241	0	0
Vdac3	185.055556	96	83	0	0	476	487	233	0	0	232	0	0	270	289	720	322	0	123	0
Ccdc71l	184.555556	251	222	0	0	294	245	0	0	0	0	0	0	679	168	929	534	0	0	0
Htra2	183.611111	323	377	0	0	0	100	0	0	0	0	0	0	853	237	574	436	235	170	0
Aup1	183.611111	323	377	0	0	0	100	0	0	0	0	0	0	853	237	574	436	235	170	0
Tbl1xr1	183.555556	623	312	0	0	0	126	346	0	0	355	0	0	529	279	524	210	0	0	0
Kdm1a	183.500000	587	714	0	0	203	257	183	0	0	184	0	0	389	183	388	215	0	0	0
Tsga10	183.166667	238	153	0	0	0	64	136	0	0	136	0	0	311	197	1254	718	90	0	0
Pgk1	181.944444	0	0	0	0	0	0	1192	0	449	1186	0	0	275	0	173	0	0	0	0
Ankrd10	181.666667	149	97	0	0	144	126	651	0	0	664	0	0	216	445	532	246	0	0	0
Ccni	180.944444	685	637	0	0	155	194	351	0	0	353	0	0	337	125	237	183	0	0	0
2010109A12Rik	180.944444	685	637	0	0	155	194	351	0	0	353	0	0	337	125	237	183	0	0	0
Hspe1	180.888889	665	573	0	0	0	0	258	0	0	263	0	115	270	528	418	166	0	0	0
Hspd1	180.888889	665	573	0	0	0	0	258	0	0	263	0	115	270	528	418	166	0	0	0
Ttc14	180.333333	272	356	0	0	357	453	121	0	0	120	0	0	644	138	583	202	0	0	0
Mrpl20	180.222222	577	407	0	0	185	149	0	0	0	0	0	0	995	332	146	248	108	97	0
Vapa	180.000000	106	159	0	0	183	180	104	0	0	103	0	0	320	244	973	494	252	122	0
Zcrb1	179.888889	592	481	0	0	286	313	257	0	0	268	0	0	323	340	229	149	0	0	0
Pphln1	179.888889	592	481	0	0	286	313	257	0	0	268	0	0	323	340	229	149	0	0	0
Rpl37	179.444444	447	416	0	0	0	216	291	0	0	289	0	0	623	528	302	118	0	0	0
Lipt2	179.444444	210	211	0	0	290	316	244	0	0	236	0	88	443	235	808	149	0	0	0
Elf2	179.000000	520	485	0	0	235	339	155	0	0	154	0	0	344	316	493	181	0	0	0
Armc9	178.944444	709	694	89	0	177	208	0	0	0	0	0	0	712	0	174	0	295	163	0
Map4	178.833333	408	478	0	0	207	196	0	0	0	0	0	0	485	304	616	290	142	93	0
Cluh	178.222222	243	321	0	0	124	96	495	0	0	507	0	142	489	184	475	132	0	0	0
Ddi2	178.111111	305	293	0	0	305	200	188	0	0	189	0	0	164	406	558	485	0	113	0
Ubtd1	178.055556	0	135	0	0	113	277	222	0	0	230	0	0	365	451	909	282	98	123	0
Mms19	178.055556	0	135	0	0	113	277	222	0	0	230	0	0	365	451	909	282	98	123	0
Yme1l1	178.000000	449	382	0	0	119	124	270	0	0	269	0	0	446	300	559	143	143	0	0
Phc2	178.000000	0	0	0	0	108	186	1299	0	0	1298	0	0	0	0	313	0	0	0	0
Mastl	178.000000	449	382	0	0	119	124	270	0	0	269	0	0	446	300	559	143	143	0	0
Med16	177.666667	101	199	0	0	0	0	922	0	643	924	0	0	106	303	0	0	0	0	0
Samd1	177.333333	351	205	0	0	84	101	315	0	0	312	0	129	95	618	787	195	0	0	0
Myl12a	175.777778	337	356	0	0	315	289	105	0	0	105	0	0	321	139	539	81	358	219	0
Prkag1	175.722222	292	300	0	0	115	108	146	0	0	145	0	0	797	0	484	228	386	162	0
Ogdhl	175.277778	396	247	0	0	207	171	575	0	98	573	0	172	240	273	203	0	0	0	0
Tsg101	175.000000	412	313	0	0	485	513	207	0	0	205	0	0	301	155	375	184	0	0	0
Lemd2	174.611111	124	265	0	0	124	140	152	0	0	153	0	0	1325	383	351	126	0	0	0
Oasl1	174.388889	0	93	0	0	228	279	391	0	567	401	454	0	335	391	0	0	0	0	0
Dpf3	174.333333	0	0	0	0	97	0	1482	0	82	1477	0	0	0	0	0	0	0	0	0
Tomt	173.888889	171	213	0	0	200	410	214	0	0	212	0	0	483	178	653	294	102	0	0
Pygo2	173.888889	301	247	0	0	194	158	181	0	0	181	0	0	484	198	511	367	153	155	0
Lamtor1	173.888889	171	213	0	0	200	410	214	0	0	212	0	0	483	178	653	294	102	0	0
Noct	173.611111	235	310	0	0	238	281	421	0	0	428	0	0	161	95	823	133	0	0	0
Rwdd1	173.388889	404	260	0	0	81	152	178	0	0	187	0	114	925	200	464	156	0	0	0
Ctnna1	173.277778	187	202	0	0	354	513	342	0	0	338	0	0	198	192	589	204	0	0	0
Srcap	173.055556	192	257	0	0	117	157	509	0	0	508	0	0	260	180	735	200	0	0	0
Nsfl1c	172.722222	338	424	0	0	0	123	0	0	0	0	0	0	1075	632	302	215	0	0	0
Zzef1	172.388889	482	581	0	0	172	209	116	0	0	114	0	0	617	220	302	137	0	153	0
Cyb5d2	172.388889	482	581	0	0	172	209	116	0	0	114	0	0	617	220	302	137	0	153	0
Tm2d2	172.111111	347	175	0	0	142	0	180	0	0	176	0	0	287	271	1026	229	158	107	0
Ints3	172.111111	236	237	0	0	147	119	115	0	0	115	0	0	508	148	1044	305	124	0	0
Adam9	172.111111	347	175	0	0	142	0	180	0	0	176	0	0	287	271	1026	229	158	107	0
Psmc6	171.555556	784	709	0	0	0	140	0	0	0	0	0	0	358	0	761	239	97	0	0
Faf1	171.388889	364	268	0	0	239	279	225	0	0	226	0	0	409	288	443	241	103	0	0
Gtdc1	170.888889	165	173	0	0	0	0	179	0	0	178	0	0	291	270	1384	436	0	0	0
Ywhae	170.611111	206	185	0	0	113	179	624	0	0	621	0	0	283	326	534	0	0	0	0
Adam17	170.444444	188	211	0	0	312	334	0	0	0	0	0	0	703	177	841	302	0	0	0
Dclre1b	169.833333	408	352	0	0	0	0	218	0	0	217	0	129	546	318	738	131	0	0	0
Ap4b1	169.833333	408	352	0	0	0	0	218	0	0	217	0	129	546	318	738	131	0	0	0
Ptpn12	169.111111	241	235	0	0	106	150	115	0	0	113	0	78	312	388	907	184	98	117	0
Pde8a	169.055556	331	330	0	0	146	115	85	0	0	91	0	0	695	0	755	384	111	0	0
Phip	168.944444	441	459	0	0	243	209	280	0	0	279	0	81	205	402	300	142	0	0	0
Calm2	168.833333	551	438	0	0	148	0	253	0	0	261	0	171	546	218	246	207	0	0	0
Rheb	168.666667	620	564	0	0	99	120	216	0	0	216	0	0	305	181	306	161	135	113	0
Get4	168.666667	485	552	0	0	176	160	146	0	0	155	0	0	363	205	369	170	113	142	0
Fra10ac1	168.444444	473	388	0	0	0	110	0	0	0	0	0	0	648	314	563	536	0	0	0
Eps15	168.388889	719	485	0	0	0	80	138	0	0	137	0	126	452	0	331	451	0	112	0
Vamp1	168.277778	487	422	0	0	233	280	82	0	0	81	0	0	474	182	460	0	213	115	0
Cfap20	168.111111	401	604	0	0	195	166	156	0	0	166	0	0	476	228	290	202	142	0	0
Usp3	167.666667	796	443	0	0	131	196	208	0	0	207	0	114	327	143	267	186	0	0	0
Mief1	167.611111	432	528	0	0	0	0	341	0	0	341	0	0	401	262	410	152	150	0	0
Slc39a7	167.444444	196	278	0	0	436	521	0	0	0	0	0	0	322	219	526	166	245	105	0
Rxrb	167.444444	196	278	0	0	436	521	0	0	0	0	0	0	322	219	526	166	245	105	0
Lpcat3	167.222222	299	417	0	0	144	179	381	0	0	390	0	0	104	151	730	152	63	0	0
Slc12a6	167.055556	155	156	0	0	0	185	217	0	0	217	0	0	191	258	1118	182	162	166	0
Mettl25	166.888889	473	542	0	0	429	330	0	0	0	0	0	0	484	150	275	321	0	0	0
Ccdc59	166.888889	473	542	0	0	429	330	0	0	0	0	0	0	484	150	275	321	0	0	0
Ssbp2	166.777778	370	260	0	0	220	246	274	0	0	273	0	89	258	253	521	238	0	0	0
Rgs12	166.722222	0	0	0	0	141	145	1149	0	0	1162	0	0	133	112	159	0	0	0	0
Eif3d	166.444444	833	943	0	0	209	190	0	0	0	0	0	0	240	336	142	103	0	0	0
Copg1	166.333333	721	714	0	0	0	0	149	0	0	149	0	0	602	0	328	0	142	189	0
Baz1b	166.222222	365	338	0	0	180	280	108	0	0	108	0	0	272	148	661	430	102	0	0
Trir	166.055556	149	175	0	0	208	238	0	0	0	0	0	0	380	233	729	460	291	126	0
Grin2d	166.000000	144	208	0	0	261	316	146	0	0	145	0	104	163	395	769	337	0	0	0
Lemd3	165.944444	385	420	0	0	500	826	89	0	0	88	0	0	189	103	258	129	0	0	0
Nsun4	165.666667	414	480	0	0	234	379	273	0	0	273	0	0	430	0	326	173	0	0	0
Ctla2b	165.666667	210	111	0	0	0	0	0	0	0	0	0	0	1431	0	650	0	317	263	0
Uros	165.333333	270	388	0	0	488	547	288	0	0	290	0	0	350	172	183	0	0	0	0
Bccip	165.333333	270	388	0	0	488	547	288	0	0	290	0	0	350	172	183	0	0	0	0
Bmpr2	165.222222	269	226	0	0	257	267	315	0	0	316	0	0	303	265	563	79	0	114	0
B3gnt2	165.166667	708	557	0	0	246	335	107	0	0	116	0	0	532	103	202	67	0	0	0
Cpsf1	165.111111	385	307	0	0	203	117	110	0	0	119	0	0	709	791	119	112	0	0	0
Wwc2	165.055556	0	0	0	0	93	162	167	0	0	166	0	131	574	170	1196	312	0	0	0
Utp3	164.888889	458	592	0	0	0	0	119	0	0	116	0	123	859	209	137	200	155	0	0
Zfp654	164.833333	233	216	0	0	532	753	127	0	0	135	0	0	299	168	343	161	0	0	0
Cggbp1	164.833333	233	216	0	0	532	753	127	0	0	135	0	0	299	168	343	161	0	0	0
Slc30a1	164.666667	0	152	0	0	84	170	0	0	0	0	0	0	219	1990	220	129	0	0	0
Isy1	164.444444	410	379	0	0	129	113	83	0	0	83	0	0	866	323	296	104	174	0	0
U2surp	164.055556	407	505	0	0	0	0	234	0	0	242	0	0	415	150	650	234	116	0	0
Api5	163.166667	334	384	0	0	186	412	165	0	0	160	0	0	487	142	375	292	0	0	0
Ndufs7	163.111111	394	495	0	0	102	150	0	0	0	0	0	0	688	631	160	206	110	0	0
Cnot11	163.055556	191	273	0	0	118	149	280	0	0	287	0	0	329	280	568	168	214	78	0
Toe1	162.555556	154	190	0	0	152	144	181	0	0	179	0	0	585	210	485	246	227	173	0
Mutyh	162.555556	154	190	0	0	152	144	181	0	0	179	0	0	585	210	485	246	227	173	0
Nr1d2	162.222222	298	298	0	0	154	316	99	0	0	99	0	0	623	312	538	183	0	0	0
Susd6	161.944444	264	284	0	0	130	169	167	0	0	165	0	0	513	142	719	106	0	256	0
Rpl22	161.888889	626	424	0	0	147	192	222	0	0	231	0	0	280	201	254	137	200	0	0
Fbh1	161.888889	166	134	0	0	193	232	243	0	0	252	0	76	471	357	424	213	153	0	0
Ankrd16	161.888889	166	134	0	0	193	232	243	0	0	252	0	76	471	357	424	213	153	0	0
Ankrd11	161.722222	202	168	0	0	100	0	278	0	0	280	0	0	319	78	891	135	228	232	0
Ssh2	161.611111	429	236	0	0	158	202	243	0	0	242	0	0	276	226	699	198	0	0	0
Tsc22d2	161.000000	705	618	0	0	249	333	0	0	0	0	0	0	193	161	342	174	123	0	0
Zfp568	160.888889	167	120	0	0	135	143	0	0	0	0	0	0	585	498	865	275	108	0	0
Rap2a	160.722222	451	493	0	0	134	131	233	0	0	232	0	0	747	0	295	177	0	0	0
Mff	160.666667	397	422	0	0	369	560	97	0	0	95	0	0	370	274	169	139	0	0	0
Ube2n	160.611111	267	301	0	0	0	107	162	0	0	163	0	0	437	291	698	200	141	124	0
Pkm	160.555556	247	265	0	0	120	97	211	0	0	210	0	115	310	156	622	537	0	0	0
Arntl	160.555556	150	0	0	0	686	798	160	0	0	159	0	0	296	186	455	0	0	0	0
Marchf8	160.444444	165	0	0	0	597	579	281	0	0	283	0	0	318	178	219	128	140	0	0
Fez2	160.277778	143	115	0	0	507	586	181	0	0	182	0	0	205	276	461	142	87	0	0
Bcl3	160.111111	529	292	0	0	136	205	159	0	0	161	0	0	163	0	742	276	91	128	0
Rasa1	160.000000	272	374	0	0	195	224	120	0	0	119	0	0	177	209	797	285	108	0	0
Rnf111	159.888889	183	166	0	0	180	252	103	0	0	102	0	0	241	124	1240	287	0	0	0
Neurl4	159.611111	279	256	0	0	196	218	0	0	0	0	0	0	305	740	511	284	84	0	0
2810408A11Rik	159.611111	279	256	0	0	196	218	0	0	0	0	0	0	305	740	511	284	84	0	0
Cux1	159.500000	380	317	0	0	190	157	83	0	0	81	0	0	450	121	600	323	169	0	0
Ube2j2	159.333333	230	218	0	0	157	111	138	0	0	138	0	0	935	364	244	146	187	0	0
Dync1h1	159.222222	251	249	0	0	209	298	103	0	0	113	0	0	367	189	528	0	405	154	0
Btbd7	159.055556	402	378	0	0	363	259	211	0	0	205	0	0	303	247	403	92	0	0	0
Myo1d	158.833333	358	356	0	0	434	523	290	0	0	290	0	84	319	0	205	0	0	0	0
Dnajb12	158.666667	235	281	0	0	175	217	101	0	0	100	0	84	386	279	552	258	188	0	0
Polg	157.833333	435	398	0	0	156	268	0	0	0	0	0	0	532	149	556	347	0	0	0
Tubgcp6	157.611111	332	330	0	0	219	280	0	0	0	0	0	0	525	363	233	435	120	0	0
Sec31a	157.500000	288	388	0	0	151	155	102	0	0	101	0	0	632	276	419	148	175	0	0
Phf20l1	157.388889	263	290	0	0	343	451	161	0	0	161	0	0	165	290	364	201	144	0	0
Meaf6	157.388889	322	382	0	0	285	217	222	0	0	222	0	129	234	391	306	123	0	0	0
Plekha1	157.222222	327	427	0	0	385	452	0	0	0	0	0	0	383	120	544	192	0	0	0
Tulp4	157.166667	461	213	0	0	141	113	296	0	0	296	0	0	270	229	578	232	0	0	0
Slc35f5	157.000000	171	120	0	0	303	180	121	0	0	120	0	0	525	342	574	268	102	0	0
