Target_genes	Tcf7|Average	SRX3154102|CD4-Positive_T-Lymphocytes	SRX4667998|CD4-Positive_T-Lymphocytes	SRX4668000|CD4-Positive_T-Lymphocytes	SRX1411153|CD4_CD8_double_positive_cells	SRX1267280|CD8-Positive_T-Lymphocytes	SRX1267281|CD8-Positive_T-Lymphocytes	SRX373141|CD8-Positive_T-Lymphocytes	SRX092472|EML_	SRX2438808|Natural_Killer_T-Cells	SRX2438811|Natural_Killer_T-Cells	SRX3154101|Tfh	SRX1411151|Thymocytes	SRX1411152|Thymocytes	SRX1411163|Thymocytes	SRX275397|Thymus	SRX389596|Thymus	SRX4667999|Treg	STRING
Akap13	200.000000	0	218	0	0	564	0	0	479	0	0	179	0	188	270	836	381	285	0
Cacybp	194.470588	0	415	0	0	338	0	0	682	0	0	94	0	254	294	680	312	237	0
Oaz2	192.058824	0	334	0	0	198	0	0	740	0	0	299	0	0	289	858	360	187	0
Hjurp	191.411765	0	388	0	0	260	0	0	326	0	0	114	0	0	1050	658	228	230	0
A730008H23Rik	191.411765	0	388	0	0	260	0	0	326	0	0	114	0	0	1050	658	228	230	0
Phospho1	189.882353	0	580	0	0	167	0	0	413	0	0	244	0	273	157	705	296	393	0
Thoc1	187.764706	0	329	0	0	222	0	0	557	0	0	326	0	0	289	897	252	320	0
Cdk11b	184.470588	0	272	0	0	219	0	0	401	0	0	224	0	0	386	999	413	222	0
Dcaf1	181.764706	0	377	0	0	260	0	0	516	0	0	249	0	0	233	668	377	410	0
Abhd8	178.588235	0	390	0	0	521	0	68	127	0	0	276	0	0	165	795	288	406	0
Srsf7	176.352941	0	177	0	127	155	0	0	551	0	0	0	0	334	295	959	286	114	0
Sphk2	175.705882	0	383	0	0	231	0	0	577	0	0	232	0	0	87	714	353	410	0
A130010J15Rik	175.470588	0	346	0	0	380	0	0	228	0	0	377	0	0	0	915	346	391	0
H2bc12	172.647059	0	0	0	140	0	0	0	330	0	0	0	506	810	1000	149	0	0	0
H2ac12	172.647059	0	0	0	140	0	0	0	330	0	0	0	506	810	1000	149	0	0	0
Phf12	169.411765	0	454	0	0	240	0	0	175	0	0	287	0	254	204	831	258	177	0
Grcc10	169.117647	0	253	0	0	295	0	0	211	0	0	150	0	0	0	1148	514	304	0
Nolc1	165.882353	0	95	0	0	308	0	0	202	0	0	117	0	0	94	1363	641	0	0
Rrs1	161.411765	0	0	0	480	0	0	0	0	0	0	0	250	1475	539	0	0	0	0
Sptlc2	160.705882	0	189	0	0	384	0	0	93	0	0	172	0	293	313	742	375	171	0
Znrf3	160.529412	0	232	0	0	260	0	0	860	0	0	199	0	386	268	320	0	204	0
H2bc21	158.705882	0	329	0	0	127	0	0	325	0	0	213	0	206	498	648	150	202	0
H2ac20	158.705882	0	329	0	0	127	0	0	325	0	0	213	0	206	498	648	150	202	0
Taf1	155.823529	0	291	0	0	316	0	0	658	0	0	172	0	0	151	657	129	275	0
Tcf7	155.000000	0	551	0	0	0	0	0	740	242	0	0	0	128	180	268	0	526	0
Rfx3	154.764706	0	223	0	0	416	0	0	193	0	0	195	0	216	284	637	322	145	0
Cd101	154.352941	0	0	0	0	303	0	0	0	0	0	0	0	0	0	1454	867	0	0
Itk	152.000000	0	308	0	0	247	0	0	107	0	0	213	0	0	0	1133	423	153	0
Acot1	150.941176	0	0	0	518	0	0	0	0	0	0	0	238	1221	589	0	0	0	0
Yaf2	149.470588	0	255	0	0	281	0	0	647	0	0	247	0	0	139	501	155	316	0
Ubn2	148.470588	0	307	0	0	197	0	0	117	0	0	117	0	179	211	823	477	96	0
Nadk	148.470588	0	208	0	180	0	0	0	110	0	0	0	115	497	341	584	354	135	0
Ccdc105	143.294118	0	0	0	748	0	0	0	0	0	0	0	0	1329	359	0	0	0	0
Hspb1	141.941176	0	0	0	374	0	0	0	0	0	0	0	146	1402	491	0	0	0	0
Septin9	140.823529	0	0	0	145	0	0	0	849	0	0	0	0	235	173	774	218	0	0
Prr23a1	140.235294	0	0	0	641	0	0	0	0	0	0	0	77	1052	614	0	0	0	0
Ppme1	139.823529	0	141	0	0	189	0	0	1521	0	0	0	0	0	198	328	0	0	0
C2cd3	139.823529	0	141	0	0	189	0	0	1521	0	0	0	0	0	198	328	0	0	0
Ambra1	139.235294	0	289	0	0	229	0	0	561	0	0	217	0	170	315	383	0	203	0
Tpra1	139.117647	0	287	0	0	302	0	0	178	0	0	213	0	0	108	759	317	201	0
Slc16a5	138.823529	0	339	0	0	296	0	0	0	0	0	0	0	0	0	1076	649	0	0
Acot5	138.411765	0	0	0	443	0	0	0	0	0	0	0	314	1057	539	0	0	0	0
Pdia4	138.058824	0	123	0	0	292	0	0	178	0	0	147	0	0	186	990	431	0	0
Irf2	137.588235	0	208	0	0	247	0	0	0	0	0	133	86	314	321	542	260	228	0
Krtap28-13	137.235294	0	0	0	620	0	0	0	0	0	0	0	115	1017	581	0	0	0	0
Prpf38b	135.941176	0	281	0	0	191	0	0	192	0	0	302	0	293	192	547	209	104	0
Ralgapb	133.529412	0	188	0	0	224	0	0	103	0	0	146	0	0	418	787	287	117	0
Tes	132.117647	0	0	0	0	315	0	93	181	0	0	277	0	0	171	727	482	0	0
Adcy3	131.411765	0	139	0	0	218	0	0	0	0	0	0	0	419	307	791	190	170	0
Eef1g	131.294118	0	0	0	0	127	0	0	113	0	0	0	0	0	96	1183	713	0	0
H2bc22	129.352941	0	0	0	127	0	0	0	267	0	0	0	286	654	865	0	0	0	0
H2ac22	129.352941	0	0	0	127	0	0	0	267	0	0	0	286	654	865	0	0	0	0
Klhl42	128.294118	0	170	0	167	95	0	0	0	0	0	0	0	554	394	526	146	129	0
Prr23a3	128.117647	0	0	0	569	0	0	0	0	0	0	0	96	1103	410	0	0	0	0
Gm3448	127.823529	0	170	0	0	146	0	0	389	0	0	183	0	0	622	366	88	209	0
Gm3417	127.823529	0	170	0	0	146	0	0	389	0	0	183	0	0	622	366	88	209	0
Snrpe	127.705882	0	236	0	0	295	0	0	481	0	0	241	0	0	282	364	109	163	0
Gmeb2	127.529412	0	0	0	264	0	0	0	0	0	0	0	125	807	845	127	0	0	0
Sp9	127.470588	0	136	0	0	184	0	0	0	0	0	195	0	277	0	1051	324	0	0
Zap70	126.470588	0	196	0	0	244	0	0	0	0	0	144	0	0	192	898	252	224	0
Fam185a	125.411765	0	298	0	0	173	0	0	158	0	0	0	0	386	435	374	178	130	0
Ccdc146	125.411765	0	298	0	0	173	0	0	158	0	0	0	0	386	435	374	178	130	0
H2bc11	124.764706	0	0	0	153	0	0	0	213	0	0	0	306	589	860	0	0	0	0
H2ac11	124.764706	0	0	0	153	0	0	0	213	0	0	0	306	589	860	0	0	0	0
Msh6	123.941176	0	0	0	0	103	0	0	255	0	0	0	0	397	235	716	401	0	0
Tnfrsf19	123.294118	0	304	0	0	286	0	0	0	0	0	121	0	0	407	654	173	151	0
Sec31a	123.000000	0	148	0	0	242	0	0	711	0	0	262	0	162	331	235	0	0	0
Tcte3	122.352941	0	170	0	0	146	0	0	384	0	0	183	0	0	622	366	0	209	0
H4c18	122.117647	0	0	0	0	104	0	0	175	0	0	0	323	599	709	166	0	0	0
H2ac10	121.823529	0	0	0	167	0	0	0	136	0	0	0	320	772	676	0	0	0	0
Mtf2	121.647059	0	204	0	0	239	0	0	387	0	0	120	0	0	211	725	182	0	0
Rnf5	121.470588	0	213	0	0	344	0	0	194	0	0	239	0	0	62	550	204	259	0
Tmem120b	121.117647	0	0	0	0	0	0	0	0	0	0	0	0	263	223	943	630	0	0
Rptor	120.941176	0	0	0	97	0	0	0	319	0	0	0	0	524	327	490	299	0	0
Gm3435	120.823529	0	170	0	0	146	0	0	384	0	0	183	0	0	622	340	0	209	0
Stk31	120.117647	0	0	0	372	0	0	0	0	0	0	0	0	1151	519	0	0	0	0
Cox18	119.588235	0	0	0	0	0	0	0	147	0	0	0	0	179	301	940	466	0	0
Ppp1ccb	119.176471	0	0	0	251	0	0	0	267	0	0	0	184	874	450	0	0	0	0
Fbrs	118.882353	0	0	0	91	108	0	0	0	0	0	0	0	491	258	713	360	0	0
Spaca1	118.705882	0	0	0	233	0	0	0	0	0	0	0	0	1267	518	0	0	0	0
Ppp1cc	118.235294	0	0	0	251	0	0	0	267	0	0	0	168	874	450	0	0	0	0
Relch	117.705882	0	262	0	0	174	0	0	74	0	0	117	0	197	425	385	235	132	0
Pign	117.705882	0	262	0	0	174	0	0	74	0	0	117	0	197	425	385	235	132	0
Rev1	117.117647	0	202	0	0	158	0	0	563	0	0	0	0	463	238	196	0	171	0
Snrpc	116.882353	0	0	0	0	121	0	0	297	0	0	0	0	0	285	949	335	0	0
Prpf4b	116.882353	0	0	0	0	0	0	0	60	0	0	0	0	569	374	732	252	0	0
Bloc1s3	116.529412	0	0	0	115	0	0	0	0	0	0	0	0	958	323	478	107	0	0
Cluh	115.941176	0	0	0	0	85	0	0	82	0	0	0	146	667	209	533	249	0	0
Ywhaq	115.882353	0	146	0	0	228	0	0	370	0	0	0	0	162	612	263	189	0	0
Prr23a2	115.058824	0	0	0	205	0	0	0	0	0	0	0	115	1007	629	0	0	0	0
Runx3	114.764706	0	200	0	0	369	0	0	133	0	0	257	0	461	103	241	0	187	0
Fsip1	114.000000	0	166	0	0	270	0	0	0	0	0	301	0	0	329	500	202	170	0
Hnrnpd	113.705882	0	147	0	0	154	0	0	470	0	0	135	0	153	294	322	111	147	0
Cox20	113.705882	0	152	0	0	180	0	0	491	0	0	134	0	0	96	663	217	0	0
Esyt2	113.117647	0	101	0	0	119	0	0	251	0	0	0	0	661	269	336	186	0	0
Acot4	113.117647	0	0	0	276	0	0	0	0	0	0	0	240	1012	395	0	0	0	0
Tmem267	112.882353	0	0	0	291	0	0	0	0	122	0	0	0	742	764	0	0	0	0
Zfp982	112.705882	0	0	0	522	0	0	0	0	0	0	0	0	701	693	0	0	0	0
Sema4f	112.588235	0	0	0	236	170	0	0	0	0	0	230	0	613	512	0	0	153	0
Lrpprc	112.470588	0	211	0	0	115	0	0	407	0	0	146	0	463	341	229	0	0	0
Srp19	112.411765	0	0	0	0	259	0	0	529	0	0	149	0	162	350	374	88	0	0
Dffb	112.294118	0	0	0	353	0	0	0	94	0	0	0	0	216	1023	223	0	0	0
Zfp870	112.117647	0	0	0	0	0	0	0	819	0	0	146	0	0	198	555	188	0	0
H2bc4	111.941176	0	0	0	0	0	0	0	365	0	0	0	214	344	830	150	0	0	0
H2ac6	111.941176	0	0	0	0	0	0	0	365	0	0	0	214	344	830	150	0	0	0
Zfp445	111.882353	0	221	0	0	0	0	0	437	0	0	169	0	0	289	454	183	149	0
Fut8	111.764706	0	0	0	0	0	0	0	0	0	0	0	202	639	1059	0	0	0	0
Tmem229a	111.235294	0	0	0	468	0	0	0	0	188	0	0	0	647	588	0	0	0	0
Tex14	110.823529	0	0	0	0	0	0	0	411	0	0	0	0	661	422	299	91	0	0
H4bc24	110.647059	0	0	0	0	0	0	0	250	0	0	0	323	599	709	0	0	0	0
H2bc23	110.647059	0	0	0	0	0	0	0	250	0	0	0	323	599	709	0	0	0	0
H2ac24	110.647059	0	0	0	0	0	0	0	250	0	0	0	323	599	709	0	0	0	0
H2ac23	110.647059	0	0	0	0	0	0	0	250	0	0	0	323	599	709	0	0	0	0
Atp6v0a1	110.647059	0	207	0	0	292	0	0	250	0	0	0	0	0	151	787	194	0	0
Tex12	110.235294	0	0	0	367	0	0	0	0	0	0	0	0	980	527	0	0	0	0
Tlk2	109.941176	0	0	0	315	0	0	0	187	0	0	0	215	613	539	0	0	0	0
Rps29	109.941176	0	0	0	167	96	0	0	372	0	0	0	0	0	446	282	506	0	0
Fgf18	109.941176	0	0	0	202	0	0	0	766	146	0	0	0	347	279	129	0	0	0
Pdia5	109.823529	0	0	0	138	0	0	0	0	0	0	0	0	992	737	0	0	0	0
Acot6	109.705882	0	0	0	300	0	0	0	0	0	0	0	202	909	454	0	0	0	0
Lce1m	109.588235	0	0	0	125	0	0	0	0	0	0	0	0	1118	620	0	0	0	0
Slc7a5	109.294118	0	213	0	0	227	0	0	297	0	0	171	0	324	180	298	0	148	0
BC048644	109.294118	0	213	0	0	227	0	0	297	0	0	171	0	324	180	298	0	148	0
H2bc7	109.117647	0	0	0	148	0	0	0	185	0	0	0	363	556	603	0	0	0	0
H2ac7	109.117647	0	0	0	148	0	0	0	185	0	0	0	363	556	603	0	0	0	0
Mon1b	109.058824	0	0	0	0	157	0	0	1054	0	0	81	0	0	0	365	197	0	0
Sec1	108.764706	0	0	0	320	0	0	0	0	0	0	0	0	1187	342	0	0	0	0
D030056L22Rik	108.411765	0	0	0	325	0	0	0	97	0	0	0	86	719	455	161	0	0	0
H3c15	108.235294	0	0	0	153	0	0	0	264	0	0	0	227	676	520	0	0	0	0
H3c14	108.235294	0	0	0	153	0	0	0	264	0	0	0	227	676	520	0	0	0	0
Abhd5	107.764706	0	0	0	161	187	0	0	198	0	0	218	0	355	314	191	0	208	0
Ndufab1	107.294118	0	0	0	208	0	0	0	155	0	0	0	135	710	447	169	0	0	0
Timmdc1	107.176471	0	217	0	0	200	0	0	162	0	0	86	0	0	287	401	323	146	0
4930444P10Rik	107.058824	0	0	0	177	0	0	0	0	0	0	0	157	904	582	0	0	0	0
Usp22	106.882353	0	138	0	0	273	0	0	294	0	0	0	0	293	320	380	119	0	0
Mest	106.882353	0	0	0	251	0	0	0	0	0	0	0	125	1167	274	0	0	0	0
Irgq	106.588235	0	0	0	0	0	0	0	114	0	0	0	0	0	145	1058	495	0	0
Dnah8	106.588235	0	0	0	0	114	0	0	0	0	0	0	0	247	697	464	290	0	0
Fam71b	106.411765	0	356	0	0	197	0	0	0	0	0	0	0	0	0	920	336	0	0
Taf10	106.294118	0	0	0	115	108	0	0	131	0	0	70	135	613	286	349	0	0	0
H2bc13	106.176471	0	0	0	0	0	0	0	178	0	0	0	269	489	869	0	0	0	0
H2ac13	106.176471	0	0	0	0	0	0	0	178	0	0	0	269	489	869	0	0	0	0
Chmp2b	105.941176	0	160	0	0	152	0	0	0	0	0	156	0	0	411	602	156	164	0
H3c10	105.764706	0	0	0	0	0	0	0	171	0	0	0	269	489	869	0	0	0	0
Dnajc6	105.176471	0	0	0	292	0	0	0	0	0	0	0	95	813	481	107	0	0	0
Rapgef6	105.117647	0	0	0	0	197	0	0	150	0	0	0	0	0	302	785	353	0	0
H2bc8	104.882353	0	0	0	0	0	0	0	198	0	0	0	194	329	934	128	0	0	0
H2ac8	104.882353	0	0	0	0	0	0	0	198	0	0	0	194	329	934	128	0	0	0
Pgls	104.823529	0	0	0	0	0	0	0	295	0	0	0	0	412	147	642	286	0	0
B3galnt2	104.529412	0	0	0	0	166	0	0	0	0	0	0	0	263	295	716	337	0	0
H3c2	104.058824	0	0	0	0	0	0	0	154	0	0	0	257	540	818	0	0	0	0
Dars2	104.058824	0	123	0	0	129	0	0	128	0	0	76	0	0	223	620	332	138	0
Vstm2a	103.764706	0	0	0	329	0	0	0	0	0	0	0	0	949	486	0	0	0	0
Zfp641	103.529412	0	0	0	386	0	0	0	0	0	0	0	95	1014	265	0	0	0	0
Ptx3	103.470588	0	0	0	299	0	0	0	0	0	0	0	115	954	391	0	0	0	0
Dock10	103.411765	0	0	0	0	0	0	0	0	0	0	0	0	691	390	499	178	0	0
Cdv3	103.294118	0	0	0	68	100	0	0	0	0	0	0	86	692	392	306	112	0	0
Sys1	103.117647	0	0	0	0	74	0	0	0	0	0	0	0	365	312	664	338	0	0
Mpp7	102.882353	0	0	0	331	0	0	0	0	0	0	0	115	398	905	0	0	0	0
H2-Q8	102.588235	0	0	0	140	0	0	0	0	0	0	0	212	888	504	0	0	0	0
H2-Q6	102.588235	0	0	0	140	0	0	0	0	0	0	0	212	888	504	0	0	0	0
Msh4	102.294118	0	0	0	342	0	0	0	0	0	0	0	0	968	429	0	0	0	0
Atf2	102.117647	0	120	0	0	114	0	0	144	0	0	0	0	0	238	634	486	0	0
Med1	102.000000	0	164	0	0	120	0	0	627	0	0	218	0	0	174	264	0	167	0
Sycp1	101.823529	0	0	0	357	0	0	0	0	0	0	0	0	1117	257	0	0	0	0
H2bc14	101.764706	0	0	0	0	0	0	0	178	0	0	0	265	553	734	0	0	0	0
Creb1	101.705882	0	116	0	0	138	0	0	87	0	0	90	0	0	184	740	374	0	0
H4c17	101.294118	0	0	0	0	0	0	0	196	0	0	0	268	597	563	98	0	0	0
Gmcl1	101.117647	0	0	0	0	0	0	0	119	0	0	0	77	613	348	455	107	0	0
Rasa1	100.941176	0	150	0	0	143	0	0	217	0	0	0	0	508	401	297	0	0	0
BC107364	100.823529	0	0	0	293	0	0	0	0	0	0	0	187	889	345	0	0	0	0
H2ac4	100.705882	0	0	0	0	0	0	0	154	0	0	0	257	483	818	0	0	0	0
Slc35a1	100.529412	0	0	0	110	0	0	0	183	0	0	0	190	519	446	261	0	0	0
Otud5	100.529412	0	0	0	244	0	0	0	0	0	0	0	0	601	305	363	196	0	0
Susd5	100.294118	0	0	0	488	0	0	0	0	0	0	0	0	799	418	0	0	0	0
Sh2b1	100.000000	0	0	0	0	0	0	0	741	99	0	0	0	162	87	406	205	0	0
Diaph2	99.941176	0	166	0	0	106	0	0	202	0	0	201	0	216	227	314	124	143	0
Pakap	99.882353	0	0	0	423	0	0	0	0	0	0	0	105	649	521	0	0	0	0
Ndufv1	99.823529	0	0	0	0	119	0	0	224	0	0	0	0	0	165	857	332	0	0
Mtfmt	99.823529	0	137	0	0	94	0	0	0	0	0	0	0	408	311	483	264	0	0
Zc3h15	99.352941	0	0	0	0	0	0	0	192	0	0	0	0	530	354	356	257	0	0
Insl3	99.352941	0	0	0	338	0	0	0	0	0	0	0	0	1229	122	0	0	0	0
Ccdc194	99.352941	0	0	0	369	0	0	0	0	0	0	0	0	1075	245	0	0	0	0
Serpinb6a	98.823529	0	148	0	0	140	0	0	110	0	0	108	0	355	415	242	0	162	0
Rasef	98.823529	0	0	0	413	0	0	0	0	0	0	0	0	949	318	0	0	0	0
Klhdc10	98.823529	0	121	0	0	140	0	0	181	0	0	0	0	452	407	214	165	0	0
Birc6	98.705882	0	132	0	0	92	0	0	302	0	0	0	0	386	307	307	152	0	0
Slc26a4	98.470588	0	0	0	226	0	0	0	0	0	0	0	146	959	343	0	0	0	0
Iqsec1	98.470588	0	130	0	0	152	0	0	0	0	0	0	0	759	369	146	0	118	0
Khdrbs1	98.176471	0	0	0	127	0	0	0	0	0	0	0	0	397	249	670	226	0	0
Thsd7a	97.764706	0	0	0	355	0	0	0	0	0	0	0	0	835	472	0	0	0	0
Tfb2m	97.705882	0	0	0	0	98	0	0	189	0	0	0	0	0	217	830	327	0	0
Cnst	97.705882	0	0	0	0	98	0	0	189	0	0	0	0	0	217	830	327	0	0
Sucla2	97.647059	0	0	0	127	0	0	0	127	0	0	0	86	699	441	180	0	0	0
Smarca5	97.470588	0	0	0	307	0	0	0	0	0	0	0	95	729	416	110	0	0	0
Pax2	97.470588	0	0	0	290	0	0	0	0	0	0	0	0	1075	292	0	0	0	0
Cxcr4	97.470588	0	0	0	0	0	0	0	0	0	0	0	0	0	251	784	622	0	0
Ttc14	97.411765	0	0	0	0	108	0	0	345	0	0	0	0	592	421	190	0	0	0
Tmem181a	97.294118	0	0	0	217	0	0	0	97	0	0	0	167	673	500	0	0	0	0
Trim59	97.176471	0	137	0	0	0	0	0	200	0	0	0	0	179	257	722	157	0	0
Asf1a	97.117647	0	202	0	0	193	0	0	93	0	0	84	0	299	314	248	114	104	0
Pgap1	97.058824	0	215	0	0	244	0	0	0	0	0	280	0	0	139	406	146	220	0
9030025P20Rik	96.941176	0	122	0	0	0	0	0	389	0	0	100	0	0	494	280	88	175	0
Rad21	96.647059	0	0	0	0	131	0	0	132	0	0	0	0	136	269	697	278	0	0
Tob2	96.294118	0	0	0	0	0	0	0	796	0	0	0	0	0	295	372	174	0	0
9030624G23Rik	96.235294	0	0	0	326	0	0	0	0	0	0	0	116	832	362	0	0	0	0
Olfr66	96.000000	0	0	0	417	0	0	0	0	0	0	0	0	800	415	0	0	0	0
Gltpd2	95.941176	0	0	0	0	0	0	0	0	0	0	0	0	1308	323	0	0	0	0
Ripk1	95.764706	0	148	0	0	140	0	0	110	0	0	108	0	355	363	242	0	162	0
Atp2a3	95.764706	0	0	0	0	0	0	0	95	0	0	0	0	334	206	668	325	0	0
Gpbp1	95.647059	0	136	0	0	0	0	0	84	0	0	0	0	228	248	644	286	0	0
Tnfaip3	95.529412	0	87	0	0	169	0	0	197	0	0	0	0	554	387	230	0	0	0
H3c4	95.411765	0	0	0	0	0	0	0	137	0	0	0	363	519	603	0	0	0	0
Csnk1a1	95.411765	0	283	0	0	240	0	0	385	0	0	142	0	0	249	323	0	0	0
Atg16l1	95.235294	0	0	0	0	121	0	0	165	0	0	0	0	383	419	531	0	0	0
Nrbp1	95.117647	0	0	0	0	0	0	0	810	0	0	0	0	373	242	192	0	0	0
Myo18a	94.764706	0	135	0	0	297	0	0	0	0	0	0	0	0	217	660	302	0	0
Morc3	94.647059	0	0	0	0	0	0	0	303	0	0	0	0	386	371	366	183	0	0
Hsd11b2	94.588235	0	0	0	294	0	0	0	0	0	0	0	95	889	330	0	0	0	0
Slc35e3	94.470588	0	0	0	167	0	0	0	0	0	0	0	135	701	603	0	0	0	0
Carnmt1	94.470588	0	0	0	336	0	0	0	0	0	0	0	202	675	393	0	0	0	0
Inafm1	93.823529	0	0	0	115	0	0	0	141	0	0	0	0	767	351	221	0	0	0
Cep126	93.705882	0	0	0	189	0	0	0	0	0	0	0	115	813	476	0	0	0	0
Arhgap11a	93.705882	0	0	0	0	161	0	0	143	0	0	0	0	0	236	694	359	0	0
H2bc18	93.588235	0	0	0	0	0	0	0	233	0	0	0	140	474	744	0	0	0	0
Dcaf10	93.176471	0	124	0	91	0	0	0	345	0	0	0	157	428	233	206	0	0	0
Gm960	93.000000	0	0	0	352	0	0	0	0	0	0	0	0	722	507	0	0	0	0
Fgfbp3	92.705882	0	0	0	120	0	0	0	0	0	0	0	157	767	532	0	0	0	0
Ubald2	92.470588	0	0	0	0	183	0	0	137	0	0	0	0	589	267	396	0	0	0
H2-Q9	92.470588	0	0	0	155	0	0	0	0	0	0	0	208	685	524	0	0	0	0
H2-Q7	92.470588	0	0	0	155	0	0	0	0	0	0	0	208	685	524	0	0	0	0
Ntsr2	92.411765	0	0	0	305	0	0	0	0	0	0	0	0	898	368	0	0	0	0
Lpar1	92.411765	0	0	0	331	0	0	0	0	0	0	0	0	861	379	0	0	0	0
Htra1	92.235294	0	0	0	271	0	0	0	0	0	0	0	115	764	418	0	0	0	0
Fbrsl1	92.000000	0	0	0	284	0	0	0	88	0	0	0	0	751	318	123	0	0	0
Ddx4	92.000000	0	0	0	276	0	0	0	0	0	0	0	0	964	324	0	0	0	0
Nupl1	91.882353	0	0	0	0	91	0	0	88	0	0	0	0	386	388	431	178	0	0
Clptm1	91.823529	0	0	0	0	106	0	0	309	0	0	0	0	206	276	421	243	0	0
Mael	91.705882	0	0	0	262	0	0	0	0	0	0	0	0	944	353	0	0	0	0
Adnp	91.647059	0	108	0	0	0	0	0	415	0	0	0	0	408	254	373	0	0	0
Zfp219	91.529412	0	157	0	0	153	0	0	162	0	0	0	0	254	259	327	156	88	0
Setdb1	91.470588	0	0	0	127	0	0	0	152	0	0	0	0	655	621	0	0	0	0
Ablim1	91.470588	0	0	0	314	0	0	0	0	0	0	0	0	872	369	0	0	0	0
Trp53rka	91.411765	0	0	0	122	0	0	0	113	0	0	0	214	636	345	124	0	0	0
Bcas2	91.294118	0	106	0	0	104	0	0	0	0	0	0	0	0	117	919	306	0	0
Gm13285	91.176471	0	0	0	0	0	0	0	152	0	0	0	214	534	519	131	0	0	0
Pdzrn4	91.117647	0	0	0	208	0	0	0	0	0	0	0	0	749	592	0	0	0	0
Nrsn1	91.117647	0	0	0	239	0	0	0	0	0	0	0	0	799	511	0	0	0	0
H3c13	91.117647	0	0	0	0	0	0	0	191	0	0	0	140	474	744	0	0	0	0
Tmem229b	91.058824	0	0	0	111	0	0	0	0	0	0	0	0	597	465	375	0	0	0
Tctex1d1	91.058824	0	0	0	0	0	0	0	0	0	0	0	0	0	344	705	499	0	0
Secisbp2l	90.647059	0	0	0	0	0	0	0	136	0	0	0	115	637	529	124	0	0	0
Proser1	90.588235	0	0	0	0	0	0	0	183	0	0	0	0	104	167	692	394	0	0
Nhlrc3	90.588235	0	0	0	0	0	0	0	183	0	0	0	0	104	167	692	394	0	0
Smtnl2	90.470588	0	0	0	293	0	0	0	0	0	0	0	95	756	394	0	0	0	0
Prcc	90.352941	0	192	0	0	131	0	0	0	0	0	0	0	0	295	660	258	0	0
Gm38538	90.176471	0	0	0	299	0	0	0	0	0	0	0	148	705	381	0	0	0	0
Usp36	90.058824	0	232	0	0	126	0	0	160	0	0	67	0	0	255	415	138	138	0
Rnf225	89.941176	0	0	0	391	0	0	0	0	0	0	0	0	794	344	0	0	0	0
Lama1	89.941176	0	0	0	383	0	0	0	0	0	0	0	0	795	351	0	0	0	0
Gm13290	89.823529	0	0	0	0	0	0	0	152	0	0	0	191	534	519	131	0	0	0
Gm13289	89.823529	0	0	0	0	0	0	0	152	0	0	0	191	534	519	131	0	0	0
Ermard	89.823529	0	113	0	0	0	0	0	309	0	0	126	0	0	405	366	0	208	0
