Target_genes	Smad1|Average	SRX1082039|Embryonic_Stem_Cells	SRX1082040|Embryonic_Stem_Cells	SRX2401993|Embryonic_Stem_Cells	SRX2401994|Embryonic_Stem_Cells	SRX2401996|Embryonic_Stem_Cells	SRX2401997|Embryonic_Stem_Cells	SRX100314|G1E	SRX100317|G1E	SRX700955|Hair_Follicle	SRX700957|Hair_Follicle	SRX1082042|mESC_derived_epiblast-like_cells	SRX1082043|mESC_derived_epiblast-like_cells	STRING
Eif4a3	162.083333	0	0	0	0	0	0	0	1945	0	0	0	0	0
Arf3	162.000000	0	0	0	0	0	0	0	1944	0	0	0	0	0
Brf1	160.250000	81	0	0	0	0	0	0	1842	0	0	0	0	0
Ubr3	160.166667	0	0	0	0	0	0	70	1852	0	0	0	0	0
Zbtb40	160.000000	0	0	0	0	0	0	0	1920	0	0	0	0	0
Znfx1	159.166667	0	0	0	0	0	0	1910	0	0	0	0	0	0
Ddhd2	158.583333	0	0	0	0	0	0	100	1803	0	0	0	0	0
Zfp566	158.250000	0	0	0	0	0	0	131	1768	0	0	0	0	0
Haspin	157.583333	0	0	0	0	0	0	0	1891	0	0	0	0	0
Gmppa	157.500000	0	0	0	0	0	0	0	1890	0	0	0	0	0
Fam76a	157.500000	0	0	0	0	0	0	197	1693	0	0	0	0	0
Rps28	157.250000	0	0	0	0	0	0	0	1887	0	0	0	0	0
Styxl1	157.166667	0	0	0	0	0	0	0	1767	0	119	0	0	0
Mdh2	157.166667	0	0	0	0	0	0	0	1767	0	119	0	0	0
Slc35b4	156.250000	0	0	0	0	0	0	0	1875	0	0	0	0	0
Atf2	156.166667	0	0	0	0	0	0	0	1874	0	0	0	0	0
Ssbp1	156.083333	0	0	0	0	0	0	134	1739	0	0	0	0	0
Tmco1	156.000000	0	0	0	0	0	0	0	1872	0	0	0	0	0
Qrich1	155.916667	0	0	0	0	0	0	0	1871	0	0	0	0	0
Casc4	155.916667	0	0	0	0	0	0	0	1871	0	0	0	0	0
Art4	155.833333	0	0	0	0	0	0	1870	0	0	0	0	0	0
Denr	155.500000	0	0	0	0	0	0	0	1866	0	0	0	0	0
Chuk	155.500000	0	0	0	0	0	0	0	1866	0	0	0	0	0
Nudt1	155.333333	0	0	0	0	0	0	0	1864	0	0	0	0	0
Tspyl1	155.166667	0	0	0	0	0	0	0	1862	0	0	0	0	0
Abhd18	155.083333	0	0	0	0	0	0	0	1861	0	0	0	0	0
Stxbp4	154.916667	0	0	0	0	0	0	0	1859	0	0	0	0	0
Cox11	154.916667	0	0	0	0	0	0	0	1859	0	0	0	0	0
Sec23ip	154.833333	0	0	0	0	0	0	0	1858	0	0	0	0	0
Micos10	154.500000	0	0	0	0	0	0	0	1854	0	0	0	0	0
Rraga	154.416667	0	0	0	0	0	0	0	1853	0	0	0	0	0
Ddx20	154.333333	0	0	0	0	0	0	122	1730	0	0	0	0	0
Slfn14	154.083333	0	0	0	0	0	0	1849	0	0	0	0	0	0
Rpl26	153.833333	0	0	0	0	0	0	0	1846	0	0	0	0	0
Dbr1	153.833333	0	0	0	0	0	0	0	1846	0	0	0	0	0
Zzz3	153.666667	0	0	0	0	0	0	0	1844	0	0	0	0	0
Rbm26	153.166667	0	0	0	0	0	0	0	1838	0	0	0	0	0
Thap1	153.000000	0	0	0	0	0	0	0	1836	0	0	0	0	0
Fadd	152.916667	0	0	0	0	0	0	0	1835	0	0	0	0	0
Nsun3	152.083333	0	0	0	0	0	0	0	1825	0	0	0	0	0
Rpl12	151.833333	0	0	0	0	0	0	0	1822	0	0	0	0	0
Lrsam1	151.833333	0	0	0	0	0	0	0	1822	0	0	0	0	0
Ireb2	151.833333	0	0	0	0	0	0	0	1822	0	0	0	0	0
Phf12	151.416667	0	0	0	0	0	0	0	1817	0	0	0	0	0
Puf60	151.083333	0	0	0	0	0	0	0	1813	0	0	0	0	0
Hspa4	150.916667	0	0	0	0	0	0	0	1811	0	0	0	0	0
Rpl10a	150.833333	0	0	0	0	0	0	0	1810	0	0	0	0	0
Tmem209	150.750000	0	0	0	0	0	0	97	1712	0	0	0	0	0
Ssmem1	150.750000	0	0	0	0	0	0	97	1712	0	0	0	0	0
Mob1a	150.750000	0	0	0	0	0	0	0	1809	0	0	0	0	0
Bzw1	150.750000	0	0	0	0	0	0	0	1809	0	0	0	0	0
Lsm14a	150.500000	0	0	0	0	0	0	0	1806	0	0	0	0	0
Eif5	150.333333	0	0	0	0	0	0	0	1804	0	0	0	0	0
Btbd10	149.083333	0	0	0	0	0	0	0	1789	0	0	0	0	0
Wdr77	149.000000	0	0	0	0	0	0	0	1669	0	119	0	0	0
Atp5pb	149.000000	0	0	0	0	0	0	0	1669	0	119	0	0	0
Septin7	148.666667	0	0	0	0	0	0	109	1675	0	0	0	0	0
Hsbp1	148.416667	0	0	0	0	0	0	0	1781	0	0	0	0	0
Supt5	148.333333	0	0	0	0	0	0	0	1780	0	0	0	0	0
Tubgcp5	148.250000	0	0	0	0	0	0	0	1779	0	0	0	0	0
Mfsd8	148.000000	0	0	0	0	0	0	0	1776	0	0	0	0	0
Rps3a1	147.833333	0	0	0	0	0	0	0	1774	0	0	0	0	0
Psmd5	147.416667	0	0	0	0	0	0	0	1769	0	0	0	0	0
Slc25a4	147.000000	0	0	0	0	0	0	0	1764	0	0	0	0	0
Cenpt	146.833333	0	0	0	0	0	0	0	1762	0	0	0	0	0
Slc39a7	146.750000	0	0	0	0	0	0	0	1761	0	0	0	0	0
Rxrb	146.750000	0	0	0	0	0	0	0	1761	0	0	0	0	0
Abi1	146.666667	0	0	0	0	0	0	0	1760	0	0	0	0	0
Pnpla6	146.583333	0	0	0	0	0	0	0	1759	0	0	0	0	0
Srcap	146.416667	0	0	0	0	0	0	0	1757	0	0	0	0	0
Ppp4r3b	146.333333	0	0	0	0	0	0	140	1616	0	0	0	0	0
Cdk12	145.916667	0	0	0	0	0	0	0	1657	0	94	0	0	0
Tmem86b	145.750000	0	0	0	0	0	0	1749	0	0	0	0	0	0
Ikzf5	145.750000	0	0	0	0	0	0	114	1635	0	0	0	0	0
Acadsb	145.750000	0	0	0	0	0	0	114	1635	0	0	0	0	0
Hells	145.583333	0	0	0	0	0	0	0	1747	0	0	0	0	0
Myef2	144.833333	0	0	0	0	0	0	0	1738	0	0	0	0	0
Bckdk	144.833333	0	0	0	0	0	0	0	1738	0	0	0	0	0
Vmac	144.416667	0	0	0	0	0	0	0	1733	0	0	0	0	0
Ndufa11	144.416667	0	0	0	0	0	0	0	1733	0	0	0	0	0
Akap11	144.166667	0	0	0	0	0	0	0	1730	0	0	0	0	0
Nop14	144.000000	0	0	0	0	0	0	0	1728	0	0	0	0	0
Grk4	144.000000	0	0	0	0	0	0	0	1728	0	0	0	0	0
Prpf4	143.916667	0	0	0	0	0	0	0	1727	0	0	0	0	0
Cdc26	143.916667	0	0	0	0	0	0	0	1727	0	0	0	0	0
Copb2	143.750000	0	0	0	0	0	0	0	1725	0	0	0	0	0
Gpbp1	143.250000	0	0	0	0	0	0	0	1719	0	0	0	0	0
Mapk14	142.833333	0	0	0	0	0	0	0	1714	0	0	0	0	0
Coq9	142.833333	0	0	0	0	0	0	0	1714	0	0	0	0	0
Ciapin1	142.833333	0	0	0	0	0	0	0	1714	0	0	0	0	0
Slc39a9	142.333333	0	0	0	0	0	0	0	1708	0	0	0	0	0
Erh	142.333333	0	0	0	0	0	0	0	1708	0	0	0	0	0
Ptgr2	142.166667	0	0	0	0	0	0	0	1706	0	0	0	0	0
Naa35	142.000000	0	0	0	0	0	0	0	1704	0	0	0	0	0
Rpl7a	141.750000	0	0	0	0	0	0	0	1701	0	0	0	0	0
Med22	141.750000	0	0	0	0	0	0	0	1701	0	0	0	0	0
Vps4b	141.250000	0	0	0	0	0	0	0	1695	0	0	0	0	0
Pibf1	141.250000	0	0	0	0	0	0	0	1695	0	0	0	0	0
Dis3	141.250000	0	0	0	0	0	0	0	1695	0	0	0	0	0
Sec62	140.833333	0	0	0	0	0	0	0	1690	0	0	0	0	0
Uhrf2	140.250000	0	0	0	0	0	0	0	1683	0	0	0	0	0
Cul3	140.250000	0	0	0	0	0	0	0	1683	0	0	0	0	0
Marchf7	139.333333	0	0	0	0	0	0	0	1672	0	0	0	0	0
Gdi2	139.250000	0	0	0	0	0	0	0	1671	0	0	0	0	0
Fubp1	139.166667	0	0	0	0	0	0	0	1670	0	0	0	0	0
Dnajb4	139.166667	0	0	0	0	0	0	0	1670	0	0	0	0	0
Sipa1l1	138.666667	0	0	0	0	0	0	0	1664	0	0	0	0	0
Tmem183a	138.583333	0	0	0	0	0	0	128	1535	0	0	0	0	0
Srsf10	137.750000	0	0	0	0	0	0	0	1653	0	0	0	0	0
Clptm1	137.333333	0	0	0	0	0	0	99	1549	0	0	0	0	0
Gpatch3	137.250000	0	0	0	0	0	0	127	1520	0	0	0	0	0
Adnp	136.500000	0	0	0	0	0	0	170	1468	0	0	0	0	0
Mrtfb	135.666667	0	0	0	0	0	0	0	1628	0	0	0	0	0
Sugp1	135.083333	0	0	0	0	0	0	0	1621	0	0	0	0	0
Mau2	135.083333	0	0	0	0	0	0	0	1621	0	0	0	0	0
Dctn2	134.916667	0	0	0	0	0	0	0	1619	0	0	0	0	0
Xpc	134.833333	0	0	0	0	0	0	154	1464	0	0	0	0	0
Ncoa4	134.833333	0	0	0	0	0	0	0	1618	0	0	0	0	0
Lsm3	134.833333	0	0	0	0	0	0	154	1464	0	0	0	0	0
Zfp91	134.000000	0	0	0	0	0	0	0	1608	0	0	0	0	0
Lpxn	134.000000	0	0	0	0	0	0	0	1608	0	0	0	0	0
Rab5c	133.500000	0	0	0	0	0	0	197	1405	0	0	0	0	0
Ptpn4	133.333333	0	0	0	0	0	0	0	1600	0	0	0	0	0
Exo5	133.333333	0	0	0	0	0	0	0	1600	0	0	0	0	0
Sap18b	133.250000	0	0	0	0	0	0	0	1599	0	0	0	0	0
Sap18	133.250000	0	0	0	0	0	0	0	1599	0	0	0	0	0
Il1rl1	132.916667	0	0	0	0	0	0	1595	0	0	0	0	0	0
Mettl16	132.500000	0	0	0	0	0	0	0	1590	0	0	0	0	0
Map3k7	132.333333	0	0	0	0	0	0	0	1588	0	0	0	0	0
Tmem134	132.166667	0	0	0	0	0	0	140	1446	0	0	0	0	0
Mpc2	132.166667	0	0	0	0	0	0	0	1586	0	0	0	0	0
Dcaf6	132.166667	0	0	0	0	0	0	0	1586	0	0	0	0	0
Aip	132.166667	0	0	0	0	0	0	140	1446	0	0	0	0	0
Ube2d3	132.000000	0	0	0	0	0	0	0	1584	0	0	0	0	0
Rab33b	131.750000	0	0	0	0	0	0	0	1581	0	0	0	0	0
Cct5	131.750000	0	0	0	0	0	0	0	1581	0	0	0	0	0
Atpsckmt	131.750000	0	0	0	0	0	0	0	1581	0	0	0	0	0
Trappc2	131.583333	0	0	0	0	0	0	0	1579	0	0	0	0	0
Rps19	131.583333	0	0	0	0	0	0	0	1579	0	0	0	0	0
Ofd1	131.583333	0	0	0	0	0	0	0	1579	0	0	0	0	0
Matr3	130.833333	0	0	0	0	0	0	123	1447	0	0	0	0	0
Smg5	130.750000	0	0	0	0	0	0	0	1569	0	0	0	0	0
Prdx1	130.750000	0	0	0	0	0	0	0	1569	0	0	0	0	0
Nol11	130.750000	0	0	0	0	0	0	0	1569	0	0	0	0	0
Mbtps1	130.333333	0	0	0	0	0	0	0	1564	0	0	0	0	0
Scamp5	130.166667	0	0	0	0	0	0	0	1562	0	0	0	0	0
Mak16	130.166667	0	0	0	0	0	0	0	1562	0	0	0	0	0
Cul5	129.916667	0	0	0	0	0	0	102	1457	0	0	0	0	0
Agl	129.750000	0	0	0	0	0	0	0	1557	0	0	0	0	0
Tcf25	129.500000	0	0	0	0	0	0	0	1554	0	0	0	0	0
Spc25	129.416667	0	0	0	0	0	0	0	1553	0	0	0	0	0
Tasor2	129.083333	0	0	0	0	0	0	0	1549	0	0	0	0	0
Asxl1	129.083333	0	0	0	0	0	0	0	1549	0	0	0	0	0
Exosc10	129.000000	0	0	0	0	0	0	0	1548	0	0	0	0	0
Dnajc27	129.000000	0	0	0	0	0	0	0	1548	0	0	0	0	0
Zbtb2	128.750000	0	0	0	0	0	0	0	1345	0	200	0	0	0
B230219D22Rik	128.166667	0	0	0	0	0	0	0	1538	0	0	0	0	0
Snrpg	127.750000	0	0	0	0	0	0	0	1533	0	0	0	0	0
Ncapg	127.750000	0	0	0	0	0	0	0	1533	0	0	0	0	0
Mysm1	127.500000	0	0	0	0	0	0	0	1530	0	0	0	0	0
Nptn	127.250000	0	0	0	0	0	0	0	1527	0	0	0	0	0
Ercc6l2	127.083333	0	0	0	0	0	0	0	1525	0	0	0	0	0
Relch	126.916667	0	0	0	0	0	0	0	1523	0	0	0	0	0
Pign	126.916667	0	0	0	0	0	0	0	1523	0	0	0	0	0
Wdr6	126.750000	0	0	0	0	0	0	0	1521	0	0	0	0	0
Rc3h2	126.666667	0	0	0	0	0	0	0	1520	0	0	0	0	0
Spdl1	126.500000	0	0	0	0	0	0	0	1518	0	0	0	0	0
Dzip3	126.166667	0	0	0	0	0	0	0	1514	0	0	0	0	0
Cip2a	126.166667	0	0	0	0	0	0	0	1514	0	0	0	0	0
Dars	126.000000	0	0	0	0	0	0	0	1512	0	0	0	0	0
Kpna2	125.916667	0	0	0	0	0	0	0	1511	0	0	0	0	0
Yipf3	125.750000	0	0	0	0	0	0	0	1509	0	0	0	0	0
Polr1c	125.750000	0	0	0	0	0	0	0	1509	0	0	0	0	0
Ift74	125.416667	0	0	0	0	0	0	0	1505	0	0	0	0	0
Ska3	125.250000	0	0	0	0	0	0	0	1503	0	0	0	0	0
Mrpl57	125.250000	0	0	0	0	0	0	0	1503	0	0	0	0	0
Thada	125.083333	0	0	0	0	0	0	0	1501	0	0	0	0	0
Yod1	125.000000	0	0	0	0	0	0	0	1500	0	0	0	0	0
Rpp38	124.916667	0	0	0	0	0	0	0	1499	0	0	0	0	0
Luc7l2	124.750000	0	0	0	0	0	0	0	1497	0	0	0	0	0
Rom1	124.666667	0	0	0	0	0	0	1496	0	0	0	0	0	0
Slc25a11	124.583333	0	0	0	0	0	0	0	1495	0	0	0	0	0
Rnf167	124.583333	0	0	0	0	0	0	0	1495	0	0	0	0	0
Atf7	123.916667	0	0	0	0	0	0	0	1487	0	0	0	0	0
Vdac3	123.833333	0	0	0	0	0	0	0	1486	0	0	0	0	0
Gid8	123.750000	0	0	0	0	0	0	210	1275	0	0	0	0	0
Spata33	123.583333	0	0	0	0	0	0	0	1483	0	0	0	0	0
Chmp1a	123.583333	0	0	0	0	0	0	0	1483	0	0	0	0	0
Gypa	122.916667	0	0	0	0	0	0	1475	0	0	0	0	0	0
St7	121.833333	0	0	0	0	0	0	1462	0	0	0	0	0	0
Tmem107	121.666667	0	0	0	0	0	0	0	1460	0	0	0	0	0
Timm17a	121.583333	0	0	0	0	0	0	0	1459	0	0	0	0	0
Taok1	121.500000	0	0	0	0	0	0	68	1390	0	0	0	0	0
Rbm39	121.166667	0	0	0	0	0	0	0	1454	0	0	0	0	0
Npm1	121.166667	0	0	0	0	0	0	0	1454	0	0	0	0	0
Tmem129	121.083333	0	0	0	0	0	0	0	1453	0	0	0	0	0
Tacc3	121.083333	0	0	0	0	0	0	0	1453	0	0	0	0	0
Ramac	121.083333	0	0	0	0	0	0	0	1453	0	0	0	0	0
Timm13	121.000000	0	0	0	0	0	0	0	1452	0	0	0	0	0
BC004004	121.000000	0	0	0	0	0	0	0	1452	0	0	0	0	0
Josd2	119.916667	0	0	0	0	0	0	0	1439	0	0	0	0	0
Rictor	119.666667	0	0	0	0	0	0	0	1436	0	0	0	0	0
Usp53	119.333333	0	0	0	0	0	0	0	1432	0	0	0	0	0
Trim10	119.333333	0	0	0	0	0	0	1432	0	0	0	0	0	0
Creld2	119.333333	0	0	0	0	0	0	0	1432	0	0	0	0	0
Alg12	119.333333	0	0	0	0	0	0	0	1432	0	0	0	0	0
Srp19	119.083333	0	0	0	0	0	0	0	1429	0	0	0	0	0
Lsm8	118.750000	0	0	0	0	0	0	0	1425	0	0	0	0	0
Edrf1	118.250000	0	0	0	0	0	0	0	1419	0	0	0	0	0
Cd2bp2	117.416667	0	0	0	0	0	0	0	1409	0	0	0	0	0
Nupl1	117.250000	0	0	0	0	0	0	0	1407	0	0	0	0	0
Ahctf1	117.250000	0	0	0	0	0	0	124	1283	0	0	0	0	0
Rmi1	117.000000	0	0	0	0	0	0	0	1404	0	0	0	0	0
Hnrnpk	117.000000	0	0	0	0	0	0	0	1404	0	0	0	0	0
Thoc1	116.916667	0	0	0	0	0	0	159	1244	0	0	0	0	0
Rfc5	116.916667	0	0	0	0	0	0	0	1403	0	0	0	0	0
Pkhd1l1	116.500000	0	0	0	0	0	0	1398	0	0	0	0	0	0
Rnf4	116.083333	0	0	0	0	0	0	0	1393	0	0	0	0	0
Pmf1	115.833333	0	0	0	0	0	0	150	1240	0	0	0	0	0
Upf3a	115.500000	0	0	0	0	0	0	0	1386	0	0	0	0	0
Pheta2	115.333333	0	0	0	0	0	0	1384	0	0	0	0	0	0
Ctse	115.250000	0	0	0	0	0	0	1383	0	0	0	0	0	0
Slc15a4	115.000000	0	0	0	0	0	0	0	1380	0	0	0	0	0
Zfp317	114.750000	0	0	0	0	0	0	0	1377	0	0	0	0	0
Banp	114.583333	0	0	0	0	0	0	0	1375	0	0	0	0	0
Spsb3	114.250000	0	0	0	0	0	0	0	1371	0	0	0	0	0
Nubp2	114.250000	0	0	0	0	0	0	0	1371	0	0	0	0	0
Cep350	114.250000	0	0	0	0	0	0	0	1371	0	0	0	0	0
Naa38	113.833333	0	0	0	0	0	0	0	1366	0	0	0	0	0
Ggnbp2	113.833333	0	0	0	0	0	0	0	1366	0	0	0	0	0
Cyb5d1	113.833333	0	0	0	0	0	0	0	1366	0	0	0	0	0
Pbld2	113.583333	0	0	0	0	0	0	0	1363	0	0	0	0	0
Hnrnph3	113.583333	0	0	0	0	0	0	0	1363	0	0	0	0	0
Ergic2	112.916667	0	0	0	0	0	0	0	1355	0	0	0	0	0
Ccdc62	112.583333	0	0	0	0	0	0	0	1351	0	0	0	0	0
Pou4f1	112.083333	0	0	0	0	0	0	0	1345	0	0	0	0	0
Micu2	112.083333	0	0	0	0	0	0	0	1345	0	0	0	0	0
Glce	112.083333	0	0	0	0	0	0	0	1345	0	0	0	0	0
Smim10l1	112.000000	0	0	0	0	0	0	0	1344	0	0	0	0	0
Usp47	111.833333	0	0	0	0	0	0	0	1342	0	0	0	0	0
Snca	111.833333	0	0	0	0	0	0	1342	0	0	0	0	0	0
Kazald1	111.750000	0	0	0	0	0	0	0	1341	0	0	0	0	0
Mre11a	111.416667	0	0	0	0	0	0	0	1337	0	0	0	0	0
Ankrd49	111.416667	0	0	0	0	0	0	0	1337	0	0	0	0	0
Pik3r2	111.250000	0	0	0	0	0	0	0	1335	0	0	0	0	0
Nfyc	111.250000	0	0	0	0	0	0	0	1335	0	0	0	0	0
Ube2d2a	110.583333	0	0	0	0	0	0	0	1327	0	0	0	0	0
Get4	110.333333	0	0	0	0	0	0	137	1187	0	0	0	0	0
Polr2e	110.166667	0	0	0	0	0	0	0	1322	0	0	0	0	0
Snx5	110.000000	0	0	0	0	0	0	0	1320	0	0	0	0	0
Slc34a3	110.000000	0	0	0	0	0	0	1320	0	0	0	0	0	0
Mgme1	110.000000	0	0	0	0	0	0	0	1320	0	0	0	0	0
Chaf1a	109.833333	0	0	0	0	0	0	0	1318	0	0	0	0	0
Nprl3	109.750000	0	0	0	0	0	0	0	1317	0	0	0	0	0
Gpr19	109.750000	0	0	0	0	0	0	0	1317	0	0	0	0	0
Nutf2	109.583333	0	0	0	0	0	0	809	506	0	0	0	0	0
Calr	109.250000	115	276	0	0	0	0	797	123	0	0	0	0	0
Stx4a	109.166667	0	0	0	0	0	0	140	1170	0	0	0	0	0
Naa25	108.833333	0	0	0	0	0	0	0	1306	0	0	0	0	0
Wnk1	108.750000	0	0	0	0	0	0	0	1305	0	0	0	0	0
Lyl1	108.750000	0	0	0	0	0	0	1305	0	0	0	0	0	0
Mob1b	108.250000	0	0	0	0	0	0	0	1299	0	0	0	0	0
Ccrl2	108.083333	0	0	0	0	0	0	1297	0	0	0	0	0	0
Smdt1	107.666667	0	0	0	0	0	0	0	1292	0	0	0	0	0
Frrs1	107.666667	0	0	0	0	0	0	1292	0	0	0	0	0	0
Cdc45	107.500000	0	0	0	0	0	0	0	1290	0	0	0	0	0
Rps6	107.333333	0	0	0	0	0	0	0	1288	0	0	0	0	0
Cep70	107.166667	0	0	0	0	0	0	1286	0	0	0	0	0	0
Phf5a	107.083333	0	0	0	0	0	0	0	1285	0	0	0	0	0
Aco2	107.083333	0	0	0	0	0	0	0	1285	0	0	0	0	0
Rfesd	106.833333	0	0	0	0	0	0	0	1282	0	0	0	0	0
Dido1	106.250000	0	0	0	0	0	0	0	1275	0	0	0	0	0
Poldip3	105.750000	0	0	0	0	0	0	0	1269	0	0	0	0	0
Ate1	105.250000	0	105	0	0	0	0	0	1158	0	0	0	0	0
Rfx1	105.166667	0	0	0	0	0	0	0	1262	0	0	0	0	0
Nfe2	105.000000	0	0	0	0	0	0	1260	0	0	0	0	0	0
Ehd1	104.833333	0	0	0	0	0	0	0	1258	0	0	0	0	0
Sec63	104.583333	448	0	0	0	0	0	0	807	0	0	0	0	0
Ncapg2	104.583333	0	0	0	0	0	0	0	1255	0	0	0	0	0
Ankrd13c	104.500000	0	0	0	0	0	0	0	1254	0	0	0	0	0
Ceacam3	103.916667	0	0	0	0	0	0	1247	0	0	0	0	0	0
Lyrm7	103.666667	0	0	0	0	0	0	0	1244	0	0	0	0	0
Ppm1g	103.583333	0	0	0	0	0	0	0	1243	0	0	0	0	0
Nop58	103.583333	0	0	0	0	0	0	138	1105	0	0	0	0	0
Spns2	103.083333	0	0	0	0	0	0	1237	0	0	0	0	0	0
Slc5a6	102.750000	0	0	0	0	0	0	0	1233	0	0	0	0	0
Atraid	102.750000	0	0	0	0	0	0	0	1233	0	0	0	0	0
Pcmtd1	102.583333	0	0	0	0	0	0	0	1231	0	0	0	0	0
Ncl	102.083333	0	0	0	0	0	0	0	1225	0	0	0	0	0
Acp5	101.833333	0	0	0	0	0	0	1222	0	0	0	0	0	0
Ces2g	101.583333	0	0	0	0	0	0	1219	0	0	0	0	0	0
Cyc1	101.500000	0	0	0	0	0	0	0	1218	0	0	0	0	0
Rbp2	101.333333	0	0	0	0	0	0	1216	0	0	0	0	0	0
Zfp386	101.000000	0	0	0	0	0	0	0	1212	0	0	0	0	0
Tab3	100.833333	0	0	0	0	0	0	0	1210	0	0	0	0	0
Nktr	100.333333	0	0	0	0	0	0	0	1204	0	0	0	0	0
Ino80	100.333333	0	0	0	0	0	0	0	1204	0	0	0	0	0
Kel	100.083333	0	0	0	0	0	0	1201	0	0	0	0	0	0
Tfr2	100.000000	0	0	0	0	0	0	1200	0	0	0	0	0	0
Ccnt1	100.000000	0	0	0	0	0	0	123	1077	0	0	0	0	0
Rab6a	99.833333	0	0	0	0	0	0	0	1198	0	0	0	0	0
Med1	99.833333	0	0	0	0	0	0	0	1198	0	0	0	0	0
Srsf5	99.750000	0	0	0	0	0	0	0	1197	0	0	0	0	0
Drg1	99.416667	0	0	0	0	0	0	0	1193	0	0	0	0	0
Zfp385a	99.333333	0	0	0	0	0	0	1192	0	0	0	0	0	0
Polr2b	99.250000	0	0	0	0	0	0	0	1191	0	0	0	0	0
Noa1	99.250000	0	0	0	0	0	0	0	1191	0	0	0	0	0
Ppp1r2	99.000000	0	0	0	0	0	0	0	1188	0	0	0	0	0
Grap2	99.000000	0	0	0	0	0	0	1188	0	0	0	0	0	0
Asic4	99.000000	0	0	0	0	0	0	1188	0	0	0	0	0	0
Zfp512b	98.750000	0	0	0	0	0	0	0	1185	0	0	0	0	0
Txndc9	98.333333	0	0	0	0	0	0	0	1180	0	0	0	0	0
Eif5b	98.333333	0	0	0	0	0	0	0	1180	0	0	0	0	0
Shprh	97.750000	0	0	0	0	0	0	0	1173	0	0	0	0	0
Tnfaip2	97.500000	0	0	0	0	0	0	1170	0	0	0	0	0	0
Csde1	97.333333	0	0	0	0	0	0	0	1168	0	0	0	0	0
Etf1	97.250000	0	0	0	0	0	0	0	1167	0	0	0	0	0
Rps15	96.916667	0	0	0	0	0	0	0	1163	0	0	0	0	0
Tmem116	96.833333	0	0	0	0	0	0	0	1162	0	0	0	0	0
Erp29	96.833333	0	0	0	0	0	0	0	1162	0	0	0	0	0
Tmem127	96.750000	0	0	0	0	0	0	0	1161	0	0	0	0	0
Ciao1	96.750000	0	0	0	0	0	0	0	1161	0	0	0	0	0
Sde2	96.583333	0	0	0	0	0	0	1069	90	0	0	0	0	0
Thap7	96.416667	0	0	0	0	0	0	0	1157	0	0	0	0	0
Srrt	96.416667	0	0	0	0	0	0	0	1157	0	0	0	0	0
Fundc2	96.000000	0	0	0	0	0	0	0	1152	0	0	0	0	0
Asph	96.000000	0	0	0	0	0	0	0	1152	0	0	0	0	0
Vamp8	95.916667	0	0	0	0	0	0	1151	0	0	0	0	0	0
Pxmp2	95.916667	0	0	0	0	0	0	0	1151	0	0	0	0	0
Pole	95.916667	0	0	0	0	0	0	0	1151	0	0	0	0	0
Cpox	95.666667	0	0	0	0	0	0	1148	0	0	0	0	0	0
Ssbp3	95.083333	0	0	0	0	0	0	1141	0	0	0	0	0	0
Cdc5l	94.916667	0	0	0	0	0	0	0	1139	0	0	0	0	0
Stk38l	94.333333	0	0	0	0	0	0	0	1132	0	0	0	0	0
Zmym3	94.083333	0	0	0	0	0	0	0	1129	0	0	0	0	0
