Target_genes	Smad3|Average	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|Embryonic_Stem_Cells	SRX026255|Embryonic_Stem_Cells	SRX026256|Embryonic_Stem_Cells	SRX026257|Embryonic_Stem_Cells	SRX477547|Embryonic_Stem_Cells	SRX5251387|Embryonic_Stem_Cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	ERX028786|Neural_Stem_Cells	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Sox8	153.916667	0	0	0	0	856	950	283	0	0	0	0	0	1321	0	0	0	0	0	0	284	0	0	0	0	0
Trip10	152.541667	0	0	0	0	1026	977	138	0	0	0	90	0	1293	0	0	0	0	0	0	137	0	0	0	0	0
Smad7	152.125000	0	0	0	0	451	1350	111	101	323	0	247	0	591	0	212	0	0	155	0	110	0	0	0	0	0
Map2k2	151.916667	0	0	0	0	877	707	186	0	0	0	0	0	1257	0	158	0	0	78	0	185	0	112	0	86	0
Oat	151.125000	0	0	0	0	1031	790	145	0	0	0	0	0	1101	0	166	0	0	119	0	146	0	129	0	0	0
Etv6	150.875000	0	0	0	0	923	913	138	0	0	0	124	0	1327	0	0	0	0	0	0	138	0	58	0	0	0
Stk39	149.791667	0	0	0	0	1054	1015	71	0	0	0	0	0	1384	0	0	0	0	0	0	71	0	0	0	0	0
Spg11	149.625000	0	0	0	0	331	363	293	0	0	0	168	0	140	0	668	388	0	329	0	289	162	287	0	173	0
Arid5a	149.625000	0	0	0	0	159	372	0	0	0	0	0	0	0	0	850	476	0	436	0	0	338	428	189	343	0
Rmnd5a	149.083333	0	0	0	0	945	808	180	0	0	0	0	0	1312	0	153	0	0	0	0	180	0	0	0	0	0
Wipi1	148.416667	0	0	0	0	777	772	336	0	0	0	0	0	1141	0	111	0	0	0	0	338	0	87	0	0	0
Snrnp25	148.416667	0	0	0	0	883	880	181	0	0	0	0	0	1437	0	0	0	0	0	0	181	0	0	0	0	0
Cbx8	147.041667	0	0	0	0	751	847	261	0	109	0	167	0	1133	0	0	0	0	0	0	261	0	0	0	0	0
Gm3448	146.125000	0	0	0	0	660	628	557	0	97	0	291	0	291	0	231	146	0	80	0	526	0	0	0	0	0
Gm3417	146.125000	0	0	0	0	660	628	557	0	97	0	291	0	291	0	231	146	0	80	0	526	0	0	0	0	0
Ubr7	146.041667	0	0	0	0	225	2520	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0
Ctnnb1	146.000000	0	0	0	0	331	729	193	0	128	0	213	0	136	0	368	223	0	173	0	192	346	346	0	126	0
Sema6a	143.625000	0	0	0	0	972	1049	96	0	86	0	114	0	1033	0	0	0	0	0	0	97	0	0	0	0	0
Dennd2a	143.166667	0	0	0	0	790	995	286	0	0	0	134	0	943	0	0	0	0	0	0	288	0	0	0	0	0
Rps29	143.125000	0	0	1680	0	156	254	310	178	265	0	200	0	118	0	0	0	0	0	0	274	0	0	0	0	0
Tef	142.958333	0	0	0	0	764	669	535	0	0	0	94	0	835	0	0	0	0	0	0	534	0	0	0	0	0
Tmem178	142.916667	0	0	0	0	962	1024	0	0	0	0	0	0	1444	0	0	0	0	0	0	0	0	0	0	0	0
Naa16	142.500000	0	0	0	0	395	558	220	0	0	0	0	0	1302	0	168	0	0	0	0	221	143	138	118	157	0
Rdm1	142.333333	0	0	0	0	188	206	131	0	195	0	0	0	189	0	281	406	0	265	0	163	383	320	271	418	0
Vgf	141.875000	0	0	0	0	878	669	174	0	0	0	0	0	1510	0	0	0	0	0	0	174	0	0	0	0	0
Nr1d2	141.833333	0	0	0	0	874	942	404	0	0	0	0	0	777	0	0	0	0	0	0	407	0	0	0	0	0
Wbp2	141.541667	0	0	0	0	533	626	404	0	0	0	110	0	1316	0	0	0	0	0	0	408	0	0	0	0	0
Hivep2	141.458333	0	0	0	0	1121	1129	0	0	0	0	0	0	1145	0	0	0	0	0	0	0	0	0	0	0	0
Phyh	141.250000	0	0	0	0	732	954	0	0	106	0	204	0	1074	0	125	0	0	0	0	0	0	114	0	81	0
Calm1	141.125000	0	0	0	0	319	629	101	0	169	0	245	0	264	0	294	232	0	188	0	101	211	296	89	249	0
Cnpy1	140.833333	0	0	0	0	328	1432	0	269	366	0	375	0	610	0	0	0	0	0	0	0	0	0	0	0	0
Crebrf	138.458333	0	0	0	0	715	770	220	0	0	0	0	0	1187	0	134	0	0	0	0	220	0	77	0	0	0
Ywhag	138.375000	0	0	0	0	123	961	300	0	0	0	173	0	770	0	127	0	0	124	0	302	141	167	0	133	0
Pgk1	138.291667	0	0	0	0	1007	1408	0	0	98	0	134	128	544	0	0	0	0	0	0	0	0	0	0	0	0
Cic	138.000000	0	0	0	0	928	667	312	0	0	0	0	0	1094	0	0	0	0	0	0	311	0	0	0	0	0
Arl15	138.000000	0	0	0	0	336	482	250	111	133	0	137	0	326	0	392	226	0	197	0	252	103	223	0	144	0
Hspa1b	137.958333	0	0	0	0	648	696	209	0	0	0	0	0	767	0	296	167	0	0	0	152	126	116	0	134	0
Ulk2	137.750000	0	0	0	0	280	612	127	0	183	0	144	0	253	0	301	180	0	287	0	127	279	288	96	149	0
Hoxd11	137.750000	0	0	0	0	912	1055	0	0	0	0	158	0	1181	0	0	0	0	0	0	0	0	0	0	0	0
Tdgf1	137.208333	0	0	0	0	115	1810	0	0	0	0	354	0	1014	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf6	137.000000	0	0	0	0	285	388	343	0	77	0	123	0	107	0	266	0	0	207	0	347	206	368	167	404	0
P4ha1	136.875000	0	0	0	0	269	368	316	0	119	0	162	0	233	0	428	239	0	202	0	316	265	232	0	136	0
Zc2hc1c	136.791667	0	0	0	0	1005	942	0	0	0	0	0	0	1336	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r12	136.791667	0	0	0	0	0	1833	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	0	0	0
Smad6	136.791667	0	0	0	0	437	1203	208	195	238	0	120	0	383	0	196	0	0	95	0	208	0	0	0	0	0
Srek1	136.166667	0	0	0	0	902	981	152	0	0	0	0	0	1079	0	0	0	0	0	0	154	0	0	0	0	0
Pabpc1	135.666667	0	0	0	0	366	512	190	0	0	0	206	0	220	0	245	179	0	264	0	189	206	289	134	256	0
Impdh2	135.291667	0	0	0	0	289	321	470	0	173	0	83	0	219	0	334	150	0	271	0	465	175	178	0	119	0
Dars	134.416667	0	0	0	0	901	991	0	0	0	0	0	0	1211	0	123	0	0	0	0	0	0	0	0	0	0
Klf11	134.208333	0	0	0	0	588	1051	248	0	121	0	192	0	666	0	108	0	0	0	0	247	0	0	0	0	0
Rpl3	133.875000	97	0	0	0	137	158	288	0	150	0	0	0	97	0	332	272	0	225	0	285	185	378	205	404	0
Kmt5b	133.375000	0	0	0	0	256	732	0	0	0	0	0	0	97	0	717	274	0	503	0	0	170	263	0	189	0
Odc1	133.125000	0	0	0	0	547	1068	243	0	212	0	327	0	314	0	186	0	0	0	0	231	0	67	0	0	0
Esrra	133.041667	0	0	0	0	900	610	284	0	0	0	0	0	1113	0	0	0	0	0	0	286	0	0	0	0	0
Hcrtr1	132.958333	0	0	0	0	950	985	0	0	0	0	0	0	1256	0	0	0	0	0	0	0	0	0	0	0	0
Taf6l	132.750000	0	0	0	0	836	954	205	0	0	0	0	0	975	0	0	0	0	0	0	216	0	0	0	0	0
Esyt2	132.750000	0	0	0	0	284	403	450	0	196	0	86	0	236	0	267	156	0	185	0	450	173	138	0	162	0
Ppp1r8	132.333333	0	0	0	0	427	522	499	0	0	0	128	0	127	0	499	198	0	189	0	499	0	88	0	0	0
Adnp2	132.208333	0	0	0	0	765	752	122	0	0	0	0	0	1412	0	0	0	0	0	0	122	0	0	0	0	0
Ints6	132.125000	0	0	0	0	283	387	242	0	0	0	0	0	358	0	237	207	0	116	0	242	210	244	235	410	0
Taf4	131.750000	0	0	0	0	372	443	105	0	0	0	0	0	60	0	708	357	0	436	0	106	226	252	0	97	0
Gtf2a1	131.666667	0	0	104	0	458	862	103	0	0	0	0	0	225	0	537	263	0	256	0	102	125	125	0	0	0
Bin1	131.500000	0	0	0	0	953	971	0	0	0	0	0	0	1107	0	125	0	0	0	0	0	0	0	0	0	0
Stk17b	131.000000	0	0	0	0	741	871	88	0	0	0	0	0	1134	0	101	0	0	0	0	88	121	0	0	0	0
Clmp	131.000000	0	0	0	0	956	1098	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	0	0	0
Tcte3	130.708333	0	0	0	0	577	628	557	0	97	0	291	0	291	0	231	0	0	0	0	465	0	0	0	0	0
Clcn4	130.375000	0	0	0	0	204	926	133	289	468	118	505	0	244	0	0	0	0	0	0	137	0	105	0	0	0
Uspl1	130.083333	0	0	0	0	458	526	207	0	0	0	147	0	428	0	280	158	0	196	0	207	129	230	0	156	0
Ppfibp1	129.875000	0	0	0	0	461	710	316	0	0	0	96	0	1002	0	103	0	0	0	0	316	0	113	0	0	0
Alyref2	129.875000	0	0	0	0	451	334	93	0	171	0	0	0	286	0	193	316	0	131	0	92	228	323	222	277	0
Sde2	129.708333	113	0	0	0	485	545	368	0	105	0	280	0	162	0	227	121	0	0	0	368	125	124	0	90	0
Rnft2	129.291667	0	0	0	0	782	666	230	0	0	0	94	0	1103	0	0	0	0	0	0	228	0	0	0	0	0
2410131K14Rik	129.291667	0	0	0	0	782	666	230	0	0	0	94	0	1103	0	0	0	0	0	0	228	0	0	0	0	0
Plekhg2	129.041667	0	0	0	0	789	694	148	0	0	0	0	0	1317	0	0	0	0	0	0	149	0	0	0	0	0
Efcc1	128.750000	0	0	0	0	1091	875	0	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	0	0
Nkx2-9	128.500000	0	0	0	0	1233	1234	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0
Sall2	128.375000	0	0	0	0	1135	1039	78	0	0	0	0	0	748	0	0	0	0	0	0	81	0	0	0	0	0
Tle3	128.250000	0	0	0	0	920	954	0	0	0	0	0	0	1082	0	122	0	0	0	0	0	0	0	0	0	0
Adra1d	128.208333	0	0	0	0	914	999	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0
Ubfd1	127.958333	0	0	0	0	812	885	199	0	0	0	0	0	975	0	0	0	0	0	0	200	0	0	0	0	0
Slc9a1	127.958333	0	0	0	0	238	221	155	0	0	0	175	0	140	0	588	380	0	175	0	156	152	339	163	189	0
Ears2	127.958333	0	0	0	0	812	885	199	0	0	0	0	0	975	0	0	0	0	0	0	200	0	0	0	0	0
Pnpla7	127.333333	0	0	0	0	879	1086	150	0	0	0	0	0	688	0	0	0	0	0	0	150	0	103	0	0	0
Mrpl41	127.333333	0	0	0	0	879	1086	150	0	0	0	0	0	688	0	0	0	0	0	0	150	0	103	0	0	0
Ctdsp2	127.250000	0	0	0	0	356	912	0	0	0	0	0	0	228	0	479	179	0	234	0	0	122	229	88	227	0
9030025P20Rik	127.000000	0	0	0	0	660	569	412	0	0	0	176	0	250	0	229	146	0	80	0	526	0	0	0	0	0
Creb5	126.833333	0	0	0	0	788	819	358	0	0	0	0	0	721	0	0	0	0	0	0	358	0	0	0	0	0
Cdkn1a	126.750000	0	0	0	0	269	644	82	0	112	0	141	0	208	0	231	280	0	131	0	81	153	316	87	307	0
Taf13	126.583333	198	0	136	0	111	123	207	0	0	0	0	0	0	0	586	273	0	272	0	186	207	320	145	274	0
1700025G04Rik	126.583333	0	0	0	0	832	799	165	0	0	0	0	0	1078	0	0	0	0	0	0	164	0	0	0	0	0
Scaf11	126.541667	0	0	0	0	540	1039	248	0	0	0	0	0	784	0	107	0	0	0	0	245	0	74	0	0	0
Slc26a6	126.291667	0	0	0	0	784	769	263	0	0	0	0	0	803	0	0	0	0	149	0	263	0	0	0	0	0
Hps6	125.875000	0	0	0	0	820	1211	0	0	0	0	0	0	879	0	0	0	0	0	0	0	0	111	0	0	0
Arhgap26	125.625000	0	0	0	0	634	753	260	0	0	0	0	0	1013	0	95	0	0	0	0	260	0	0	0	0	0
Nabp1	125.583333	0	0	0	0	233	159	220	0	233	0	0	0	118	0	435	261	0	257	0	220	255	283	122	218	0
Fam53c	125.583333	0	0	0	0	288	372	183	0	0	0	0	0	143	0	338	281	0	202	0	184	240	315	162	306	0
Tmem198	125.458333	0	0	0	0	734	814	341	0	0	0	0	0	781	0	0	0	0	0	0	341	0	0	0	0	0
Chpf	125.458333	0	0	0	0	734	814	341	0	0	0	0	0	781	0	0	0	0	0	0	341	0	0	0	0	0
Dnpep	125.333333	0	0	0	0	620	555	298	0	0	0	0	0	1237	0	0	0	0	0	0	298	0	0	0	0	0
Plekhg3	125.208333	0	0	0	0	881	939	0	0	0	0	0	0	1185	0	0	0	0	0	0	0	0	0	0	0	0
