Target_genes	Ctnnb1|Average	SRX172938|Embryonic_kidney	SRX172939|Embryonic_kidney	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Farsa	181.200000	0	0	0	0	0	0	1315	176	1523	610	0	0	0	0	0	0	0	0	0	0	0
Psmd3	180.100000	0	159	0	0	0	0	1188	223	1341	691	0	0	0	0	0	0	0	0	0	0	0
Lrtm1	180.100000	0	0	0	0	0	0	171	0	2776	655	0	0	0	0	0	0	0	0	0	0	0
Krtap1-5	177.150000	0	0	0	0	0	0	107	0	2539	897	0	0	0	0	0	0	0	0	0	0	0
Mcpt9	175.850000	0	0	0	0	0	0	259	0	2842	416	0	0	0	0	0	0	0	0	0	0	0
Lemd2	174.100000	0	0	0	0	0	0	1664	210	1042	566	0	0	0	0	0	0	0	0	0	0	0
Snrpb2	173.600000	0	119	0	0	0	0	1280	128	1348	597	0	0	0	0	0	0	0	0	0	0	0
Oxsr1	172.700000	0	0	0	0	0	0	1304	139	1493	518	0	0	0	0	0	0	0	0	0	0	0
Szrd1	167.400000	0	0	0	0	0	0	1431	188	1202	527	0	0	0	0	0	0	0	0	0	0	0
Hes1	164.200000	0	156	0	0	0	3128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cp	163.850000	0	0	0	0	0	0	213	0	2194	788	0	0	0	82	0	0	0	0	0	0	0
Sh3kbp1	160.750000	0	0	0	0	0	0	110	0	2531	574	0	0	0	0	0	0	0	0	0	0	0
Zfp524	156.850000	0	0	0	0	0	0	1671	201	933	332	0	0	0	0	0	0	0	0	0	0	0
Fiz1	156.850000	0	0	0	0	0	0	1671	201	933	332	0	0	0	0	0	0	0	0	0	0	0
Slc7a2	156.350000	0	0	0	0	0	0	319	0	2388	420	0	0	0	0	0	0	0	0	0	0	0
Sspn	154.750000	431	419	174	0	0	120	615	200	661	475	0	0	0	0	0	0	0	0	0	0	0
Ogt	151.500000	0	0	0	0	0	0	0	0	2454	576	0	0	0	0	0	0	0	0	0	0	0
Ndufb5	149.750000	0	0	0	0	0	0	1129	109	1341	416	0	0	0	0	0	0	0	0	0	0	0
Mrpl47	149.750000	0	0	0	0	0	0	1129	109	1341	416	0	0	0	0	0	0	0	0	0	0	0
Nabp2	149.400000	0	0	0	0	0	0	106	0	2121	761	0	0	0	0	0	0	0	0	0	0	0
Fstl1	148.700000	0	0	0	0	0	0	121	0	2306	547	0	0	0	0	0	0	0	0	0	0	0
Creld2	143.300000	0	0	0	0	0	0	1219	149	1291	207	0	0	0	0	0	0	0	0	0	0	0
Alg12	143.300000	0	0	0	0	0	0	1219	149	1291	207	0	0	0	0	0	0	0	0	0	0	0
Prkaa1	143.250000	0	0	0	0	0	0	0	0	2489	376	0	0	0	0	0	0	0	0	0	0	0
Gucy2g	143.100000	0	0	0	0	0	0	85	0	2302	475	0	0	0	0	0	0	0	0	0	0	0
Hacd2	140.700000	0	0	0	0	0	0	1127	98	1103	486	0	0	0	0	0	0	0	0	0	0	0
Mylk3	140.250000	0	0	0	0	0	0	258	0	2107	440	0	0	0	0	0	0	0	0	0	0	0
Tor1a	137.800000	0	0	0	0	0	0	1095	119	1196	346	0	0	0	0	0	0	0	0	0	0	0
Palb2	133.350000	0	0	0	0	0	0	819	241	1100	507	0	0	0	0	0	0	0	0	0	0	0
Dctn5	133.350000	0	0	0	0	0	0	819	241	1100	507	0	0	0	0	0	0	0	0	0	0	0
Mettl25	132.650000	0	158	0	0	0	0	1075	98	934	388	0	0	0	0	0	0	0	0	0	0	0
Ccdc59	132.650000	0	158	0	0	0	0	1075	98	934	388	0	0	0	0	0	0	0	0	0	0	0
Ppfibp2	131.750000	0	0	0	0	0	0	0	0	1943	692	0	0	0	0	0	0	0	0	0	0	0
Knstrn	128.300000	0	0	0	0	0	0	1127	0	1172	267	0	0	0	0	0	0	0	0	0	0	0
Mrnip	127.300000	0	0	0	0	0	0	0	0	2133	413	0	0	0	0	0	0	0	0	0	0	0
Wdr34	125.600000	0	0	0	0	0	0	1399	137	761	215	0	0	0	0	0	0	0	0	0	0	0
Lgr5	125.550000	0	0	0	0	0	0	0	0	2060	451	0	0	0	0	0	0	0	0	0	0	0
Aebp1	124.000000	0	0	0	0	0	0	148	0	1655	677	0	0	0	0	0	0	0	0	0	0	0
Angpt1	123.950000	0	0	0	0	0	0	184	0	1955	340	0	0	0	0	0	0	0	0	0	0	0
Rps29	123.750000	330	383	269	0	237	321	0	0	162	0	0	0	0	0	0	0	0	0	0	773	0
Sumf1	123.250000	0	0	0	0	0	0	151	0	1552	762	0	0	0	0	0	0	0	0	0	0	0
Ptcd1	123.150000	0	128	0	0	0	0	767	112	789	667	0	0	0	0	0	0	0	0	0	0	0
Cpsf4	123.150000	0	128	0	0	0	0	767	112	789	667	0	0	0	0	0	0	0	0	0	0	0
Mlst8	123.000000	0	0	0	0	0	0	1169	189	791	311	0	0	0	0	0	0	0	0	0	0	0
Lsm5	122.650000	0	0	0	0	0	0	885	116	901	551	0	0	0	0	0	0	0	0	0	0	0
Srp72	119.400000	0	0	0	0	0	0	0	0	1904	484	0	0	0	0	0	0	0	0	0	0	0
Sacs	119.250000	0	0	0	0	0	0	102	0	2017	266	0	0	0	0	0	0	0	0	0	0	0
Runx2	118.650000	0	0	0	0	0	0	0	0	2060	313	0	0	0	0	0	0	0	0	0	0	0
Lims1	118.050000	0	0	0	0	0	0	209	0	1862	290	0	0	0	0	0	0	0	0	0	0	0
Pdcd5	117.800000	0	0	0	0	0	0	695	0	1193	468	0	0	0	0	0	0	0	0	0	0	0
Ech1	117.650000	0	0	0	0	0	0	1088	0	1025	240	0	0	0	0	0	0	0	0	0	0	0
Ambra1	117.600000	0	0	0	0	0	0	866	196	891	399	0	0	0	0	0	0	0	0	0	0	0
Colec12	115.200000	0	0	0	0	0	0	0	0	1973	331	0	0	0	0	0	0	0	0	0	0	0
Map1lc3b	112.200000	0	0	0	0	0	0	548	106	983	607	0	0	0	0	0	0	0	0	0	0	0
Daxx	112.200000	0	0	0	0	0	0	784	0	1149	311	0	0	0	0	0	0	0	0	0	0	0
Nf2	111.150000	0	0	0	0	0	0	0	0	1941	282	0	0	0	0	0	0	0	0	0	0	0
Tbc1d17	111.100000	0	0	0	0	0	0	1423	232	432	135	0	0	0	0	0	0	0	0	0	0	0
Akt1s1	111.100000	0	0	0	0	0	0	1423	232	432	135	0	0	0	0	0	0	0	0	0	0	0
Crybb1	109.500000	0	0	0	0	0	0	0	0	2190	0	0	0	0	0	0	0	0	0	0	0	0
Vps28	107.600000	0	0	0	0	0	0	669	122	963	398	0	0	0	0	0	0	0	0	0	0	0
Cdcp3	106.950000	0	0	0	0	0	0	0	0	1707	432	0	0	0	0	0	0	0	0	0	0	0
Aox1	105.950000	0	0	0	0	0	0	143	0	1631	345	0	0	0	0	0	0	0	0	0	0	0
Ercc2	105.300000	0	0	0	0	0	0	879	69	814	344	0	0	0	0	0	0	0	0	0	0	0
Ifngr2	105.100000	0	0	0	0	0	0	136	0	1662	304	0	0	0	0	0	0	0	0	0	0	0
Dmp1	104.250000	0	0	0	0	0	0	159	0	1580	346	0	0	0	0	0	0	0	0	0	0	0
Tnks2	103.500000	0	0	0	0	0	0	0	0	1584	486	0	0	0	0	0	0	0	0	0	0	0
Emilin2	103.450000	0	0	0	0	0	0	0	0	1888	181	0	0	0	0	0	0	0	0	0	0	0
Cd53	102.350000	0	0	0	0	0	0	0	0	2047	0	0	0	0	0	0	0	0	0	0	0	0
Khdc4	101.250000	0	0	0	0	0	0	1040	96	733	156	0	0	0	0	0	0	0	0	0	0	0
Zfp37	100.850000	0	0	0	0	0	0	1171	80	766	0	0	0	0	0	0	0	0	0	0	0	0
Fmn1	100.850000	0	0	0	0	0	0	0	0	1645	372	0	0	0	0	0	0	0	0	0	0	0
Ttc3	99.900000	0	0	0	0	0	0	0	0	1708	290	0	0	0	0	0	0	0	0	0	0	0
Pigp	99.900000	0	0	0	0	0	0	0	0	1708	290	0	0	0	0	0	0	0	0	0	0	0
Supt5	99.350000	0	0	0	0	0	0	902	0	819	266	0	0	0	0	0	0	0	0	0	0	0
Fam169b	98.450000	0	0	0	0	0	0	0	0	1969	0	0	0	0	0	0	0	0	0	0	0	0
Gjb4	95.250000	0	0	0	0	0	0	0	0	1905	0	0	0	0	0	0	0	0	0	0	0	0
Trim41	95.100000	0	0	0	0	0	0	0	0	1559	343	0	0	0	0	0	0	0	0	0	0	0
Rcc1l	95.050000	0	0	0	0	0	0	839	106	684	272	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	94.750000	0	0	0	0	0	0	947	0	781	167	0	0	0	0	0	0	0	0	0	0	0
Ftdc2	92.700000	0	0	0	0	0	0	0	0	1636	218	0	0	0	0	0	0	0	0	0	0	0
Pim1	92.550000	0	0	0	0	0	0	123	0	1327	401	0	0	0	0	0	0	0	0	0	0	0
Rictor	91.850000	0	0	0	0	0	0	0	0	1408	429	0	0	0	0	0	0	0	0	0	0	0
Slc17a8	91.350000	0	0	0	0	0	0	0	0	1646	181	0	0	0	0	0	0	0	0	0	0	0
Poglut2	91.050000	0	0	0	0	0	0	0	0	1409	412	0	0	0	0	0	0	0	0	0	0	0
Bivm	91.050000	0	0	0	0	0	0	0	0	1409	412	0	0	0	0	0	0	0	0	0	0	0
Mpp4	90.900000	0	0	0	0	0	0	0	0	1600	218	0	0	0	0	0	0	0	0	0	0	0
Rbsn	90.400000	0	0	0	0	0	0	672	0	738	398	0	0	0	0	0	0	0	0	0	0	0
Ccdc80	89.900000	0	0	0	0	0	0	0	0	1428	370	0	0	0	0	0	0	0	0	0	0	0
Cstf1	89.700000	0	0	0	0	0	0	750	159	674	211	0	0	0	0	0	0	0	0	0	0	0
Aurka	89.700000	0	0	0	0	0	0	750	159	674	211	0	0	0	0	0	0	0	0	0	0	0
Gtf3c6	89.300000	0	0	0	0	0	0	684	150	775	177	0	0	0	0	0	0	0	0	0	0	0
Casp12	89.300000	0	0	0	0	0	0	0	0	1434	352	0	0	0	0	0	0	0	0	0	0	0
Cpeb4	89.250000	0	0	0	0	0	0	938	0	724	123	0	0	0	0	0	0	0	0	0	0	0
Fam107b	88.650000	0	0	0	0	0	0	0	0	1530	243	0	0	0	0	0	0	0	0	0	0	0
Exoc2	86.350000	0	0	0	0	0	0	718	89	634	286	0	0	0	0	0	0	0	0	0	0	0
Slc35f5	86.250000	0	0	0	0	0	0	0	0	1459	266	0	0	0	0	0	0	0	0	0	0	0
Adgrf5	85.950000	0	0	0	0	0	0	0	0	1464	255	0	0	0	0	0	0	0	0	0	0	0
Klhdc10	81.250000	0	136	0	0	0	0	503	0	753	233	0	0	0	0	0	0	0	0	0	0	0
Gins3	81.000000	0	0	0	0	0	0	671	0	690	259	0	0	0	0	0	0	0	0	0	0	0
Khsrp	80.850000	0	0	0	0	0	0	518	0	729	370	0	0	0	0	0	0	0	0	0	0	0
Pla1a	79.250000	0	0	0	0	0	0	0	0	1461	124	0	0	0	0	0	0	0	0	0	0	0
Osbp	78.900000	0	0	0	0	0	0	455	100	719	304	0	0	0	0	0	0	0	0	0	0	0
Gmfb	78.550000	0	0	0	0	0	0	0	0	1249	322	0	0	0	0	0	0	0	0	0	0	0
Frmd6	78.400000	0	0	0	0	0	0	0	0	1568	0	0	0	0	0	0	0	0	0	0	0	0
Rwdd1	78.150000	0	0	0	0	0	0	404	0	802	357	0	0	0	0	0	0	0	0	0	0	0
Msra	78.100000	0	0	0	0	0	0	113	0	1281	168	0	0	0	0	0	0	0	0	0	0	0
Rel	77.250000	0	0	0	0	0	199	0	0	1035	311	0	0	0	0	0	0	0	0	0	0	0
Rab5b	77.050000	0	0	0	0	0	0	509	0	673	359	0	0	0	0	0	0	0	0	0	0	0
Nr1d1	76.750000	0	0	0	0	0	0	0	0	1186	349	0	0	0	0	0	0	0	0	0	0	0
Lox	76.650000	0	0	0	0	0	0	0	0	1348	185	0	0	0	0	0	0	0	0	0	0	0
Snx17	76.400000	0	115	0	0	0	435	111	0	553	314	0	0	0	0	0	0	0	0	0	0	0
Iqub	76.400000	0	0	0	0	0	0	0	0	1528	0	0	0	0	0	0	0	0	0	0	0	0
Eif2b4	76.400000	0	115	0	0	0	435	111	0	553	314	0	0	0	0	0	0	0	0	0	0	0
Por	76.250000	0	0	0	0	0	0	0	0	1335	190	0	0	0	0	0	0	0	0	0	0	0
Foxp1	76.150000	0	0	0	0	0	0	0	0	1154	369	0	0	0	0	0	0	0	0	0	0	0
Vamp4	75.700000	0	115	0	0	0	0	585	95	516	203	0	0	0	0	0	0	0	0	0	0	0
Ino80	75.550000	0	0	0	0	0	0	779	0	550	182	0	0	0	0	0	0	0	0	0	0	0
Gtf2b	75.400000	0	0	0	0	0	397	0	0	761	350	0	0	0	0	0	0	0	0	0	0	0
Mgst1	74.700000	105	0	0	0	0	209	0	0	1180	0	0	0	0	0	0	0	0	0	0	0	0
Wdyhv1	74.650000	0	0	0	0	0	0	0	0	1304	189	0	0	0	0	0	0	0	0	0	0	0
Adamtsl4	74.000000	0	0	0	0	0	0	94	0	1062	324	0	0	0	0	0	0	0	0	0	0	0
Cdc45	73.600000	0	0	0	0	0	0	784	0	688	0	0	0	0	0	0	0	0	0	0	0	0
Itprid2	72.250000	0	0	0	0	0	0	0	0	1138	307	0	0	0	0	0	0	0	0	0	0	0
Acoxl	72.250000	0	0	0	0	0	0	0	0	1284	161	0	0	0	0	0	0	0	0	0	0	0
Tcea1	72.000000	0	0	0	0	0	0	562	0	799	79	0	0	0	0	0	0	0	0	0	0	0
Ltbp1	72.000000	0	0	0	0	0	0	0	0	1123	317	0	0	0	0	0	0	0	0	0	0	0
Pomt1	71.900000	0	0	0	0	0	0	649	0	634	155	0	0	0	0	0	0	0	0	0	0	0
Dars2	71.550000	0	0	0	0	0	163	521	0	747	0	0	0	0	0	0	0	0	0	0	0	0
Pafah2	70.850000	143	0	0	0	0	0	0	0	1274	0	0	0	0	0	0	0	0	0	0	0	0
Scmh1	70.600000	0	0	0	0	0	0	0	0	1184	228	0	0	0	0	0	0	0	0	0	0	0
Omd	69.800000	0	0	0	0	0	0	151	0	1097	148	0	0	0	0	0	0	0	0	0	0	0
Pip5k1c	69.350000	0	0	0	0	0	0	592	0	582	213	0	0	0	0	0	0	0	0	0	0	0
Rrm1	67.700000	0	0	0	0	0	0	717	0	454	183	0	0	0	0	0	0	0	0	0	0	0
Kbtbd6	67.350000	0	0	0	0	0	0	0	0	1347	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a9	66.550000	0	0	0	0	0	0	630	0	535	166	0	0	0	0	0	0	0	0	0	0	0
Erh	66.550000	0	0	0	0	0	0	630	0	535	166	0	0	0	0	0	0	0	0	0	0	0
Kng2	64.650000	0	0	0	0	0	0	107	0	1186	0	0	0	0	0	0	0	0	0	0	0	0
Cdk12	63.750000	0	0	0	0	0	0	417	0	595	263	0	0	0	0	0	0	0	0	0	0	0
Gm4861	63.550000	0	0	0	0	0	0	104	0	974	193	0	0	0	0	0	0	0	0	0	0	0
Rbm39	63.300000	0	0	0	0	0	0	406	0	621	239	0	0	0	0	0	0	0	0	0	0	0
Ins1	63.000000	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	762	0	0	0
Osbpl9	62.650000	0	0	0	0	0	0	0	0	1253	0	0	0	0	0	0	0	0	0	0	0	0
Steap2	62.450000	0	0	0	0	0	0	0	0	1249	0	0	0	0	0	0	0	0	0	0	0	0
Taf3	62.400000	0	0	0	0	0	0	518	0	500	230	0	0	0	0	0	0	0	0	0	0	0
C1qtnf1	61.900000	0	0	0	0	0	0	0	0	1238	0	0	0	0	0	0	0	0	0	0	0	0
H1f8	61.600000	0	0	0	0	0	0	0	0	1095	137	0	0	0	0	0	0	0	0	0	0	0
Med15	61.450000	0	0	0	0	0	0	0	0	843	386	0	0	0	0	0	0	0	0	0	0	0
Snrpa1	61.400000	0	0	0	0	0	0	563	0	552	113	0	0	0	0	0	0	0	0	0	0	0
Ccdc174	61.300000	0	0	0	0	0	0	871	130	225	0	0	0	0	0	0	0	0	0	0	0	0
Sp2	61.100000	0	0	0	0	0	0	332	0	555	335	0	0	0	0	0	0	0	0	0	0	0
Nrep	60.950000	0	0	0	0	0	0	0	0	840	379	0	0	0	0	0	0	0	0	0	0	0
Igfbp6	60.950000	0	0	0	0	0	0	180	0	837	202	0	0	0	0	0	0	0	0	0	0	0
Ncaph	60.800000	0	0	0	0	0	0	0	0	1061	155	0	0	0	0	0	0	0	0	0	0	0
Cd24a	60.700000	0	0	0	0	0	0	0	0	1046	168	0	0	0	0	0	0	0	0	0	0	0
Mmp27	60.400000	0	0	0	0	0	0	0	0	965	243	0	0	0	0	0	0	0	0	0	0	0
Smad5	59.750000	0	0	0	0	0	0	0	0	912	283	0	0	0	0	0	0	0	0	0	0	0
Shox2	59.650000	0	0	0	0	0	0	0	0	927	266	0	0	0	0	0	0	0	0	0	0	0
Znhit3	59.500000	0	0	0	0	0	0	489	0	482	219	0	0	0	0	0	0	0	0	0	0	0
Tigit	59.450000	0	0	0	0	0	0	0	0	1189	0	0	0	0	0	0	0	0	0	0	0	0
Top1	59.000000	0	0	0	0	0	0	324	0	603	253	0	0	0	0	0	0	0	0	0	0	0
Pbld2	58.900000	0	0	0	0	0	0	428	0	566	184	0	0	0	0	0	0	0	0	0	0	0
Hnrnph3	58.900000	0	0	0	0	0	0	428	0	566	184	0	0	0	0	0	0	0	0	0	0	0
Tmem53	58.350000	0	0	0	0	0	0	0	0	971	196	0	0	0	0	0	0	0	0	0	0	0
Armh1	58.350000	0	0	0	0	0	0	0	0	971	196	0	0	0	0	0	0	0	0	0	0	0
Sfrp4	58.200000	0	0	0	0	0	0	0	0	967	197	0	0	0	0	0	0	0	0	0	0	0
Snx18	57.950000	0	193	0	0	0	0	746	0	220	0	0	0	0	0	0	0	0	0	0	0	0
Dclk1	57.800000	0	0	0	0	0	0	0	0	1074	82	0	0	0	0	0	0	0	0	0	0	0
Rbm25	57.600000	0	0	0	0	0	0	111	0	719	322	0	0	0	0	0	0	0	0	0	0	0
Hjurp	57.150000	0	0	0	0	0	0	364	0	643	136	0	0	0	0	0	0	0	0	0	0	0
A730008H23Rik	57.150000	0	0	0	0	0	0	364	0	643	136	0	0	0	0	0	0	0	0	0	0	0
Dennd1b	56.950000	0	0	0	0	0	0	115	0	1024	0	0	0	0	0	0	0	0	0	0	0	0
Cox19	56.800000	0	0	0	0	0	0	911	0	225	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc167	56.550000	0	0	0	0	0	0	856	0	275	0	0	0	0	0	0	0	0	0	0	0	0
Sfi1	56.500000	0	219	0	0	0	149	198	0	145	188	0	0	0	0	0	0	0	0	0	231	0
Ndrg3	56.000000	0	0	0	0	0	0	773	0	347	0	0	0	0	0	0	0	0	0	0	0	0
Vps35l	55.750000	0	0	0	0	0	0	612	0	359	144	0	0	0	0	0	0	0	0	0	0	0
Yars	55.550000	0	0	0	0	0	0	362	0	543	206	0	0	0	0	0	0	0	0	0	0	0
S100pbp	55.550000	0	0	0	0	0	0	362	0	543	206	0	0	0	0	0	0	0	0	0	0	0
Kbtbd3	55.550000	0	0	0	0	0	71	0	0	838	202	0	0	0	0	0	0	0	0	0	0	0
Aasdhppt	55.550000	0	0	0	0	0	71	0	0	838	202	0	0	0	0	0	0	0	0	0	0	0
Rbm33	55.400000	0	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	0
Shld1	55.150000	0	0	0	0	0	0	662	105	336	0	0	0	0	0	0	0	0	0	0	0	0
Amotl2	55.150000	234	0	0	0	0	158	0	0	509	202	0	0	0	0	0	0	0	0	0	0	0
Pnisr	54.600000	0	0	0	0	0	0	432	0	448	212	0	0	0	0	0	0	0	0	0	0	0
Plin2	54.600000	0	0	0	0	0	0	0	0	873	219	0	0	0	0	0	0	0	0	0	0	0
U2surp	54.400000	0	0	0	0	0	0	346	0	480	262	0	0	0	0	0	0	0	0	0	0	0
Coa3	54.250000	0	0	0	0	0	0	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0
Cntd1	54.250000	0	0	0	0	0	0	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf19	54.200000	0	0	0	0	0	223	0	0	530	331	0	0	0	0	0	0	0	0	0	0	0
Hcfc1	54.000000	0	0	0	0	0	0	455	0	451	174	0	0	0	0	0	0	0	0	0	0	0
Mmadhc	53.750000	0	0	0	0	0	0	565	0	510	0	0	0	0	0	0	0	0	0	0	0	0
Tmod3	53.650000	0	0	0	0	0	0	98	0	975	0	0	0	0	0	0	0	0	0	0	0	0
C2cd5	53.600000	0	0	0	0	0	0	341	0	493	238	0	0	0	0	0	0	0	0	0	0	0
Gtf2a1	53.400000	0	0	0	0	0	0	0	0	887	181	0	0	0	0	0	0	0	0	0	0	0
Caml	53.350000	0	0	0	0	0	0	792	0	275	0	0	0	0	0	0	0	0	0	0	0	0
Thnsl1	53.300000	0	0	0	0	0	0	0	0	900	166	0	0	0	0	0	0	0	0	0	0	0
Enkur	53.300000	0	0	0	0	0	0	0	0	900	166	0	0	0	0	0	0	0	0	0	0	0
Myo10	53.000000	0	0	0	0	0	0	0	0	920	140	0	0	0	0	0	0	0	0	0	0	0
Cds2	52.600000	0	0	0	0	0	0	123	0	786	143	0	0	0	0	0	0	0	0	0	0	0
Vps13d	52.550000	0	0	0	0	0	0	548	0	383	120	0	0	0	0	0	0	0	0	0	0	0
Exoc7	52.550000	0	0	0	0	0	0	513	0	386	152	0	0	0	0	0	0	0	0	0	0	0
Amdhd2	52.550000	0	0	0	0	0	0	342	0	556	153	0	0	0	0	0	0	0	0	0	0	0
Pkig	52.450000	0	0	0	0	0	0	0	0	1049	0	0	0	0	0	0	0	0	0	0	0	0
Kmt5c	52.450000	0	0	0	0	0	0	287	0	594	168	0	0	0	0	0	0	0	0	0	0	0
