Target_genes	Stat5b|Average	SRX3067395|CD4-Positive_T-Lymphocytes	SRX3067396|CD4-Positive_T-Lymphocytes	SRX3067405|CD4-Positive_T-Lymphocytes	SRX3067406|CD4-Positive_T-Lymphocytes	SRX3067407|CD4-Positive_T-Lymphocytes	SRX3067408|CD4-Positive_T-Lymphocytes	SRX3067401|CD8-Positive_T-Lymphocytes	SRX3067402|CD8-Positive_T-Lymphocytes	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041284|T-Lymphocytes	SRX041285|T-Lymphocytes	SRX132013|T-Lymphocytes	SRX132016|T-Lymphocytes	SRX132019|T-Lymphocytes	SRX132022|T-Lymphocytes	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	STRING
Aasdhppt	484.931034	0	908	1457	1466	1641	785	0	150	0	1519	1442	216	114	0	631	0	259	0	0	0	617	0	135	918	732	0	0	890	183	0
Cnot4	477.931034	0	551	2019	998	2405	462	0	467	0	1492	1031	0	0	0	782	0	313	0	0	0	351	0	221	305	679	0	143	1477	164	0
Crem	473.103448	0	537	1439	318	1737	187	0	245	0	2084	1621	258	130	0	847	0	1553	0	0	0	423	0	257	470	679	0	0	935	0	0
Gtf2a2	469.689655	0	528	911	1625	1061	931	0	0	0	1369	845	305	258	0	578	172	1581	0	0	0	823	319	604	660	545	0	0	288	218	0
Ergic2	464.965517	0	797	1428	1464	1534	860	0	0	0	1418	1432	270	258	0	579	0	468	0	0	0	725	0	398	480	459	0	122	649	143	0
Arid5a	463.931034	0	540	1028	1829	1154	1814	0	456	0	1602	1422	417	0	0	213	0	351	0	0	0	1140	150	419	548	139	0	0	232	0	0
Atp11b	462.344828	0	1471	1311	303	1475	281	0	443	0	1612	1666	0	0	0	863	0	930	0	0	0	287	0	179	594	619	0	195	1179	0	0
Zfp58	459.655172	0	672	1375	260	1604	155	0	0	0	1817	1184	173	0	0	967	0	1669	0	0	0	461	0	355	404	1030	0	100	855	249	0
Bbs12	449.206897	0	1225	1689	95	2098	510	0	286	0	2050	1745	0	0	0	205	0	0	0	0	0	553	0	298	364	403	0	0	1506	0	0
Nup153	449.103448	0	417	957	1173	881	485	0	133	0	1526	1079	160	123	0	1050	0	1633	0	0	0	674	147	609	497	764	0	0	485	231	0
Il10ra	443.896552	0	854	2002	932	2141	340	0	479	0	1586	1422	0	0	0	0	0	0	0	0	0	439	0	359	506	500	0	174	1139	0	0
Fam71b	427.068966	0	947	1905	291	2069	750	0	305	0	467	281	0	0	0	142	0	0	0	0	0	803	0	597	589	1163	0	318	1613	145	0
Golga7	426.448276	0	557	1048	79	1331	0	0	114	0	1520	1045	0	0	0	2187	0	2459	0	0	0	470	0	317	232	598	0	0	410	0	0
Il7r	423.241379	0	875	1295	803	1707	1177	0	994	0	970	754	0	0	0	0	0	0	0	0	0	358	0	0	321	510	0	159	2141	210	0
Igtp	414.896552	0	1124	1630	982	1745	499	0	188	0	1104	621	0	0	0	363	0	838	0	0	0	760	231	336	626	264	0	0	589	132	0
Il18rap	409.965517	0	1373	1383	225	1865	262	0	239	0	2103	1986	435	252	0	0	0	0	0	0	0	375	0	167	236	308	0	0	680	0	0
Osm	406.586207	0	783	1306	1786	1399	1969	0	273	0	397	399	0	0	0	846	0	270	0	0	0	612	0	218	666	418	0	0	306	143	0
Tars	404.206897	0	1277	996	455	1795	165	0	0	0	1777	1246	194	114	0	204	0	762	0	0	0	712	155	400	652	204	0	0	614	0	0
Sspn	398.137931	494	500	548	536	582	317	239	171	0	200	168	2062	1852	406	366	310	398	0	0	0	146	120	0	529	341	0	529	177	555	0
Them4	392.103448	0	497	881	1207	1258	1006	0	0	0	707	459	128	241	0	392	0	1759	0	0	0	551	164	856	476	536	0	0	253	0	0
Rnasel	389.241379	0	1153	1232	968	1540	441	0	243	0	1281	854	221	103	0	113	0	233	0	0	0	644	0	296	465	618	0	0	718	165	0
Ifi35	385.655172	0	636	1306	848	1507	237	0	207	0	1814	1346	103	175	0	147	0	137	0	0	0	687	0	339	612	241	0	0	683	159	0
Spata5	384.862069	0	723	743	1285	1140	1030	0	186	0	797	606	0	0	0	949	0	1015	0	0	0	1084	131	514	336	297	0	0	325	0	0
Nudt6	384.862069	0	723	743	1285	1140	1030	0	186	0	797	606	0	0	0	949	0	1015	0	0	0	1084	131	514	336	297	0	0	325	0	0
Usp39	376.034483	0	930	784	83	1171	0	0	193	0	2014	1673	0	0	0	578	0	1045	0	0	0	163	0	0	363	794	0	0	1114	0	0
Mrpl30	365.448276	0	504	405	1206	1131	948	0	141	0	1149	1242	212	214	0	464	0	370	0	0	0	492	0	277	550	549	0	0	566	178	0
Mitd1	365.448276	0	504	405	1206	1131	948	0	141	0	1149	1242	212	214	0	464	0	370	0	0	0	492	0	277	550	549	0	0	566	178	0
Zbp1	363.241379	0	346	1455	1157	1770	500	0	129	0	1190	709	503	169	0	132	0	410	0	0	0	226	136	267	296	356	0	0	783	0	0
Irf9	362.275862	0	811	851	660	1122	125	0	114	0	984	774	445	228	0	405	0	609	0	0	0	1016	0	288	426	816	0	0	635	197	0
Irgm2	361.620690	0	826	1288	982	1283	587	0	0	0	883	551	318	158	0	611	0	1118	0	0	0	525	145	417	477	0	0	0	318	0	0
Kmo	359.379310	0	1220	931	116	1413	210	0	487	0	1784	1797	0	0	0	0	0	0	0	0	0	480	0	135	0	332	0	0	1517	0	0
Mettl25	357.413793	0	413	895	1053	1065	824	0	0	0	905	704	0	0	0	565	0	1230	0	0	0	600	143	611	415	437	0	0	370	135	0
Ccdc59	357.413793	0	413	895	1053	1065	824	0	0	0	905	704	0	0	0	565	0	1230	0	0	0	600	143	611	415	437	0	0	370	135	0
Car12	350.655172	0	1345	1512	78	1827	313	0	320	0	1184	923	0	0	0	0	0	0	0	0	0	375	0	0	685	415	0	0	1192	0	0
Bhlhe40	347.965517	0	563	845	1356	1018	1202	0	414	0	469	229	0	0	0	1014	0	1486	0	0	0	680	0	426	258	131	0	0	0	0	0
D16Ertd472e	347.655172	0	569	1275	174	1301	267	0	0	0	1507	1418	0	0	0	420	0	825	0	0	0	206	0	163	392	659	0	121	785	0	0
Tes	346.965517	0	320	1018	481	1282	286	0	505	0	2191	2012	0	0	0	0	0	0	0	0	0	289	0	0	142	362	0	0	1174	0	0
Emp1	335.724138	0	1025	1079	817	1262	402	0	0	0	1660	1294	0	0	0	96	0	108	0	0	0	259	0	188	408	387	0	0	751	0	0
1810037I17Rik	334.965517	0	234	967	1552	1267	1519	0	0	0	1047	723	0	0	0	554	0	351	0	0	0	358	0	127	490	525	0	0	0	0	0
Zfp455	334.586207	0	678	989	104	1142	166	0	0	0	1691	1119	128	0	0	513	0	906	0	0	0	389	0	270	349	623	0	0	636	0	0
Lpp	333.620690	0	563	1015	429	1165	340	0	0	0	1214	696	574	371	0	328	0	716	0	0	0	523	0	263	372	558	0	0	548	0	0
Il18bp	331.241379	0	520	969	524	1493	240	0	180	0	1261	1103	524	597	0	474	0	294	0	0	0	365	0	0	529	232	0	0	301	0	0
Zfp458	326.793103	0	620	1141	199	1136	0	0	0	0	1438	1077	0	0	0	526	0	1063	0	0	0	415	0	446	342	464	0	0	610	0	0
Lsm4	320.689655	0	306	755	366	769	318	0	0	0	1064	720	0	132	0	914	0	1534	0	0	0	598	120	430	201	747	0	0	326	0	0
Pcgf5	320.586207	0	864	924	342	1198	165	0	230	0	1265	956	0	0	0	0	0	0	0	0	0	197	0	157	753	1356	0	0	890	0	0
Tial1	319.413793	0	648	1147	1177	1446	945	0	0	0	833	695	154	0	0	0	0	0	0	0	0	592	0	178	504	345	0	0	486	113	0
Rcan3	315.965517	0	771	1031	1305	1323	347	0	226	0	772	425	0	0	0	0	0	158	0	0	0	883	0	387	525	214	0	0	796	0	0
Pan2	315.137931	0	748	885	836	1167	205	0	325	0	1351	1007	170	0	0	163	0	451	0	0	0	572	0	210	311	188	0	0	406	144	0
Bcl2l1	313.068966	0	539	1502	1292	1681	289	0	235	0	747	459	0	0	0	114	0	0	0	0	0	369	0	0	307	441	0	216	661	227	0
Togaram1	308.931034	0	368	740	288	900	126	0	0	0	1440	925	146	0	0	434	0	1112	0	0	0	509	0	287	438	482	0	0	498	266	0
Klhl28	308.931034	0	368	740	288	900	126	0	0	0	1440	925	146	0	0	434	0	1112	0	0	0	509	0	287	438	482	0	0	498	266	0
Fbxo17	305.896552	0	509	1393	1324	1819	473	0	217	0	421	231	0	0	0	0	0	0	0	0	0	768	0	117	527	271	0	168	448	185	0
Cetn4	305.068966	0	1225	0	95	2098	128	0	0	0	2050	1745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506	0	0
Ccnd2	304.000000	0	508	807	941	810	937	0	0	0	898	597	0	0	0	631	0	1179	0	0	0	389	0	386	448	285	0	0	0	0	0
Ppfibp2	301.689655	0	1059	409	0	597	0	0	106	0	1588	1383	0	0	0	226	0	620	0	0	0	644	214	464	242	239	0	0	712	246	0
Eef1aknmt	301.655172	0	453	785	1200	836	1163	0	0	0	1567	804	0	0	0	0	0	0	0	0	0	1015	0	146	0	325	0	0	454	0	0
Asmt	298.758621	0	84	708	181	859	0	203	116	127	283	255	761	768	492	522	707	592	0	0	0	0	0	0	118	332	215	468	494	379	0
Gm5544	298.724138	0	1339	691	0	1277	283	0	606	0	1059	683	0	0	0	0	0	0	0	0	0	0	0	0	232	714	0	0	1779	0	0
Kdsr	293.827586	0	891	1094	387	1532	278	0	207	0	749	679	247	0	0	107	0	0	0	0	0	268	0	149	417	708	0	0	808	0	0
Rraga	291.896552	0	859	513	564	926	312	0	0	0	837	760	0	0	0	433	0	957	0	0	0	495	134	374	464	372	0	134	331	0	0
Wdr77	289.034483	0	452	594	656	737	292	0	0	0	1096	638	175	0	0	408	0	1235	0	0	0	458	0	457	383	311	0	0	362	128	0
Atp5pb	289.034483	0	452	594	656	737	292	0	0	0	1096	638	175	0	0	408	0	1235	0	0	0	458	0	457	383	311	0	0	362	128	0
Rbm25	286.586207	0	920	725	399	1582	197	0	158	0	747	538	0	0	0	340	0	666	0	0	0	363	0	218	565	288	0	0	605	0	0
Mbnl1	278.551724	0	1246	1039	190	1341	303	0	123	0	1156	694	0	0	0	300	0	306	0	0	0	309	0	0	146	291	0	0	634	0	0
Etv6	275.724138	0	576	933	493	1333	387	0	206	0	1025	542	231	0	0	0	0	0	0	0	0	336	0	236	378	256	0	0	973	91	0
Vrk1	275.517241	0	374	734	156	1195	0	0	128	0	2025	1993	0	0	0	0	0	0	0	0	0	318	0	0	202	302	0	0	563	0	0
Zfp595	272.413793	0	551	811	179	1032	96	0	121	0	1324	968	167	242	0	128	0	543	0	0	0	258	0	298	234	376	0	0	463	109	0
Serpinb6a	271.068966	0	577	701	1025	838	1173	0	205	0	540	339	184	0	0	196	0	204	0	0	0	570	0	211	349	304	0	0	445	0	0
Ripk1	271.068966	0	577	701	1025	838	1173	0	205	0	540	339	184	0	0	196	0	204	0	0	0	570	0	211	349	304	0	0	445	0	0
Khsrp	270.517241	0	911	427	0	531	95	0	0	0	1063	751	0	0	0	636	0	1126	0	0	0	393	126	357	347	421	0	0	502	159	0
Kif3b	268.827586	0	944	886	107	891	0	0	0	0	1442	1272	0	0	0	0	0	0	0	0	0	291	0	0	250	430	0	0	1283	0	0
Noc4l	263.896552	0	374	522	784	772	682	0	0	0	663	341	211	188	0	186	0	604	0	0	0	682	112	647	340	289	0	0	256	0	0
Ddx51	263.896552	0	374	522	784	772	682	0	0	0	663	341	211	188	0	186	0	604	0	0	0	682	112	647	340	289	0	0	256	0	0
4833439L19Rik	262.758621	0	561	757	358	1351	96	0	0	0	1648	1107	0	0	0	0	0	0	0	0	0	288	0	211	328	351	0	0	464	100	0
Mcf2l	262.724138	0	373	1665	1077	1907	331	0	0	0	335	285	0	0	0	0	0	0	0	0	0	155	0	194	457	716	0	0	124	0	0
Traf6	262.310345	0	785	989	465	1464	196	0	185	0	1351	738	180	0	0	0	0	0	0	0	0	190	0	0	303	117	0	0	644	0	0
Gpr146	259.793103	0	309	447	785	557	964	0	0	0	685	563	0	81	0	623	0	897	0	0	0	389	162	0	362	485	0	0	225	0	0
Fgl2	259.137931	0	0	240	403	393	430	0	0	0	1371	1165	0	0	0	974	0	1581	0	0	0	343	0	252	0	238	0	0	125	0	0
Taf4b	257.620690	0	507	574	693	694	663	0	0	0	962	579	0	0	0	205	0	627	0	0	0	738	0	436	316	249	0	0	228	0	0
Nsun4	257.034483	0	331	732	1334	1045	715	0	118	0	819	544	0	0	0	336	0	0	0	0	0	579	0	0	241	270	0	0	390	0	0
Tefm	255.344828	0	989	744	687	976	300	0	188	0	863	658	0	0	0	388	0	0	0	0	0	356	0	0	382	323	0	0	551	0	0
Crebrf	255.275862	0	308	345	537	516	558	0	0	0	920	531	0	0	0	799	0	1449	0	0	0	404	0	164	188	428	0	0	256	0	0
Oxnad1	254.620690	0	303	1251	221	1792	169	0	214	0	616	359	266	195	0	0	0	0	0	0	0	155	0	0	351	785	0	0	707	0	0
Lilr4b	254.620690	0	1496	864	83	877	177	0	0	0	1233	1211	0	0	0	388	0	427	0	0	0	173	0	0	136	127	0	0	192	0	0
Dph3	254.620690	0	303	1251	221	1792	169	0	214	0	616	359	266	195	0	0	0	0	0	0	0	155	0	0	351	785	0	0	707	0	0
Slc14a1	251.655172	0	992	504	0	650	0	0	197	0	2074	1935	0	0	0	0	0	0	0	0	0	369	0	135	132	0	0	0	310	0	0
Zfp933	250.689655	0	888	1036	0	1760	388	0	192	0	945	653	0	0	0	0	0	0	0	0	0	152	0	0	148	591	0	0	517	0	0
Akap7	250.034483	0	1295	1511	150	1777	308	0	181	0	0	0	0	0	0	0	0	0	0	0	0	459	0	250	312	332	0	0	676	0	0
Atg16l1	248.448276	0	227	651	709	773	663	0	0	0	818	463	0	0	0	620	0	1146	0	0	0	236	0	169	162	167	0	0	239	162	0
Pilrb2	243.896552	0	768	760	246	896	0	0	0	0	912	853	228	0	0	189	0	293	0	0	0	589	114	355	422	240	0	0	208	0	0
Prrg4	241.586207	0	491	650	0	894	109	0	165	0	1911	1533	0	0	0	0	0	0	0	0	0	415	0	0	337	104	0	0	397	0	0
Dcaf1	240.620690	0	524	466	275	715	124	0	228	0	1481	1220	138	0	0	258	0	108	0	0	0	86	0	0	179	597	0	0	579	0	0
Treml2	240.551724	0	788	726	333	865	0	0	109	0	808	605	0	0	0	523	0	708	0	0	0	311	0	194	260	373	0	0	373	0	0
Cuta	238.241379	0	372	304	566	488	514	0	0	0	862	545	0	0	0	249	0	866	0	0	0	611	0	571	424	244	0	0	293	0	0
Ctla2a	236.517241	0	825	1204	122	1485	120	0	127	0	0	0	0	0	0	513	0	662	0	0	0	333	0	247	225	373	0	0	623	0	0
Rbm27	235.068966	0	484	741	508	1076	190	0	255	0	753	443	0	0	0	0	0	123	0	0	0	301	0	167	481	493	0	0	598	204	0
Gbp5	229.206897	0	729	449	0	399	0	0	137	0	1518	1467	0	0	0	0	0	0	0	0	0	179	0	0	241	630	0	0	898	0	0
Txnrd1	228.103448	0	387	223	252	509	135	0	0	0	1654	1192	213	0	0	440	0	973	0	0	0	173	0	0	162	187	0	0	115	0	0
Irf8	227.965517	0	267	558	844	647	863	0	96	0	591	401	0	0	0	249	0	544	0	0	0	615	0	318	298	320	0	0	0	0	0
Olfr433	227.241379	0	356	744	149	1140	0	0	0	0	1736	1585	0	0	0	0	0	0	0	0	0	108	0	0	88	156	0	0	528	0	0
Commd7	225.103448	0	326	480	693	544	622	0	0	0	798	601	0	0	0	217	0	720	0	0	0	360	0	239	234	412	0	0	282	0	0
Gm12250	224.241379	0	440	1008	0	1426	235	0	202	0	888	499	0	0	0	0	0	377	0	0	0	472	0	311	244	0	0	0	401	0	0
Gclm	224.000000	0	324	620	774	568	506	0	0	0	581	668	0	0	0	716	0	825	0	0	0	282	0	196	252	184	0	0	0	0	0
Fas	223.758621	0	410	587	462	667	204	0	0	0	1568	1120	0	0	0	0	0	0	0	0	0	401	0	324	385	171	0	0	190	0	0
Spef2	221.448276	0	444	690	788	1141	234	0	0	0	707	436	0	0	0	0	0	0	0	0	0	461	0	259	457	341	0	0	333	131	0
Lta4h	219.689655	0	0	0	0	1843	0	0	160	0	0	0	0	0	0	1975	0	1815	0	0	0	0	0	0	0	0	0	0	578	0	0
Lcp2	219.379310	0	505	739	131	874	152	0	188	0	1320	701	0	0	0	384	0	755	0	0	0	257	0	150	0	0	0	0	206	0	0
Tmem109	217.517241	0	773	843	0	1257	115	0	112	0	1325	552	0	0	0	0	0	0	0	0	0	159	0	0	202	519	0	0	451	0	0
Dbp	217.068966	0	392	584	667	791	755	0	0	0	419	229	0	0	0	224	0	586	0	0	0	376	0	363	247	256	0	0	406	0	0
Wars2	216.310345	0	430	1275	572	1628	225	0	124	0	224	0	0	0	0	0	0	74	0	0	0	207	0	0	660	494	0	0	360	0	0
Klrc2	215.068966	0	571	253	0	453	0	0	439	0	1245	994	0	0	0	359	0	153	0	0	0	343	0	0	236	523	0	0	668	0	0
Icosl	214.758621	0	216	114	130	169	0	0	0	0	1482	977	0	0	0	820	0	1515	0	0	0	269	0	276	0	118	0	0	142	0	0
Dhx34	214.310345	0	489	594	636	1036	237	0	120	0	959	629	0	0	0	0	0	250	0	0	0	440	0	195	281	0	0	0	349	0	0
Zfp456	213.689655	0	525	617	0	530	0	0	0	0	884	666	0	0	0	564	0	1187	0	0	0	319	0	242	0	194	0	0	469	0	0
Ubald2	213.413793	0	749	733	108	980	0	0	348	0	1206	802	0	0	0	0	0	0	0	0	0	506	0	0	218	229	0	0	310	0	0
Taf11	212.965517	0	699	573	641	739	663	0	0	0	298	345	0	0	0	0	0	361	0	0	0	730	0	468	402	127	0	0	130	0	0
Anks1	212.965517	0	699	573	641	739	663	0	0	0	298	345	0	0	0	0	0	361	0	0	0	730	0	468	402	127	0	0	130	0	0
Ifnar2	212.620690	0	431	739	447	703	158	0	0	0	778	691	137	0	0	255	0	256	0	0	0	591	0	178	381	182	0	0	239	0	0
Lif	211.896552	0	319	1290	843	1686	1089	0	297	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	127	176	0	0	167	0	0
Hdac1	211.862069	0	505	726	817	1194	408	0	142	0	335	154	192	0	0	0	0	0	0	0	0	290	0	0	782	300	0	0	299	0	0
Ahcyl2	207.862069	0	706	1121	864	1453	294	0	98	0	0	0	0	0	0	0	0	0	0	0	0	453	0	244	0	86	0	0	609	100	0
Stambpl1	206.724138	0	664	472	107	964	106	0	271	0	466	556	265	186	0	0	0	0	0	0	0	421	0	0	556	293	0	0	668	0	0
Zfp429	206.241379	0	415	550	164	474	105	0	0	0	1026	716	0	0	0	555	0	983	0	0	0	413	0	255	0	162	0	0	163	0	0
Sfi1	204.724138	0	555	324	701	577	908	0	0	0	155	0	176	118	0	159	0	109	0	0	0	358	0	130	817	131	0	0	590	129	0
Lilrb4a	204.241379	0	1435	433	0	622	155	0	0	0	1263	1051	0	0	0	190	0	247	0	0	0	81	0	0	124	191	0	0	131	0	0
Spatc1l	202.137931	0	494	1054	369	1422	0	0	176	0	0	0	0	0	0	0	0	296	0	0	0	0	0	137	162	515	0	0	1237	0	0
Snf8	201.275862	0	364	400	337	372	143	0	0	0	699	490	0	0	0	366	0	971	0	0	0	369	0	328	303	406	0	0	289	0	0
Serpina3g	198.172414	0	870	250	0	378	0	0	0	0	1426	1263	0	0	0	782	0	266	0	0	0	0	0	0	0	333	0	0	179	0	0
Prr13	198.000000	0	521	720	332	889	202	0	129	0	1002	833	0	0	0	0	0	0	0	0	0	241	0	0	289	307	0	0	277	0	0
Tnks2	197.655172	0	825	709	124	1026	180	0	263	0	600	291	0	0	0	0	0	0	0	0	0	134	0	0	192	799	0	0	589	0	0
Klrc3	197.379310	0	563	321	165	579	0	0	384	0	1199	990	0	0	0	274	0	0	0	0	0	327	0	0	206	447	0	0	269	0	0
Plec	194.344828	0	410	240	354	460	306	0	0	0	1516	1158	0	0	0	218	0	0	0	0	0	442	0	0	170	201	0	0	161	0	0
Rab5a	193.724138	0	559	520	286	741	230	0	181	0	935	786	0	0	0	0	0	0	0	0	0	212	0	0	286	398	0	0	484	0	0
Plscr1	193.310345	0	205	611	148	663	0	0	0	0	1101	1013	172	0	0	0	0	179	0	0	0	182	0	107	171	516	0	0	538	0	0
P2ry14	193.310345	0	417	442	0	1031	0	0	148	0	402	290	0	0	0	884	0	1045	0	0	0	515	0	227	205	0	0	0	0	0	0
Tlcd1	192.827586	0	354	448	0	526	0	0	0	0	1345	969	0	0	0	0	0	0	0	0	0	279	0	173	420	431	0	0	647	0	0
Oasl1	192.827586	0	0	302	0	548	161	0	166	289	259	304	704	719	531	573	456	400	0	0	0	0	0	0	0	0	0	0	180	0	0
Nek8	192.827586	0	354	448	0	526	0	0	0	0	1345	969	0	0	0	0	0	0	0	0	0	279	0	173	420	431	0	0	647	0	0
Rsrc2	192.517241	0	391	586	765	778	386	0	0	0	865	605	0	0	0	101	0	0	0	0	0	335	0	0	260	171	0	0	340	0	0
Kntc1	192.517241	0	391	586	765	778	386	0	0	0	865	605	0	0	0	101	0	0	0	0	0	335	0	0	260	171	0	0	340	0	0
Ncbp3	190.103448	0	544	875	213	1107	138	0	132	0	142	161	0	0	0	490	0	905	0	0	0	214	0	184	117	100	0	0	191	0	0
Isoc1	189.310345	0	510	570	524	1063	529	0	286	0	509	273	0	0	0	0	0	0	0	0	0	313	0	0	251	283	0	0	379	0	0
Sft2d2	188.586207	0	176	504	113	560	96	0	0	0	2007	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0
Klc3	187.827586	0	406	536	350	738	376	0	73	0	927	500	0	0	0	0	0	0	0	0	0	414	0	111	306	345	0	0	365	0	0
Psmc6	186.379310	0	534	691	224	1208	122	0	0	0	958	540	0	0	0	0	0	0	0	0	0	306	0	0	186	296	0	0	340	0	0
Afg1l	185.896552	0	0	0	75	0	124	0	0	0	2021	1749	739	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
