Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX4988100|Embryonic_Stem_Cells	SRX4988101|Embryonic_Stem_Cells	SRX4988102|Embryonic_Stem_Cells	SRX4988103|Embryonic_Stem_Cells	SRX4988104|Embryonic_Stem_Cells	SRX4988105|Embryonic_Stem_Cells	STRING
Usp34	235.714286	1650	0	0	0	0	0	0	0
Lrrc8a	235.714286	1650	0	0	0	0	0	0	0
Krt19	235.000000	303	236	116	253	154	266	317	0
Kmt2a	234.428571	1641	0	0	0	0	0	0	0
Prdm15	234.285714	1640	0	0	0	0	0	0	0
Flcn	234.142857	1639	0	0	0	0	0	0	0
Zfp335	234.000000	1638	0	0	0	0	0	0	0
Nbn	232.714286	1629	0	0	0	0	0	0	0
Yap1	232.142857	1625	0	0	0	0	0	0	0
Dvl3	231.285714	1619	0	0	0	0	0	0	0
Sec14l4	229.857143	1609	0	0	0	0	0	0	0
Pfdn4	229.285714	1605	0	0	0	0	0	0	0
Gipc1	228.000000	1596	0	0	0	0	0	0	0
Rabgap1	227.000000	1589	0	0	0	0	0	0	0
Vps26c	226.285714	1584	0	0	0	0	0	0	0
Srp19	226.285714	1584	0	0	0	0	0	0	0
Mat2a	225.000000	1575	0	0	0	0	0	0	0
Lamtor3	224.857143	1574	0	0	0	0	0	0	0
Gabpb1	220.571429	1544	0	0	0	0	0	0	0
Rrp1	220.142857	1541	0	0	0	0	0	0	0
Dlst	220.142857	1541	0	0	0	0	0	0	0
Mterf1b	219.857143	1539	0	0	0	0	0	0	0
Pcyt1a	218.857143	1532	0	0	0	0	0	0	0
Rpl32	217.714286	1524	0	0	0	0	0	0	0
Klhl18	217.285714	1521	0	0	0	0	0	0	0
Kif9	217.285714	1521	0	0	0	0	0	0	0
Nme1	217.000000	1519	0	0	0	0	0	0	0
Mcm7	216.857143	1518	0	0	0	0	0	0	0
Ap4m1	216.857143	1518	0	0	0	0	0	0	0
Arl2	216.571429	1516	0	0	0	0	0	0	0
Rnft2	216.142857	1513	0	0	0	0	0	0	0
2410131K14Rik	216.142857	1513	0	0	0	0	0	0	0
Hnrnpd	215.428571	1508	0	0	0	0	0	0	0
Appl2	215.428571	1508	0	0	0	0	0	0	0
Mterf1a	214.857143	1504	0	0	0	0	0	0	0
Zfp518a	214.714286	1503	0	0	0	0	0	0	0
Zfand3	214.571429	1502	0	0	0	0	0	0	0
Nop56	213.571429	1495	0	0	0	0	0	0	0
Frat2	213.285714	1493	0	0	0	0	0	0	0
Dap3	213.000000	1491	0	0	0	0	0	0	0
Rtf2	212.000000	1484	0	0	0	0	0	0	0
Rac1	211.714286	1482	0	0	0	0	0	0	0
Arpc2	211.714286	1482	0	0	0	0	0	0	0
D030056L22Rik	210.142857	1471	0	0	0	0	0	0	0
Pank3	210.000000	1470	0	0	0	0	0	0	0
Adam17	210.000000	1470	0	0	0	0	0	0	0
Rassf1	209.428571	1466	0	0	0	0	0	0	0
Gmfb	209.142857	1464	0	0	0	0	0	0	0
Nsun6	209.000000	1463	0	0	0	0	0	0	0
Arl5b	209.000000	1463	0	0	0	0	0	0	0
Spata33	208.857143	1462	0	0	0	0	0	0	0
Chmp1a	208.857143	1462	0	0	0	0	0	0	0
Golga5	208.428571	1459	0	0	0	0	0	0	0
Zfp865	208.285714	1458	0	0	0	0	0	0	0
Ttc13	208.285714	1458	0	0	0	0	0	0	0
Taf11	208.285714	1458	0	0	0	0	0	0	0
Arv1	208.285714	1458	0	0	0	0	0	0	0
Anks1	208.285714	1458	0	0	0	0	0	0	0
Cfap20	208.142857	1457	0	0	0	0	0	0	0
Eed	207.714286	1454	0	0	0	0	0	0	0
Slc35a1	207.428571	1452	0	0	0	0	0	0	0
Slc25a32	207.285714	1451	0	0	0	0	0	0	0
Dcaf13	207.285714	1451	0	0	0	0	0	0	0
Atxn2	207.285714	1451	0	0	0	0	0	0	0
Ube2v1	207.142857	1450	0	0	0	0	0	0	0
Rita1	206.428571	1445	0	0	0	0	0	0	0
Ddx54	206.428571	1445	0	0	0	0	0	0	0
Lmbrd1	205.714286	1440	0	0	0	0	0	0	0
Daxx	204.857143	1434	0	0	0	0	0	0	0
Ap1m1	204.428571	1431	0	0	0	0	0	0	0
Oasl1	204.285714	0	312	129	256	275	224	234	0
Tasor2	203.857143	1427	0	0	0	0	0	0	0
Dnajb1	203.285714	1423	0	0	0	0	0	0	0
Washc1	202.714286	1419	0	0	0	0	0	0	0
Kansl2	202.714286	1419	0	0	0	0	0	0	0
Sf3b1	202.285714	1416	0	0	0	0	0	0	0
Oga	202.285714	1416	0	0	0	0	0	0	0
Wdr45b	202.142857	1415	0	0	0	0	0	0	0
Prpf19	202.142857	1415	0	0	0	0	0	0	0
Ddx5	201.714286	1412	0	0	0	0	0	0	0
Cep95	201.714286	1412	0	0	0	0	0	0	0
Zer1	200.857143	1406	0	0	0	0	0	0	0
Spred1	200.428571	1403	0	0	0	0	0	0	0
Sart3	200.142857	1401	0	0	0	0	0	0	0
Iscu	200.142857	1401	0	0	0	0	0	0	0
Nfe2l2	199.285714	1395	0	0	0	0	0	0	0
Cops8	199.142857	1394	0	0	0	0	0	0	0
Rpl37	199.000000	1095	0	0	134	0	0	164	0
Dnaja1	198.857143	1392	0	0	0	0	0	0	0
Tstd2	198.714286	1391	0	0	0	0	0	0	0
Ncbp1	198.714286	1391	0	0	0	0	0	0	0
Calm3	198.285714	1388	0	0	0	0	0	0	0
Sspn	197.714286	1200	0	0	0	0	184	0	0
Sde2	197.142857	1380	0	0	0	0	0	0	0
Tbccd1	196.571429	1376	0	0	0	0	0	0	0
Dnajb11	196.571429	1376	0	0	0	0	0	0	0
Tbpl1	196.428571	1375	0	0	0	0	0	0	0
Hps5	196.428571	1375	0	0	0	0	0	0	0
Gtf2h1	196.428571	1375	0	0	0	0	0	0	0
Mrps35	196.285714	1374	0	0	0	0	0	0	0
Diaph1	195.857143	1371	0	0	0	0	0	0	0
Wdr27	195.000000	1365	0	0	0	0	0	0	0
1600012H06Rik	195.000000	1365	0	0	0	0	0	0	0
Pofut2	194.714286	1363	0	0	0	0	0	0	0
Actl6a	194.714286	1363	0	0	0	0	0	0	0
Ap4e1	194.571429	1362	0	0	0	0	0	0	0
Zfp24	193.000000	1351	0	0	0	0	0	0	0
Nfkbiz	192.714286	1349	0	0	0	0	0	0	0
Otud7b	191.857143	1343	0	0	0	0	0	0	0
Ate1	191.428571	1340	0	0	0	0	0	0	0
Ssrp1	191.000000	1337	0	0	0	0	0	0	0
Seh1l	190.285714	1332	0	0	0	0	0	0	0
Ubfd1	190.000000	1330	0	0	0	0	0	0	0
Ears2	190.000000	1330	0	0	0	0	0	0	0
Ankrd12	189.571429	1327	0	0	0	0	0	0	0
Morc3	189.285714	1325	0	0	0	0	0	0	0
Fbxw2	188.714286	1321	0	0	0	0	0	0	0
Vamp3	188.428571	1319	0	0	0	0	0	0	0
Ppp4r3b	187.857143	1315	0	0	0	0	0	0	0
Lmnb1	187.857143	1315	0	0	0	0	0	0	0
Akirin1	187.285714	1311	0	0	0	0	0	0	0
Arhgef7	187.142857	1310	0	0	0	0	0	0	0
Prkacb	186.857143	1308	0	0	0	0	0	0	0
Oxsr1	186.428571	1305	0	0	0	0	0	0	0
Pnpla8	186.285714	1304	0	0	0	0	0	0	0
Psma6	186.142857	1303	0	0	0	0	0	0	0
Timmdc1	185.571429	1299	0	0	0	0	0	0	0
Ndfip2	185.285714	1297	0	0	0	0	0	0	0
Sod2	184.857143	1294	0	0	0	0	0	0	0
Caap1	184.714286	1293	0	0	0	0	0	0	0
Cox20	184.571429	1292	0	0	0	0	0	0	0
Trim44	184.428571	1291	0	0	0	0	0	0	0
Riok1	183.714286	1286	0	0	0	0	0	0	0
Dgat2	183.714286	1286	0	0	0	0	0	0	0
Cage1	183.714286	1286	0	0	0	0	0	0	0
Nectin2	183.285714	1283	0	0	0	0	0	0	0
Coq10b	183.285714	1283	0	0	0	0	0	0	0
Atp13a3	183.142857	1282	0	0	0	0	0	0	0
Csnk1a1	182.857143	1280	0	0	0	0	0	0	0
Senp1	182.571429	1278	0	0	0	0	0	0	0
Pfkm	182.571429	1278	0	0	0	0	0	0	0
Neurl4	182.571429	1278	0	0	0	0	0	0	0
2810408A11Rik	182.571429	1278	0	0	0	0	0	0	0
Ska3	182.428571	1189	0	0	0	88	0	0	0
Mrpl57	182.428571	1189	0	0	0	88	0	0	0
Hnrnpa2b1	182.428571	1277	0	0	0	0	0	0	0
Hlcs	182.428571	1277	0	0	0	0	0	0	0
Cbx3	182.428571	1277	0	0	0	0	0	0	0
Fam110a	182.000000	1274	0	0	0	0	0	0	0
Etf1	181.714286	1272	0	0	0	0	0	0	0
Cct8	181.428571	1270	0	0	0	0	0	0	0
Zfp623	181.000000	1267	0	0	0	0	0	0	0
Epc1	180.857143	1266	0	0	0	0	0	0	0
Selenow	180.714286	1265	0	0	0	0	0	0	0
Prepl	180.714286	1099	0	0	106	60	0	0	0
Camkmt	180.714286	1099	0	0	106	60	0	0	0
Gnas	180.571429	1264	0	0	0	0	0	0	0
Fam13b	180.571429	1264	0	0	0	0	0	0	0
Zc3h18	180.428571	1263	0	0	0	0	0	0	0
Ern1	180.428571	1263	0	0	0	0	0	0	0
Senp7	180.142857	1261	0	0	0	0	0	0	0
Rpia	179.857143	1259	0	0	0	0	0	0	0
Mdm4	179.857143	1259	0	0	0	0	0	0	0
Itpkc	179.285714	1255	0	0	0	0	0	0	0
Rmnd5a	179.000000	1253	0	0	0	0	0	0	0
Cherp	179.000000	1253	0	0	0	0	0	0	0
Frmd6	178.714286	1251	0	0	0	0	0	0	0
BC005537	178.571429	1250	0	0	0	0	0	0	0
Zfp512b	178.428571	1249	0	0	0	0	0	0	0
Sowahc	178.285714	1248	0	0	0	0	0	0	0
Septin10	178.285714	1248	0	0	0	0	0	0	0
Cct5	178.142857	1247	0	0	0	0	0	0	0
Atpsckmt	178.142857	1247	0	0	0	0	0	0	0
Fbxo33	178.000000	1246	0	0	0	0	0	0	0
Pigm	177.857143	1245	0	0	0	0	0	0	0
Mlycd	177.857143	1245	0	0	0	0	0	0	0
Atp6v0c	177.857143	1245	0	0	0	0	0	0	0
Prps1l3	177.428571	1242	0	0	0	0	0	0	0
Mipol1	177.428571	1242	0	0	0	0	0	0	0
Paxip1	177.285714	1241	0	0	0	0	0	0	0
Dhx36	177.142857	1240	0	0	0	0	0	0	0
Usp4	176.142857	1233	0	0	0	0	0	0	0
Them6	175.714286	1230	0	0	0	0	0	0	0
Kat5	175.714286	1230	0	0	0	0	0	0	0
Katna1	175.571429	1229	0	0	0	0	0	0	0
Trnau1ap	175.428571	1228	0	0	0	0	0	0	0
Zzz3	175.285714	1227	0	0	0	0	0	0	0
Slc35f6	174.857143	1224	0	0	0	0	0	0	0
Sdhaf2	174.857143	1224	0	0	0	0	0	0	0
Rraga	174.857143	1224	0	0	0	0	0	0	0
Cpsf7	174.857143	1224	0	0	0	0	0	0	0
Aff1	174.571429	1222	0	0	0	0	0	0	0
Akap10	174.142857	1219	0	0	0	0	0	0	0
Mdfic	173.285714	1213	0	0	0	0	0	0	0
Nudcd3	173.142857	1212	0	0	0	0	0	0	0
Bcl2l1	173.000000	1211	0	0	0	0	0	0	0
Togaram1	172.571429	1208	0	0	0	0	0	0	0
Klhl28	172.571429	1208	0	0	0	0	0	0	0
Wdr37	172.285714	1206	0	0	0	0	0	0	0
Hivep1	172.142857	1205	0	0	0	0	0	0	0
Kifc1	172.000000	1204	0	0	0	0	0	0	0
Tmem250-ps	171.714286	1202	0	0	0	0	0	0	0
Rsph3a	171.714286	1202	0	0	0	0	0	0	0
Vps11	171.285714	1199	0	0	0	0	0	0	0
Nol10	170.857143	1196	0	0	0	0	0	0	0
Cln8	170.857143	1196	0	0	0	0	0	0	0
Dcaf15	170.428571	1193	0	0	0	0	0	0	0
Ankrd11	170.428571	1193	0	0	0	0	0	0	0
Adrm1	169.857143	1189	0	0	0	0	0	0	0
Mob1b	169.571429	1187	0	0	0	0	0	0	0
Ttc25	169.428571	1186	0	0	0	0	0	0	0
Erlin2	169.428571	1186	0	0	0	0	0	0	0
Cops7a	169.428571	1186	0	0	0	0	0	0	0
Gar1	169.142857	1184	0	0	0	0	0	0	0
Wdr1	168.857143	1182	0	0	0	0	0	0	0
Mtmr2	168.714286	1181	0	0	0	0	0	0	0
Eif2s1	168.428571	1179	0	0	0	0	0	0	0
Atp6v1d	168.428571	1179	0	0	0	0	0	0	0
Caprin2	168.285714	1178	0	0	0	0	0	0	0
Pramef8	168.142857	1177	0	0	0	0	0	0	0
Tmem251	168.000000	1176	0	0	0	0	0	0	0
Moap1	168.000000	1176	0	0	0	0	0	0	0
Brox	167.857143	1175	0	0	0	0	0	0	0
Aida	167.857143	1175	0	0	0	0	0	0	0
Tm9sf2	167.428571	1172	0	0	0	0	0	0	0
Nras	167.428571	1172	0	0	0	0	0	0	0
Hnrnpa3	167.285714	1171	0	0	0	0	0	0	0
Slc7a6	167.142857	1170	0	0	0	0	0	0	0
Sec24a	166.714286	1167	0	0	0	0	0	0	0
Dnajc1	166.571429	1111	0	0	55	0	0	0	0
Cenpf	166.285714	1164	0	0	0	0	0	0	0
Cap1	166.285714	1164	0	0	0	0	0	0	0
Ythdf3	166.142857	1163	0	0	0	0	0	0	0
Eif4e2	166.000000	1162	0	0	0	0	0	0	0
Cul2	166.000000	1162	0	0	0	0	0	0	0
Ulk4	165.714286	1160	0	0	0	0	0	0	0
Yipf3	165.571429	1159	0	0	0	0	0	0	0
Polr1c	165.571429	1159	0	0	0	0	0	0	0
Dph6	165.571429	1159	0	0	0	0	0	0	0
Txndc17	165.285714	1157	0	0	0	0	0	0	0
Smap2	165.285714	1157	0	0	0	0	0	0	0
Trim24	165.000000	1155	0	0	0	0	0	0	0
Pdcd11	165.000000	1155	0	0	0	0	0	0	0
Atp5md	165.000000	1155	0	0	0	0	0	0	0
Vps37c	164.857143	1154	0	0	0	0	0	0	0
Ccdc171	164.857143	1154	0	0	0	0	0	0	0
Tspan4	164.714286	1153	0	0	0	0	0	0	0
Polr2l	164.714286	1153	0	0	0	0	0	0	0
Uqcrh	164.571429	1152	0	0	0	0	0	0	0
Lrrc41	164.571429	1152	0	0	0	0	0	0	0
Kifc5b	164.571429	1152	0	0	0	0	0	0	0
Srek1	164.428571	1151	0	0	0	0	0	0	0
Kifap3	164.428571	1151	0	0	0	0	0	0	0
Tmem62	164.285714	1150	0	0	0	0	0	0	0
Ssbp1	164.285714	1150	0	0	0	0	0	0	0
Ptpn2	164.000000	1148	0	0	0	0	0	0	0
Fbxo22	163.857143	1147	0	0	0	0	0	0	0
Nf1	163.714286	1146	0	0	0	0	0	0	0
Mettl23	163.571429	1145	0	0	0	0	0	0	0
Jmjd6	163.571429	1145	0	0	0	0	0	0	0
Cep63	163.571429	1145	0	0	0	0	0	0	0
Anapc13	163.571429	1145	0	0	0	0	0	0	0
Avl9	163.428571	1144	0	0	0	0	0	0	0
Pcna	163.285714	1143	0	0	0	0	0	0	0
Dus3l	163.000000	1141	0	0	0	0	0	0	0
Slc35e2	162.857143	1140	0	0	0	0	0	0	0
Scyl3	162.571429	1138	0	0	0	0	0	0	0
Ndc80	162.571429	1138	0	0	0	0	0	0	0
Utp3	162.428571	1137	0	0	0	0	0	0	0
Tmem39a	162.285714	1136	0	0	0	0	0	0	0
Limk2	162.285714	1136	0	0	0	0	0	0	0
Rpsa	162.000000	1134	0	0	0	0	0	0	0
Rps14	162.000000	1134	0	0	0	0	0	0	0
Aurkaip1	162.000000	1134	0	0	0	0	0	0	0
Smim14	161.857143	1133	0	0	0	0	0	0	0
Wrap53	161.714286	1132	0	0	0	0	0	0	0
Trp53	161.714286	1132	0	0	0	0	0	0	0
Endov	161.714286	1132	0	0	0	0	0	0	0
Sh3gl1	161.285714	1129	0	0	0	0	0	0	0
Xpo6	161.142857	1128	0	0	0	0	0	0	0
Nudt19	161.142857	1128	0	0	0	0	0	0	0
Pknox1	161.000000	1127	0	0	0	0	0	0	0
Rmdn1	160.714286	1125	0	0	0	0	0	0	0
Ncapg	160.142857	1121	0	0	0	0	0	0	0
Usp3	160.000000	1120	0	0	0	0	0	0	0
Tmem41b	160.000000	1120	0	0	0	0	0	0	0
Patj	160.000000	1120	0	0	0	0	0	0	0
Trip12	159.857143	1119	0	0	0	0	0	0	0
Fbxo36	159.857143	1119	0	0	0	0	0	0	0
Slc30a9	159.428571	1116	0	0	0	0	0	0	0
Ostm1	159.428571	1116	0	0	0	0	0	0	0
Morc2a	159.428571	1116	0	0	0	0	0	0	0
Zfp719	159.285714	1115	0	0	0	0	0	0	0
Ttll7	159.142857	1114	0	0	0	0	0	0	0
Ss18l1	158.857143	1112	0	0	0	0	0	0	0
Serbp1	158.857143	1112	0	0	0	0	0	0	0
Psma7	158.857143	1112	0	0	0	0	0	0	0
Exoc1	158.857143	1112	0	0	0	0	0	0	0
Nub1	158.714286	1111	0	0	0	0	0	0	0
Actr3	158.571429	1110	0	0	0	0	0	0	0
Fubp3	158.285714	1042	0	0	0	66	0	0	0
Txnrd2	158.000000	1106	0	0	0	0	0	0	0
Comt	158.000000	1106	0	0	0	0	0	0	0
Ubald1	157.857143	1105	0	0	0	0	0	0	0
Ppp4c	157.714286	1104	0	0	0	0	0	0	0
Sec31a	157.428571	1102	0	0	0	0	0	0	0
Pgs1	156.714286	1097	0	0	0	0	0	0	0
Hinfp	156.714286	1097	0	0	0	0	0	0	0
Lemd3	156.285714	1094	0	0	0	0	0	0	0
Eif4a2	156.142857	1093	0	0	0	0	0	0	0
Zfp740	155.571429	1089	0	0	0	0	0	0	0
Zfp553	155.428571	1088	0	0	0	0	0	0	0
Hdac1	155.285714	1087	0	0	0	0	0	0	0
Rps27l	154.857143	1084	0	0	0	0	0	0	0
Pip4k2b	154.857143	1084	0	0	0	0	0	0	0
Ippk	154.714286	1083	0	0	0	0	0	0	0
Sfr1	153.857143	1077	0	0	0	0	0	0	0
Exosc10	153.857143	1077	0	0	0	0	0	0	0
Nelfb	153.714286	1076	0	0	0	0	0	0	0
Zgpat	153.428571	1074	0	0	0	0	0	0	0
Aspscr1	153.428571	1074	0	0	0	0	0	0	0
Arfrp1	153.428571	1074	0	0	0	0	0	0	0
Trim41	153.142857	1072	0	0	0	0	0	0	0
Usp32	153.000000	1071	0	0	0	0	0	0	0
Pdpr	153.000000	1071	0	0	0	0	0	0	0
Oxnad1	153.000000	1071	0	0	0	0	0	0	0
Dph3	153.000000	1071	0	0	0	0	0	0	0
Cspp1	153.000000	1071	0	0	0	0	0	0	0
Clk3	153.000000	1071	0	0	0	0	0	0	0
Bmt2	152.857143	1070	0	0	0	0	0	0	0
Ap1b1	152.714286	1069	0	0	0	0	0	0	0
Ttll4	152.428571	1067	0	0	0	0	0	0	0
Fndc11	152.428571	1067	0	0	0	0	0	0	0
Tomm20	152.285714	1066	0	0	0	0	0	0	0
Ppt2	152.142857	1065	0	0	0	0	0	0	0
