Target_genes	Tcf7l2|Average	ERX161579|Colon	ERX161580|Colon	ERX161583|Colon	ERX161584|Colon	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	ERX4312250|Thalamus	ERX4312254|Thalamus	ERX4312255|Thalamus	STRING
A730008H23Rik	395.214286	298	340	238	241	0	0	0	0	62	598	776	629	1203	1148	0
Zfp219	382.428571	112	384	0	134	0	0	0	0	0	566	432	1086	1750	890	0
Ddx3x	371.428571	0	235	0	0	0	0	0	0	0	796	994	1186	1400	589	0
Ormdl3	356.714286	223	269	0	0	0	0	0	0	0	693	800	950	1326	733	0
Timmdc1	353.285714	750	740	315	282	0	0	0	0	0	434	464	654	795	512	0
Phospho1	349.071429	0	0	0	0	0	0	0	0	0	653	572	1161	1331	1170	0
Tnfrsf19	348.285714	0	0	0	0	0	71	0	0	0	0	200	1412	1968	1225	0
Amotl2	346.642857	0	177	0	91	0	0	0	0	0	481	352	1342	1436	974	0
Tuba1a	331.285714	580	540	199	234	0	0	0	0	0	622	498	515	875	575	0
Gtf2b	327.571429	230	312	0	144	0	0	0	0	0	468	494	880	1176	882	0
Yaf2	318.642857	0	0	0	0	0	0	0	0	0	998	824	444	1422	773	0
Slc25a28	307.428571	0	0	0	0	64	112	0	0	0	803	687	992	1032	614	0
Zfp354b	303.285714	141	144	0	0	0	0	0	0	0	173	0	1044	1486	1258	0
Sh2b1	295.428571	156	142	0	0	0	0	0	0	0	596	575	795	1175	697	0
Ncam1	291.214286	0	0	0	0	0	0	0	0	0	184	216	1063	1580	1034	0
Oasl1	286.357143	262	239	135	261	176	346	515	572	511	436	556	0	0	0	0
Med1	286.285714	167	107	0	0	0	0	0	0	0	406	507	991	985	845	0
Plekhg2	286.071429	258	258	0	0	0	0	0	0	0	199	138	960	1339	853	0
Pkm	279.428571	155	267	0	0	0	0	0	0	0	624	701	522	1013	630	0
Cox20	276.785714	234	188	0	0	79	0	0	0	0	558	599	708	798	711	0
Sspn	275.142857	0	120	0	0	0	0	0	557	716	1062	861	241	295	0	0
Ctif	274.357143	0	0	0	0	0	0	0	0	0	647	805	794	989	606	0
Stoml2	273.214286	0	0	0	0	0	0	0	0	0	937	1038	433	800	617	0
Septin9	263.500000	0	0	0	0	0	0	0	0	0	328	406	896	1197	862	0
Coq10a	262.571429	229	189	0	0	0	0	0	0	0	209	332	979	1009	729	0
Sphk2	261.785714	0	0	0	0	0	0	0	0	0	411	285	826	1310	833	0
Srsf7	259.285714	0	151	0	0	66	0	0	0	0	459	300	879	1086	689	0
Mtf2	255.428571	212	190	0	0	0	0	0	0	0	672	675	266	1009	552	0
Ppme1	253.714286	591	611	232	271	0	0	0	0	0	352	300	526	431	238	0
C2cd3	253.714286	591	611	232	271	0	0	0	0	0	352	300	526	431	238	0
Dcaf1	249.214286	0	0	0	0	0	100	0	0	0	260	179	1100	1182	668	0
Cacybp	239.857143	0	0	0	0	0	0	0	0	0	218	187	954	1218	781	0
Smpd3	239.500000	0	0	0	0	0	0	0	0	0	381	496	731	1034	711	0
Snrpe	234.928571	0	0	0	0	0	0	0	0	0	244	169	958	1115	803	0
Zswim6	232.285714	0	0	0	0	0	0	0	0	0	230	201	902	1041	878	0
Ppp5c	229.642857	330	400	199	150	0	0	0	0	0	0	200	582	867	487	0
Thoc1	227.642857	276	352	128	143	0	0	0	0	0	282	227	564	767	448	0
Dcstamp	227.500000	0	0	0	0	0	0	0	0	0	0	0	362	1838	985	0
Usp22	226.714286	0	0	0	0	0	0	0	0	0	277	160	1004	976	757	0
Lmo7	224.357143	832	963	382	345	0	0	0	0	0	0	0	229	241	149	0
Caprin1	222.428571	159	176	126	162	0	0	0	0	0	161	161	710	884	575	0
Cmss1	221.785714	206	265	177	152	0	0	0	0	0	519	277	395	680	434	0
Grcc10	214.500000	319	255	0	130	0	0	0	0	0	266	446	344	718	525	0
Fis1	214.071429	330	301	0	130	0	0	0	0	0	542	195	442	596	461	0
Abhd5	208.928571	0	0	0	0	0	0	0	0	0	439	349	589	891	657	0
Dars2	208.785714	233	201	0	0	0	0	0	0	0	471	488	553	498	479	0
Zfp827	207.000000	0	0	0	0	0	0	0	0	0	536	636	547	753	426	0
Ywhaq	206.928571	0	189	0	0	0	0	0	0	0	250	162	797	812	687	0
Mon1b	206.357143	392	360	156	177	0	0	0	0	0	399	483	328	393	201	0
Rps29	205.928571	0	0	0	103	915	776	733	0	0	95	116	145	0	0	0
Nkd1	205.928571	0	0	0	0	0	0	0	0	0	211	218	578	1056	820	0
Rrn3	205.000000	202	375	0	125	0	0	0	0	0	316	329	477	661	385	0
Fbxo8	200.642857	427	445	173	143	0	0	0	0	0	237	241	125	623	395	0
Cep44	200.642857	427	445	173	143	0	0	0	0	0	237	241	125	623	395	0
Rnf44	200.142857	0	0	0	0	0	0	0	0	0	280	265	571	899	787	0
Mars1	198.928571	0	0	0	0	0	0	0	0	0	412	418	535	1004	416	0
Yipf5	197.928571	0	176	0	0	0	0	0	0	0	370	382	585	722	536	0
Pgap1	197.357143	0	99	0	0	0	0	0	0	0	226	251	799	783	605	0
Gtf2f2	196.500000	157	190	0	0	0	0	0	0	120	834	680	167	393	210	0
Sat1	194.571429	0	0	0	0	0	72	0	0	0	368	395	592	724	573	0
Sptlc2	194.357143	0	0	0	0	0	0	0	0	0	409	413	528	787	584	0
Gramd1a	193.428571	0	0	0	0	0	0	0	0	0	245	304	484	937	738	0
Slc30a6	192.714286	147	178	0	0	0	0	0	0	0	792	758	190	385	248	0
Smarca4	192.214286	245	271	0	119	0	0	0	0	120	186	177	565	618	390	0
Hnrnpd	192.142857	372	421	216	92	0	0	0	0	0	188	421	276	386	318	0
Clasp1	190.142857	193	157	0	0	0	0	0	147	333	443	579	154	397	259	0
Rictor	189.857143	162	234	0	0	0	0	0	0	0	243	214	603	677	525	0
Chmp2b	189.857143	198	162	0	0	0	0	0	0	0	494	255	446	687	416	0
Akr1b3	188.642857	0	0	0	0	0	0	0	0	0	259	248	588	843	703	0
Fam185a	188.000000	99	0	86	117	0	0	0	0	0	227	199	687	703	514	0
Ccdc146	188.000000	99	0	86	117	0	0	0	0	0	227	199	687	703	514	0
M6pr	187.428571	0	0	0	0	0	0	0	0	0	480	505	425	733	481	0
Hemk1	186.500000	0	0	0	0	0	0	0	0	0	277	481	448	905	500	0
Klf4	186.214286	0	0	0	0	0	0	0	0	0	290	338	478	943	558	0
Slc39a7	182.428571	0	0	0	0	0	0	0	0	0	238	146	801	847	522	0
Rxrb	182.428571	0	0	0	0	0	0	0	0	0	238	146	801	847	522	0
Ism2	181.928571	0	0	0	0	0	0	0	0	0	288	350	748	676	485	0
Ccdc34	181.071429	0	0	0	0	0	0	0	0	0	292	268	593	895	487	0
Gabrb2	180.571429	0	0	0	0	0	0	0	0	0	0	0	969	1049	510	0
Rfwd3	180.214286	0	0	0	0	0	0	0	0	139	648	652	301	460	323	0
Tmem65	177.214286	0	0	0	0	0	0	0	0	0	322	360	384	801	614	0
A130010J15Rik	174.785714	0	0	0	0	0	0	0	0	0	658	536	377	541	335	0
Mrpl15	172.500000	245	245	0	0	0	0	0	0	0	172	166	476	770	341	0
Aebp1	172.500000	0	0	0	0	0	0	0	0	0	1317	1098	0	0	0	0
Rbm10	172.214286	208	325	0	195	0	0	0	0	0	259	194	364	526	340	0
Ndufb11	172.214286	208	325	0	195	0	0	0	0	0	259	194	364	526	340	0
Cdkn2aip	171.571429	212	200	0	0	0	0	0	0	0	382	432	331	456	389	0
Cdk11b	168.285714	238	159	0	0	0	0	0	0	0	272	319	310	742	316	0
Timm10	166.571429	0	0	0	0	0	0	0	0	0	140	209	790	774	419	0
Ggnbp1	166.000000	0	0	0	0	0	0	0	0	0	0	0	261	1176	887	0
Fktn	165.714286	89	200	0	0	0	0	0	0	0	248	289	403	660	431	0
Atp6v1e1	163.571429	0	0	0	0	0	0	0	231	462	493	513	118	202	271	0
Dad1	163.357143	0	0	0	0	0	0	0	0	0	307	206	488	764	522	0
Cdk5r1	163.357143	0	0	0	0	0	0	0	0	0	463	393	306	669	456	0
Abhd4	163.357143	0	0	0	0	0	0	0	0	0	307	206	488	764	522	0
Etv6	162.214286	242	498	184	119	0	0	0	0	0	311	107	188	390	232	0
Usp36	161.785714	0	142	95	0	0	0	0	0	0	197	242	549	622	418	0
Ptprs	161.500000	0	0	0	0	0	0	0	0	0	450	385	359	526	541	0
Ndrg3	159.142857	0	0	0	0	0	0	0	0	126	178	0	661	897	366	0
Plekha3	157.928571	0	0	0	0	0	0	0	0	0	162	0	539	886	624	0
Maged2	157.428571	0	0	0	0	0	0	0	0	0	484	514	418	482	306	0
Epc1	156.928571	125	265	0	0	0	0	0	0	161	174	166	199	634	473	0
Hacd3	156.714286	0	0	0	0	0	0	0	0	0	0	0	304	1194	696	0
Trim59	156.142857	0	129	0	0	0	0	0	0	0	350	372	235	606	494	0
Serpinb6a	156.000000	0	0	0	0	0	0	0	0	0	268	289	541	676	410	0
Ripk1	156.000000	0	0	0	0	0	0	0	0	0	268	289	541	676	410	0
Aldh3a2	155.357143	0	0	116	0	0	0	0	0	0	644	711	219	247	238	0
Sc5d	155.214286	154	179	0	0	0	0	0	0	0	84	90	574	614	478	0
6430548M08Rik	155.214286	0	0	0	0	0	0	0	0	0	438	368	227	541	599	0
H2bc21	154.642857	0	176	0	0	0	0	0	0	0	382	193	606	454	354	0
H2ac20	154.642857	0	176	0	0	0	0	0	0	0	382	193	606	454	354	0
Pdia4	154.500000	202	217	0	0	0	0	0	0	0	369	429	387	323	236	0
Csnk1a1	153.357143	204	249	145	0	0	0	0	0	0	206	158	336	591	258	0
Elk4	153.071429	148	107	0	0	0	0	0	0	0	285	395	505	416	287	0
Ska2	152.071429	0	0	0	0	0	0	0	0	0	240	238	394	652	605	0
Prr11	152.071429	0	0	0	0	0	0	0	0	0	240	238	394	652	605	0
Nr4a1	151.571429	0	0	0	0	0	0	0	0	0	482	521	174	555	390	0
Tssk6	151.357143	0	0	0	0	0	0	0	0	0	231	264	310	882	432	0
Ndufa13	151.357143	0	0	0	0	0	0	0	0	0	231	264	310	882	432	0
Tacc1	150.785714	0	0	0	0	0	0	0	0	0	411	379	247	709	365	0
Kdsr	149.785714	0	0	0	0	0	0	0	0	0	99	116	221	984	677	0
Shc1	149.571429	0	0	0	0	0	0	0	0	0	646	688	281	334	145	0
Cks1b	149.571429	0	0	0	0	0	0	0	0	0	646	688	281	334	145	0
Zfp445	148.785714	0	0	0	0	0	0	0	0	0	163	0	619	834	467	0
Nolc1	148.642857	166	136	0	157	0	0	0	0	0	451	391	0	459	321	0
Txnl4b	148.428571	0	0	0	0	0	0	0	0	0	1157	921	0	0	0	0
Dhx38	148.428571	0	0	0	0	0	0	0	0	0	1157	921	0	0	0	0
Relch	148.357143	0	0	0	0	0	0	0	0	0	458	515	330	481	293	0
Pign	148.357143	0	0	0	0	0	0	0	0	0	458	515	330	481	293	0
Pip5k1c	147.000000	0	0	0	0	0	0	0	0	0	156	0	807	641	454	0
Npm1	147.000000	0	0	0	0	0	0	0	0	0	316	267	619	526	330	0
Ndufb5	143.571429	260	350	0	152	0	0	0	0	73	281	257	154	295	188	0
Mrpl47	143.571429	260	350	0	152	0	0	0	0	73	281	257	154	295	188	0
Psmd14	143.357143	0	86	0	0	0	0	0	0	0	310	539	318	374	380	0
Ndc1	142.571429	0	0	0	0	0	0	0	0	0	0	144	442	880	530	0
Rfx3	142.214286	0	0	0	0	0	0	0	86	206	576	580	147	225	171	0
Lipe	141.785714	0	0	0	0	0	0	0	0	197	195	269	423	509	392	0
Ubxn8	140.428571	0	0	0	0	0	0	0	0	0	489	459	327	387	304	0
Tom1l1	139.928571	0	0	0	0	0	0	0	0	0	0	0	102	922	935	0
Psmb7	139.500000	0	0	0	0	0	0	0	0	0	306	331	460	524	332	0
Scoc	139.142857	0	0	0	0	0	0	0	0	0	0	0	141	1223	584	0
Pygo1	138.785714	0	0	0	0	0	0	0	0	0	142	141	514	611	535	0
Hexim2	138.428571	0	0	0	0	0	0	0	132	406	716	684	0	0	0	0
Vps11	138.285714	0	0	0	0	0	0	0	0	0	353	340	378	565	300	0
Ttll13	135.642857	0	0	0	0	0	0	0	0	0	173	0	570	669	487	0
Ttc7	135.214286	0	0	0	0	0	0	0	0	0	576	558	172	341	246	0
Diaph2	134.785714	0	0	0	0	0	0	0	0	0	254	377	407	493	356	0
Tram1	134.357143	0	0	0	0	0	0	0	295	389	556	641	0	0	0	0
Bicc1	133.642857	0	0	0	0	0	0	0	0	0	0	0	0	1206	665	0
Nrep	132.928571	0	0	0	0	0	0	0	0	0	145	129	474	814	299	0
Anapc7	131.714286	0	0	0	0	0	0	0	0	0	158	0	461	737	488	0
Hsd17b7	131.500000	0	107	0	0	0	0	0	0	0	520	523	206	344	141	0
Gdi2	131.000000	279	490	221	0	0	0	0	119	215	238	272	0	0	0	0
Bcas2	130.857143	235	404	116	198	0	0	0	0	116	386	377	0	0	0	0
Tgds	130.642857	0	0	0	0	0	0	0	0	0	202	212	360	676	379	0
Zfp1	130.285714	0	167	0	0	0	0	0	0	0	320	224	227	561	325	0
AI413582	130.000000	0	0	0	0	0	0	0	0	0	254	293	226	634	413	0
Srrm1	129.857143	0	0	0	0	0	0	0	113	300	653	389	117	145	101	0
Gm3448	129.857143	110	208	0	0	0	0	0	0	0	623	573	0	185	119	0
Gm3417	129.857143	110	208	0	0	0	0	0	0	0	623	573	0	185	119	0
Smpd4	129.500000	0	0	0	0	0	0	0	0	0	399	432	360	396	226	0
Cfap46	129.500000	0	0	0	0	0	0	0	0	0	0	0	738	636	439	0
Neo1	128.571429	0	0	0	0	0	0	0	0	0	125	0	471	796	408	0
Taf15	128.357143	0	0	0	0	0	0	0	0	0	103	97	554	705	338	0
Mterf4	127.214286	0	0	0	0	0	0	0	0	0	223	0	246	899	413	0
Sdhaf2	127.071429	0	0	0	0	0	0	0	0	0	142	296	390	567	384	0
Prrc1	127.071429	191	0	0	167	0	114	0	0	0	319	385	186	305	112	0
Cpsf7	127.071429	0	0	0	0	0	0	0	0	0	142	296	390	567	384	0
Akap13	127.000000	0	0	0	0	0	0	0	0	0	132	174	424	588	460	0
Npas3	126.785714	0	0	0	0	0	0	0	0	0	0	0	538	636	601	0
Kmt2d	126.357143	0	0	0	0	0	0	0	0	0	430	388	245	407	299	0
Gne	126.285714	561	657	227	323	0	0	0	0	0	0	0	0	0	0	0
Ralgapb	126.000000	0	0	0	0	0	0	0	0	0	479	419	182	448	236	0
Nipal2	125.714286	0	0	0	0	0	0	0	0	0	0	0	199	1072	489	0
Plxna2	125.500000	0	0	0	0	0	0	0	0	0	187	207	377	632	354	0
Bhlhe40	122.857143	0	0	0	0	0	0	0	0	0	103	99	630	525	363	0
Nav2	122.214286	0	0	0	0	0	0	0	0	0	129	98	264	717	503	0
9030025P20Rik	121.928571	110	208	0	0	0	0	0	0	0	512	573	0	185	119	0
Amd2	120.714286	0	0	0	0	0	0	0	0	0	134	95	544	530	387	0
Amd1	120.714286	0	0	0	0	0	0	0	0	0	134	95	544	530	387	0
Slc35a3	120.357143	230	362	194	176	0	0	0	0	0	0	0	208	293	222	0
Ifnar1	120.357143	0	0	0	0	0	0	0	0	80	526	565	164	168	182	0
Cltc	120.285714	0	0	0	0	0	0	0	0	147	691	461	87	298	0	0
Ubxn4	120.071429	0	142	0	0	0	0	0	0	0	390	264	333	295	257	0
Rbm4	119.571429	0	0	0	0	0	0	0	0	0	271	433	211	464	295	0
Srp19	119.428571	0	0	0	0	0	0	0	0	0	506	324	189	327	326	0
Poc1b	119.000000	0	0	0	0	0	0	0	0	0	152	191	282	609	432	0
Fam102a	118.571429	0	0	0	0	0	0	0	0	0	292	199	368	536	265	0
Prrg2	117.785714	0	0	0	0	0	0	0	0	0	207	141	341	594	366	0
Nosip	117.785714	0	0	0	0	0	0	0	0	0	207	141	341	594	366	0
Slu7	117.714286	0	0	0	0	0	0	0	150	374	525	599	0	0	0	0
Hnrnpa3	117.357143	0	147	0	0	0	0	0	0	0	202	134	203	624	333	0
Rnase13	116.785714	0	0	0	0	0	0	0	0	0	0	0	196	903	536	0
Ppil3	116.285714	0	0	0	0	0	0	0	0	0	416	443	187	427	155	0
Nif3l1	116.285714	0	0	0	0	0	0	0	0	0	416	443	187	427	155	0
Tcf7l2	116.142857	0	0	0	0	0	0	0	0	0	327	342	237	432	288	0
Sp5	116.000000	0	127	0	0	0	109	0	0	0	0	129	483	481	295	0
Ckap2l	114.714286	0	0	0	0	0	0	0	0	0	459	541	220	157	229	0
Abhd6	114.428571	0	0	0	0	0	0	0	0	0	0	0	0	1042	560	0
Inf2	114.285714	0	0	0	0	0	0	0	0	0	530	407	235	259	169	0
Fnip1	113.857143	0	0	0	0	0	0	0	0	0	317	423	173	391	290	0
Raph1	113.714286	0	0	0	0	0	0	0	0	0	447	294	0	538	313	0
Baz1b	113.571429	0	259	0	0	0	0	0	0	0	350	136	199	353	293	0
Wdr95	113.500000	0	0	0	0	0	0	0	0	0	0	0	224	957	408	0
Tcte3	113.500000	110	143	0	0	0	0	0	0	0	623	553	0	160	0	0
Mrpl30	113.428571	0	0	0	0	0	0	0	94	304	556	634	0	0	0	0
Mitd1	113.428571	0	0	0	0	0	0	0	94	304	556	634	0	0	0	0
Ambra1	113.428571	0	0	0	0	0	0	0	0	0	343	269	235	396	345	0
Zfp788	113.214286	0	0	0	0	0	0	0	0	0	238	231	256	537	323	0
Naprt	113.214286	0	0	0	0	0	0	0	0	0	0	0	0	1085	500	0
Socs1	113.071429	0	0	0	0	0	0	0	0	0	231	299	223	429	401	0
Xpo5	112.928571	0	129	0	0	0	0	0	0	0	138	118	413	504	279	0
Polh	112.928571	0	129	0	0	0	0	0	0	0	138	118	413	504	279	0
Eif5a	112.571429	0	0	0	0	0	0	0	215	328	385	648	0	0	0	0
Tbc1d15	112.428571	125	118	0	0	0	0	0	0	81	406	327	164	229	124	0
Gtf2i	111.428571	0	0	0	0	0	0	0	0	200	225	248	0	636	251	0
Katnal2	111.285714	0	0	0	0	0	0	0	0	0	216	188	349	532	273	0
Psmg2	110.642857	193	343	0	0	0	0	0	0	0	0	0	224	513	276	0
Cep76	110.642857	193	343	0	0	0	0	0	0	0	0	0	224	513	276	0
Ints11	109.857143	0	0	0	0	0	0	0	0	0	190	241	247	515	345	0
Cptp	109.857143	0	0	0	0	0	0	0	0	0	190	241	247	515	345	0
Gm3435	109.357143	110	143	0	0	0	0	0	0	0	566	552	0	160	0	0
B9d2	109.142857	0	0	0	0	0	0	0	0	0	0	0	419	681	428	0
Ptprg	108.285714	0	0	0	0	0	0	0	0	0	604	627	0	179	106	0
Sinhcaf	108.071429	207	326	0	242	0	0	0	0	0	0	179	143	252	164	0
Ccdc136	107.571429	0	0	0	0	0	0	0	0	0	0	0	0	916	590	0
Mrpl10	107.428571	0	0	0	0	0	0	0	207	276	473	548	0	0	0	0
Lrrc46	107.428571	0	0	0	0	0	0	0	207	276	473	548	0	0	0	0
Mpdu1	107.357143	208	157	0	0	0	0	0	0	0	160	215	181	355	227	0
Bms1	107.285714	0	0	0	0	0	0	0	0	0	150	94	411	396	451	0
Timm9	107.214286	0	0	0	0	0	0	0	0	0	297	152	327	457	268	0
2700049A03Rik	107.214286	0	0	0	0	0	0	0	0	0	297	152	327	457	268	0
Mnd1	107.071429	426	493	164	131	0	0	0	0	0	131	154	0	0	0	0
Ahsa2	106.785714	0	0	0	0	0	0	0	0	0	342	245	240	277	391	0
Iqsec1	106.214286	0	0	0	0	0	0	0	0	0	0	0	278	772	437	0
Kif5b	106.142857	0	132	0	0	0	0	0	0	0	89	0	427	530	308	0
Fsip1	106.071429	0	0	0	0	0	0	0	0	0	0	0	441	618	426	0
Ube2l3	105.857143	0	118	0	0	0	0	0	0	0	160	0	419	493	292	0
Samd8	105.857143	0	0	0	0	0	0	0	0	0	0	0	514	482	486	0
Sec24c	105.571429	0	0	0	0	0	0	0	131	292	703	352	0	0	0	0
Hdlbp	105.571429	0	0	0	0	0	0	0	0	0	237	164	351	428	298	0
Lrrc4c	105.214286	0	0	0	0	0	0	0	0	0	0	0	443	634	396	0
Mbd6	105.000000	0	0	0	0	0	0	0	0	0	382	338	254	259	237	0
Tmem106b	104.785714	0	0	0	0	0	0	0	0	0	142	224	423	414	264	0
Ppp6r2	104.785714	0	0	0	0	0	0	0	0	117	458	500	0	392	0	0
Foxo6	104.642857	0	0	0	0	0	0	0	0	0	197	199	227	489	353	0
Ino80d	104.571429	0	0	0	0	0	0	0	0	270	409	443	0	211	131	0
Eif4e	103.857143	0	0	0	0	0	0	0	270	239	542	403	0	0	0	0
Atg2a	102.857143	0	0	0	0	0	0	0	161	307	534	318	0	120	0	0
Zfp438	102.785714	0	0	0	0	0	0	0	146	326	448	519	0	0	0	0
Gramd1b	101.857143	0	0	0	0	0	0	0	0	0	338	307	0	505	276	0
Kmt5b	101.785714	210	229	0	142	0	0	0	0	0	148	144	155	247	150	0
Mdm1	101.714286	0	0	0	0	0	0	0	0	0	224	325	180	471	224	0
Cxxc1	100.285714	0	0	0	0	0	0	0	0	261	168	245	154	334	242	0
Ndufv1	99.928571	0	0	0	0	0	0	0	0	0	389	325	0	460	225	0
Tyw1	98.857143	144	241	0	0	0	0	0	0	0	294	182	0	324	199	0
Tbkbp1	98.857143	0	0	0	0	0	0	0	0	0	146	227	0	604	407	0
Sgf29	98.714286	0	0	0	0	0	0	0	0	0	0	0	523	554	305	0
Tent2	98.500000	0	0	0	0	0	0	0	0	138	554	610	0	77	0	0
Slc25a14	98.500000	0	0	0	0	0	0	0	0	0	0	163	528	406	282	0
Ogt	98.357143	0	0	0	0	0	0	0	0	0	424	340	175	266	172	0
Fbxo21	98.000000	0	0	0	0	0	0	0	0	0	0	128	404	482	358	0
Nek10	97.857143	0	0	0	0	0	0	0	0	0	0	0	0	944	426	0
Sbds	97.500000	144	241	0	0	0	0	0	0	0	275	182	0	324	199	0
Grb2	97.428571	0	0	0	0	0	0	0	0	0	0	0	171	727	466	0
Birc6	97.357143	0	0	0	0	0	0	0	0	68	206	149	318	309	313	0
Nes	97.214286	0	0	0	0	0	0	0	0	0	0	0	568	549	244	0
Urod	96.857143	0	148	0	0	0	0	0	0	0	339	265	0	344	260	0
Hectd3	96.857143	0	148	0	0	0	0	0	0	0	339	265	0	344	260	0
Frat1	96.857143	0	0	0	0	0	0	0	180	337	422	417	0	0	0	0
Syt12	96.285714	0	0	0	0	0	0	0	0	0	675	575	0	98	0	0
Nedd9	96.285714	104	262	0	128	0	0	0	0	0	272	208	116	133	125	0
Tbc1d10b	96.071429	0	0	0	0	0	0	0	150	313	397	485	0	0	0	0
Mylpf	96.071429	0	0	0	0	0	0	0	150	313	397	485	0	0	0	0
Rsl24d1	95.571429	0	0	0	0	0	0	0	0	0	0	0	410	737	191	0
Ptov1	95.500000	0	0	0	0	0	0	0	0	0	64	0	562	440	271	0
Nap1l4	95.357143	254	278	0	0	0	0	0	0	0	119	131	137	247	169	0
Pigq	95.142857	0	0	0	0	0	0	0	0	0	173	232	180	504	243	0
Galnt4	94.500000	0	0	0	0	0	0	0	0	0	0	0	282	609	432	0
Hrob	94.428571	0	0	0	0	0	0	0	0	0	347	344	323	190	118	0
Sepsecs	94.285714	318	339	244	251	0	0	0	0	0	0	0	0	168	0	0
Tmem87b	94.214286	0	0	0	0	0	0	0	0	0	427	383	117	220	172	0
Jade1	93.928571	0	0	0	0	0	0	0	0	0	0	0	173	742	400	0
Tmx3	93.571429	0	0	0	0	0	0	0	0	318	523	469	0	0	0	0
Ermard	93.214286	0	0	0	0	0	0	0	0	0	623	553	0	129	0	0
Slc35b1	92.857143	166	241	0	0	0	0	0	0	160	274	459	0	0	0	0
Ajm1	92.000000	0	0	0	0	0	0	0	0	0	0	152	421	426	289	0
Tcf3	91.928571	0	194	0	0	0	0	0	0	0	280	101	179	220	313	0
Mbtps2	91.571429	0	0	0	0	0	0	0	0	0	652	630	0	0	0	0
Rcan2	91.285714	0	0	0	0	0	0	0	0	0	0	0	204	623	451	0
Ier5l	91.000000	0	0	0	0	0	0	0	0	0	422	431	0	224	197	0
Ptms	90.928571	0	0	0	0	0	0	0	0	0	130	0	289	471	383	0
Luc7l2	90.928571	0	0	0	0	0	0	0	211	304	352	406	0	0	0	0
Ube2f	90.857143	0	0	0	0	0	0	0	0	0	410	333	0	315	214	0
Ube4a	90.428571	0	0	0	0	0	0	0	0	0	108	164	387	365	242	0
Phrf1	90.000000	0	0	0	0	0	0	0	0	0	0	0	490	375	395	0
Irf2	90.000000	0	0	0	0	0	0	0	0	0	367	390	0	312	191	0
Ppfia4	89.928571	0	0	0	0	0	0	0	0	0	0	0	379	594	286	0
Prcp	89.857143	0	0	0	0	0	0	0	0	0	114	0	241	511	392	0
Ddias	89.857143	0	0	0	0	0	0	0	0	0	114	0	241	511	392	0
Kbtbd3	89.785714	0	103	0	0	0	0	0	0	0	383	411	0	237	123	0
Aasdhppt	89.785714	0	103	0	0	0	0	0	0	0	383	411	0	237	123	0
Wdr89	89.714286	0	0	0	0	0	0	0	0	112	363	452	0	151	178	0
